n_points,distribution,model,n_trials,n_valid,n_failed,failure_rate,validation_rmse_mean_mm,validation_rmse_sd_mm,validation_rmse_median_mm,validation_rmse_q25_mm,validation_rmse_q75_mm,validation_rmse_p95_mm,validation_rmse_min_mm,validation_rmse_max_mm
8,clustered,Homography,100,100,0,0.0,1.4392043083359494,0.8234100524047527,1.217054117537157,0.9860520116574631,1.562824889151765,2.7635074589197015,0.6079999499323502,5.483305138085991
8,clustered,PnP,100,100,0,0.0,0.8814609057464456,0.19305869210244575,0.8441975839667284,0.7624699088967319,0.9738213278881147,1.2678554166484066,0.5744691331541995,1.450322969453792
8,random,Affine,100,100,0,0.0,6.9369268165261735,1.2011035125054026,6.6572064770024255,6.146040555522185,7.442224001071048,9.077237735908296,5.455985341397194,11.910969518118439
8,random,Homography,100,100,0,0.0,0.8513927220952614,0.24901421171611393,0.7978669728881962,0.6820041254366136,0.9303306021209233,1.3281334482171194,0.5689356759089845,2.164399078779405
8,random,PnP,100,100,0,0.0,0.7234430787548246,0.14959206504969055,0.6703649217707492,0.6329693834343084,0.7606311166929014,1.0701260082172468,0.5543615044795218,1.2721866602397525
8,spread,Affine,100,100,0,0.0,5.975368282882742,0.33614943587962137,5.909974221529771,5.73122928941542,6.15265837594001,6.543833318775525,5.402894170283025,7.203756811979211
8,spread,Homography,100,100,0,0.0,0.6821628601851865,0.10431692803615257,0.660406174147016,0.6078937240319169,0.7300383129509697,0.9158812163514523,0.5282681881169308,1.1015841874959678
8,spread,PnP,100,100,0,0.0,0.664452521519791,0.08429667631883679,0.6428434417050517,0.6015952063910068,0.7136896328131475,0.8179342414547565,0.5453284325465578,0.9521714016607062
12,clustered,Affine,100,100,0,0.0,7.236609116115781,1.2506193461047546,6.893931335025915,6.43372154588435,7.690287440485581,9.69231780918043,5.66687724955153,14.21600715998281
12,clustered,Homography,100,100,0,0.0,0.9205210370590031,0.22618860633381502,0.863433422340592,0.781433191396971,0.9734168949939027,1.4384465878466959,0.5874135138682076,1.6567989787391728
12,clustered,PnP,100,100,0,0.0,0.7574926325730703,0.1298863405537131,0.7275484320887831,0.6784865402271192,0.8097746836585006,0.9614136394625555,0.5920405381889908,1.2699175133246126
12,random,Affine,100,100,0,0.0,6.2721391195123,0.6636885584950856,6.067773047875477,5.818162485286967,6.464745557222375,7.344110557416697,5.3672972209625645,8.99980799378257
12,random,Homography,100,100,0,0.0,0.7206771143469,0.12319497161964936,0.6975803615730299,0.630988977438016,0.7954602646750121,0.9524216671944691,0.5324597594384233,1.176269043165823
12,random,PnP,100,100,0,0.0,0.6666639584659036,0.07591074346302928,0.6593783940232876,0.6121262044142881,0.7117496557374197,0.807821691437347,0.552043663702194,0.9433910482328427
12,spread,Affine,100,100,0,0.0,5.646004410940673,0.1800466885861639,5.596715314274254,5.519413343196618,5.757923812838958,5.965638092579071,5.390404181522932,6.24783976791681
12,spread,Homography,100,100,0,0.0,0.593333818280698,0.049007572665784586,0.5843964518338534,0.5597017662884273,0.624000894563221,0.6886412949877514,0.5184049814143279,0.7388832207551093
12,spread,PnP,100,100,0,0.0,0.6032024124070322,0.0429313054550752,0.5969285206275465,0.5708680121973827,0.6285153440778349,0.6796710859002341,0.5342739720971404,0.7192507250635405
16,clustered,Affine,100,100,0,0.0,6.467212241845715,0.7082224896581022,6.3186810191920815,6.012619170181349,6.676278670068294,7.896422393816366,5.461440198430981,9.263080702343727
16,clustered,Homography,100,100,0,0.0,0.7431831578382131,0.10475375224856742,0.7280252866130456,0.6700212066949183,0.8024964124558281,0.9269946370775108,0.558966965404393,1.195699618743196
16,clustered,PnP,100,100,0,0.0,0.693265547007569,0.07833547598422183,0.68293867478579,0.639807707466277,0.7372036886732958,0.8251097905732766,0.5593411020334123,1.0373443247114158
16,random,Affine,100,100,0,0.0,5.930694505440097,0.5726715556106201,5.720232280364143,5.585662503607055,6.117717028988023,6.764536222186527,5.438598654892213,9.03515456078293
16,random,Homography,100,100,0,0.0,0.6427277755717307,0.08029829088869377,0.6233340493475166,0.5708297577063045,0.695536227953076,0.7829477726208417,0.539325357823156,0.855561961066937
16,random,PnP,100,100,0,0.0,0.6321525018181386,0.06950589815955548,0.6131525039731403,0.5780969201484548,0.6752826197090973,0.7446534762643204,0.5439952552854868,0.8762375669888188
16,spread,Affine,100,100,0,0.0,5.557056429141425,0.1296356898168064,5.536339658978447,5.449781771599875,5.639617680209267,5.773879193946662,5.384874350099078,6.095314890278886
16,spread,Homography,100,100,0,0.0,0.574649925176854,0.03331236135669115,0.5693898821134069,0.5479464814641608,0.5913120717899278,0.6407599500692379,0.5263590716929983,0.666840532308788
16,spread,PnP,100,100,0,0.0,0.5891714140938382,0.03163179761949385,0.5824604494814467,0.5632030659555309,0.6034487666229806,0.6513101685334569,0.5410545094915193,0.6724652543078651
24,clustered,Affine,100,100,0,0.0,5.909082806611686,0.28619889811839927,5.846498837485777,5.729029841435317,6.0433138065045515,6.406898892469716,5.5198025538416005,7.402758043484984
24,clustered,Homography,100,100,0,0.0,0.6381280651883859,0.05416477485825098,0.6309931301945698,0.6019246956615818,0.6677393671054801,0.7431239748113259,0.5435939095648555,0.8115219551900393
24,clustered,PnP,100,100,0,0.0,0.635802428560553,0.043917393966758915,0.6301510666856089,0.6004542439677498,0.6601459590020743,0.7236062970139875,0.5615672465415462,0.7795507044702766
24,random,Affine,100,100,0,0.0,5.620957839475795,0.2386643787399855,5.540254604232665,5.479483870678456,5.6806252067800145,6.102550129484011,5.369507379939979,6.60590020208905
24,random,Homography,100,100,0,0.0,0.5888099370085564,0.03929018186933962,0.5820627973050245,0.5552819964531879,0.6175306238486217,0.659850766962747,0.5337987234942627,0.6924159828601023
24,random,PnP,100,100,0,0.0,0.596540931010969,0.030183744278306036,0.5928913248445207,0.5737515291123723,0.6107731844517155,0.6528739397551536,0.5450615553758617,0.7108210611592362
24,spread,Affine,100,100,0,0.0,5.427509810160837,0.04105249470243734,5.419487273404715,5.400222872565079,5.445124843497123,5.503141825055334,5.364882351603895,5.64238249314077
24,spread,Homography,100,100,0,0.0,0.5624987822359468,0.018916786442639447,0.5616330683726442,0.5503456312869321,0.5732826738547655,0.6000681132597468,0.5244612290468852,0.6189284503334753
24,spread,PnP,100,100,0,0.0,0.5844926936590398,0.020075144598259813,0.5810843657669893,0.5694317121786867,0.5956090077403267,0.6283838480546157,0.5490555725965042,0.643225671527381
