camera,target_id,charuco_id,method,paper_x_gt_mm,paper_y_gt_mm,u_undist_median_px,v_undist_median_px,paper_x_pred_mm,paper_y_pred_mm,dx_mm,dy_mm,xy_error_mm
ihawk2,T03,14,Homography,59.0,33.0,395.27923583984375,324.60914611816406,59.64105431449433,32.405014453956944,0.6410543144943333,-0.5949855460430555,0.8746190222788163
ihawk2,T03,14,PnP_IPPE,59.0,33.0,395.27923583984375,324.60914611816406,59.58695031099511,32.372043227718564,0.5869503109951069,-0.6279567722814363,0.8595582443507667
ihawk2,T04,17,Affine,-66.0,8.0,292.7781066894531,312.2801971435547,-66.78779250732686,2.903399295147892,-0.7877925073268557,-5.096600704852108,5.157126698007267
ihawk2,T04,17,Homography,-66.0,8.0,292.7781066894531,312.2801971435547,-66.15241619262078,7.480018170611195,-0.15241619262077677,-0.5199818293888052,0.5418595746755263
ihawk2,T04,17,PnP_IPPE,-66.0,8.0,292.7781066894531,312.2801971435547,-66.09224960339361,7.618809222669768,-0.09224960339361132,-0.3811907773302323,0.39219433709311174
ihawk2,T05,19,Affine,-16.0,8.0,332.18653869628906,311.8785705566406,-15.94835390476328,3.567379577882889,0.0516460952367197,-4.432620422117111,4.432921285757607
ihawk2,T05,19,Homography,-16.0,8.0,332.18653869628906,311.8785705566406,-16.33701780836781,8.128175662798164,-0.33701780836781126,0.12817566279816361,0.3605689999026418
ihawk2,T05,19,PnP_IPPE,-16.0,8.0,332.18653869628906,311.8785705566406,-16.13869210452426,8.241511561162497,-0.13869210452426017,0.24151156116249695,0.27850194619161067
ihawk2,T06,22,Affine,59.0,8.0,390.65406799316406,310.85084533691406,59.54473840994672,3.7560985338897126,0.5447384099467172,-4.243901466110287,4.278719386606737
ihawk2,T06,22,Homography,59.0,8.0,390.65406799316406,310.85084533691406,58.62914519948108,8.31889647589508,-0.37085480051892006,0.3188964758950803,0.4891096455869885
ihawk2,T06,22,PnP_IPPE,59.0,8.0,390.65406799316406,310.85084533691406,58.63440177736281,8.391561836696212,-0.365598222637189,0.39156183669621214,0.535707693012134
ihawk2,T07,33,Affine,-66.0,-42.0,293.7747497558594,286.6013488769531,-61.5685133863995,-44.414791034157815,4.431486613600498,-2.4147910341578154,5.046710745145731
ihawk2,T07,33,Homography,-66.0,-42.0,293.7747497558594,286.6013488769531,-65.93853615756343,-42.57515174957451,0.06146384243656655,-0.5751517495745091,0.5784266063777547
ihawk2,T07,33,PnP_IPPE,-66.0,-42.0,293.7747497558594,286.6013488769531,-66.02036523951872,-42.63876418219502,-0.02036523951872482,-0.6387641821950183,0.6390887445698958
ihawk2,T08,35,Affine,-16.0,-42.0,329.99732971191406,286.5429229736328,-14.88664853132741,-43.231474371402896,1.1133514686725903,-1.2314743714028964,1.6601447588139935
ihawk2,T08,35,Homography,-16.0,-42.0,329.99732971191406,286.5429229736328,-16.162151796676195,-41.51055299459723,-0.16215179667619495,0.4894470054027735,0.5156079676101415
ihawk2,T08,35,PnP_IPPE,-16.0,-42.0,329.99732971191406,286.5429229736328,-16.00485866145474,-41.488768504745565,-0.004858661454740343,0.5112314952544352,0.511254582699478
ihawk2,T09,38,Affine,59.0,-42.0,383.8138885498047,285.34747314453125,54.63935590149538,-43.517823698501616,-4.360644098504622,-1.5178236985016156,4.617250884840059
ihawk2,T09,38,Homography,59.0,-42.0,383.8138885498047,285.34747314453125,58.92695724919045,-42.28762562446866,-0.0730427508095488,-0.28762562446866013,0.29675535933966307
ihawk2,T09,38,PnP_IPPE,59.0,-42.0,383.8138885498047,285.34747314453125,59.0417975570477,-42.14787747086302,0.04179755704770116,-0.1478774708630226,0.15367101927168939
