camera,ros_frame_count,charuco_id,paper_x_gt_mm,paper_y_gt_mm,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,10,33,-66.0,-42.0,293.7835388183594,286.58697509765625,29,42
ihawk2,10,35,-16.0,-42.0,330.02093505859375,286.5096435546875,29,42
ihawk2,10,38,59.0,-42.0,383.8165588378906,285.3044738769531,29,42
ihawk1,10,9,-66.0,33.0,277.0132141113281,250.95965576171875,28,41
ihawk1,10,11,-16.0,33.0,295.2974548339844,267.9654235839844,28,41
ihawk1,10,14,59.0,33.0,328.3894958496094,295.84942626953125,28,41
ihawk1,10,19,-16.0,8.0,310.0559387207031,260.3541259765625,28,41
ihawk1,10,22,59.0,8.0,343.051025390625,288.26092529296875,28,41
ihawk1,10,33,-66.0,-42.0,316.95635986328125,233.48033142089844,28,41
ihawk1,10,35,-16.0,-42.0,336.3729248046875,248.6152801513672,28,41
ihawk1,10,38,59.0,-42.0,370.0426940917969,273.26324462890625,28,41
ihawk2,11,9,-66.0,33.0,292.072509765625,327.3501281738281,30,44
ihawk2,11,11,-16.0,33.0,333.56951904296875,326.5746765136719,30,44
ihawk2,11,14,59.0,33.0,395.1940002441406,324.7290954589844,30,44
ihawk2,11,17,-66.0,8.0,292.7767639160156,312.2216796875,30,44
ihawk2,11,19,-16.0,8.0,332.197021484375,311.8744812011719,30,44
ihawk2,11,22,59.0,8.0,390.5910339355469,310.8074645996094,30,44
ihawk2,11,33,-66.0,-42.0,293.7734069824219,286.6105041503906,30,44
ihawk2,11,38,59.0,-42.0,383.8049011230469,285.2814025878906,30,44
ihawk1,11,9,-66.0,33.0,277.1188049316406,250.9644775390625,28,43
ihawk1,11,11,-16.0,33.0,295.3497619628906,267.9249267578125,28,43
ihawk1,11,14,59.0,33.0,328.3927917480469,295.8880310058594,28,43
ihawk1,11,17,-66.0,8.0,291.1299743652344,244.28587341308594,28,43
ihawk1,11,19,-16.0,8.0,310.0622253417969,260.3636169433594,28,43
ihawk1,11,22,59.0,8.0,343.0811462402344,288.2891540527344,28,43
ihawk1,11,33,-66.0,-42.0,316.9514465332031,233.4744110107422,28,43
ihawk1,11,35,-16.0,-42.0,336.3702087402344,248.6073455810547,28,43
ihawk1,11,38,59.0,-42.0,370.0455627441406,273.2663879394531,28,43
ihawk2,12,11,-16.0,33.0,333.5754089355469,326.5767822265625,30,44
ihawk2,12,14,59.0,33.0,395.2407531738281,324.6091613769531,30,44
ihawk2,12,19,-16.0,8.0,332.17169189453125,311.8860168457031,30,44
ihawk2,12,22,59.0,8.0,390.6280212402344,310.8616027832031,30,44
ihawk2,12,33,-66.0,-42.0,293.8194274902344,286.4054870605469,30,44
ihawk2,12,35,-16.0,-42.0,330.0478210449219,286.4871826171875,30,44
ihawk2,12,38,59.0,-42.0,383.8096618652344,285.3015441894531,30,44
ihawk1,12,9,-66.0,33.0,277.0245056152344,250.95835876464844,28,43
ihawk1,12,11,-16.0,33.0,295.3601989746094,267.874267578125,28,43
ihawk1,12,14,59.0,33.0,328.4022521972656,295.8578186035156,28,43
ihawk1,12,17,-66.0,8.0,291.1282043457031,244.2816925048828,28,43
ihawk1,12,19,-16.0,8.0,310.0660095214844,260.3699645996094,28,43
ihawk1,12,22,59.0,8.0,343.060546875,288.21905517578125,28,43
ihawk1,12,33,-66.0,-42.0,316.94677734375,233.4726104736328,28,43
ihawk1,12,35,-16.0,-42.0,336.3572692871094,248.6175537109375,28,43
ihawk1,12,38,59.0,-42.0,370.0257568359375,273.3570861816406,28,43
ihawk2,13,11,-16.0,33.0,333.51611328125,326.4635925292969,29,42
ihawk2,13,14,59.0,33.0,395.2785339355469,324.5950927734375,29,42
ihawk2,13,19,-16.0,8.0,332.1889343261719,311.8880310058594,29,42
ihawk2,13,22,59.0,8.0,390.6366882324219,310.8521728515625,29,42
ihawk2,13,33,-66.0,-42.0,293.7696838378906,286.5997619628906,29,42
ihawk2,13,35,-16.0,-42.0,329.6659240722656,286.7712707519531,29,42
ihawk2,13,38,59.0,-42.0,383.82666015625,285.328125,29,42
ihawk1,13,9,-66.0,33.0,277.0052795410156,251.0108184814453,29,42
ihawk1,13,11,-16.0,33.0,295.296142578125,267.95281982421875,29,42
ihawk1,13,14,59.0,33.0,328.4016418457031,295.8074645996094,29,42
ihawk1,13,17,-66.0,8.0,291.1545104980469,244.27247619628906,29,42
ihawk1,13,19,-16.0,8.0,310.074951171875,260.3689880371094,29,42
ihawk1,13,33,-66.0,-42.0,316.9884033203125,233.5835418701172,29,42
ihawk1,13,35,-16.0,-42.0,336.37933349609375,248.599365234375,29,42
ihawk1,13,38,59.0,-42.0,370.0530700683594,273.3882141113281,29,42
ihawk2,14,11,-16.0,33.0,333.5053405761719,326.44561767578125,28,38
ihawk2,14,14,59.0,33.0,395.2244873046875,324.6313171386719,28,38
ihawk2,14,19,-16.0,8.0,332.2038269042969,311.8726501464844,28,38
ihawk2,14,22,59.0,8.0,390.6587219238281,310.8262939453125,28,38
ihawk2,14,33,-66.0,-42.0,293.7732238769531,286.6135559082031,28,38
ihawk2,14,38,59.0,-42.0,383.8297119140625,285.3833312988281,28,38
ihawk1,14,9,-66.0,33.0,276.9900817871094,250.99267578125,29,45
ihawk1,14,11,-16.0,33.0,295.320556640625,267.92645263671875,29,45
ihawk1,14,14,59.0,33.0,328.3960876464844,295.8345947265625,29,45
ihawk1,14,17,-66.0,8.0,291.1240234375,244.2845001220703,29,45
ihawk1,14,19,-16.0,8.0,310.0561218261719,260.37152099609375,29,45
ihawk1,14,22,59.0,8.0,343.1302490234375,288.3105163574219,29,45
ihawk1,14,33,-66.0,-42.0,316.9577331542969,233.4818115234375,29,45
