run_id,camera_id,height_gt_mm,frame_index,image_relpath,native_detected_markers,native_complete,median_center_difference_from_clean_csv_px,max_center_difference_from_clean_csv_px,qc_excluded,exclusion_reason
20260808_131913,ihawk2,45.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p045p000mm\frame_0003_color.png,5,1,5.858093397397139e-07,0.0013783277270111303,0,
20260808_131913,ihawk2,50.0,1,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p050p000mm\frame_0001_color.png,5,1,7.622849410970853e-06,0.0020127040411939538,0,
20260808_131913,ihawk2,50.0,2,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p050p000mm\frame_0002_color.png,5,1,5.121485491946387e-06,0.000270335131974433,0,
20260808_131913,ihawk2,50.0,3,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\frames\ihawk2\h_p050p000mm\frame_0003_color.png,5,1,0.00015218240501741468,0.0012317735331686798,0,
20260808_141232,ihawk1,0.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p000p000mm\frame_0001_color.png,5,1,4.6595086400387096e-07,8.036359091243945e-06,0,
20260808_141232,ihawk1,0.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p000p000mm\frame_0002_color.png,5,1,6.977867157902466e-07,7.791821463902833e-06,0,
20260808_141232,ihawk1,0.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p000p000mm\frame_0003_color.png,5,1,4.897648959969642e-07,7.857094584301762e-06,0,
20260808_141232,ihawk1,5.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p005p000mm\frame_0001_color.png,5,1,5.707291830357345e-07,7.22609408899653e-06,0,
20260808_141232,ihawk1,5.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p005p000mm\frame_0002_color.png,5,1,4.210165461467148e-07,4.866908544122525e-07,0,
20260808_141232,ihawk1,5.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p005p000mm\frame_0003_color.png,5,1,4.0781169594594734e-07,8.009457430600287e-06,0,
20260808_141232,ihawk1,10.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p010p000mm\frame_0001_color.png,5,1,2.7375480060678774e-07,5.909022230099834e-07,0,
20260808_141232,ihawk1,10.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p010p000mm\frame_0002_color.png,5,1,3.334714058855395e-07,3.4338413611635096e-06,0,
20260808_141232,ihawk1,10.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p010p000mm\frame_0003_color.png,5,1,5.167307811238976e-07,8.098687055852143e-06,0,
20260808_141232,ihawk1,15.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p015p000mm\frame_0001_color.png,5,1,4.6665518282876167e-07,0.013661946867696806,0,
20260808_141232,ihawk1,15.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p015p000mm\frame_0002_color.png,5,1,4.5389655634284104e-07,0.01127569227401684,0,
20260808_141232,ihawk1,15.0,3,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p015p000mm\frame_0003_color.png,5,1,5.098150315529545e-07,0.013296622056220307,0,
20260808_141232,ihawk1,20.0,1,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p020p000mm\frame_0001_color.png,5,1,8.135199396115107e-06,0.5590169192571763,0,
20260808_141232,ihawk1,20.0,2,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\frames\ihawk1\h_p020p000mm\frame_0002_color.png,5,1,6.198589558544034e-07,1.5364019078728232e-05,0,
