resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,xy_rmse_low_mm,xy_rmse_native_mm,downsampling_penalty_mm
r480x300,480,300,20260808_141232,ihawk1,Homography,40.0,70.53207094098458,68.49782847251565,2.034242468468932
r480x300,480,300,20260808_141232,ihawk1,Homography,45.0,80.81392641609733,80.17431851502944,0.6396079010678903
r480x300,480,300,20260808_141232,ihawk1,Homography,50.0,90.78923703838886,88.47602432586618,2.3132127125226845
r480x300,480,300,20260808_141232,ihawk1,PnP,0.0,10.149089782492812,5.407024224891659,4.742065557601153
r480x300,480,300,20260808_141232,ihawk1,PnP,5.0,18.389277437222557,14.137692144712435,4.251585292510121
r480x300,480,300,20260808_141232,ihawk1,PnP,10.0,20.167895046997227,11.736888764760824,8.431006282236403
r480x300,480,300,20260808_141232,ihawk1,PnP,15.0,15.779573739438495,12.336213196222781,3.4433605432157144
r480x300,480,300,20260808_141232,ihawk1,PnP,20.0,13.485982856131248,11.657909406451703,1.828073449679545
r480x300,480,300,20260808_141232,ihawk1,PnP,25.0,16.69196640979284,11.483061611579119,5.208904798213721
r480x300,480,300,20260808_141232,ihawk1,PnP,35.0,22.370681572469262,16.650321689861286,5.720359882607976
r480x300,480,300,20260808_141232,ihawk1,PnP,40.0,21.520469676510203,10.180105043061534,11.340364633448669
r480x300,480,300,20260808_141232,ihawk1,PnP,45.0,18.136847991438266,14.963693649421282,3.173154342016984
r480x300,480,300,20260808_141232,ihawk1,PnP,50.0,18.070382520887694,16.04913746824661,2.021245052641085
r480x300,480,300,20260808_141232,ihawk2,Affine,0.0,12.647200395718858,12.689161676066142,-0.04196128034728375
r480x300,480,300,20260808_141232,ihawk2,Affine,5.0,15.090642560807456,14.972591964346922,0.11805059646053451
r480x300,480,300,20260808_141232,ihawk2,Affine,10.0,16.151005826731385,15.946306650548104,0.20469917618328104
r480x300,480,300,20260808_141232,ihawk2,Affine,15.0,20.82121700053744,20.744017276302316,0.07719972423512544
r480x300,480,300,20260808_141232,ihawk2,Affine,20.0,27.165790250587577,26.812262779175544,0.35352747141203267
r480x300,480,300,20260808_141232,ihawk2,Affine,25.0,31.26442643172241,30.74730543106043,0.5171210006619802
r480x300,480,300,20260808_141232,ihawk2,Affine,35.0,41.35825767050682,41.193025637244304,0.16523203326251945
r480x300,480,300,20260808_141232,ihawk2,Affine,40.0,46.121809704829396,46.40585536933436,-0.2840456645049656
r480x300,480,300,20260808_141232,ihawk2,Affine,45.0,51.96644383940554,51.87843189073492,0.08801194867061923
r480x300,480,300,20260808_141232,ihawk2,Affine,50.0,58.74667805705847,58.67156925484644,0.07510880221202854
r480x300,480,300,20260808_141232,ihawk2,Homography,0.0,0.10679029571798758,0.16584547087480725,-0.05905517515681967
r480x300,480,300,20260808_141232,ihawk2,Homography,5.0,8.832902414033432,8.325417732942144,0.5074846810912881
r480x300,480,300,20260808_141232,ihawk2,Homography,10.0,11.066054178270265,10.396603781590764,0.6694503966795011
r480x300,480,300,20260808_141232,ihawk2,Homography,15.0,18.20555956176894,17.7994662912442,0.40609327052473887
r480x300,480,300,20260808_141232,ihawk2,Homography,20.0,26.47691181807207,25.867438137345037,0.6094736807270351
r480x300,480,300,20260808_141232,ihawk2,Homography,25.0,32.103742093583634,30.944885474969613,1.1588566186140206
r480x300,480,300,20260808_141232,ihawk2,Homography,35.0,44.60564163877006,44.35863365560312,0.24700798316693806
r480x300,480,300,20260808_141232,ihawk2,Homography,40.0,50.878215982631495,51.09389823520403,-0.2156822525725346
r480x300,480,300,20260808_141232,ihawk2,Homography,45.0,58.76573939373495,58.44369040005288,0.32204899368206696
r480x300,480,300,20260808_141232,ihawk2,Homography,50.0,67.3350678729935,67.1738818026758,0.16118607031771148
r480x300,480,300,20260808_141232,ihawk2,PnP,0.0,3.460769328868788,3.2083402385721373,0.25242909029665084
r480x300,480,300,20260808_141232,ihawk2,PnP,5.0,10.875871483643497,5.868955471829554,5.006916011813943
r480x300,480,300,20260808_141232,ihawk2,PnP,10.0,9.30909157771029,4.5170532702417905,4.7920383074685
r480x300,480,300,20260808_141232,ihawk2,PnP,15.0,8.43880026452093,5.844025810220557,2.5947744543003735
r480x300,480,300,20260808_141232,ihawk2,PnP,20.0,8.337540380513122,5.580009023827979,2.757531356685143
r480x300,480,300,20260808_141232,ihawk2,PnP,25.0,15.19534036310919,4.5971559314390005,10.598184431670191
r480x300,480,300,20260808_141232,ihawk2,PnP,35.0,7.536123258160435,5.132994278854871,2.4031289793055643
r480x300,480,300,20260808_141232,ihawk2,PnP,40.0,7.246870466755956,4.672866037243472,2.5740044295124838
r480x300,480,300,20260808_141232,ihawk2,PnP,45.0,8.246259869842904,13.537660799501941,-5.291400929659037
r480x300,480,300,20260808_141232,ihawk2,PnP,50.0,6.477969348187829,4.9442259242506035,1.5337434239372252
r480x300,480,300,20260808_145501,ihawk1,Affine,0.0,11.600679660398956,11.439351828298681,0.1613278321002749
r480x300,480,300,20260808_145501,ihawk1,Affine,5.0,13.850968894920566,13.584255685930708,0.2667132089898576
r480x300,480,300,20260808_145501,ihawk1,Affine,10.0,16.94767303795141,17.008080462907508,-0.060407424956096634
r480x300,480,300,20260808_145501,ihawk1,Affine,15.0,23.28128821172109,23.434205356625775,-0.15291714490468422
r480x300,480,300,20260808_145501,ihawk1,Affine,20.0,29.609326423703468,29.941119616925967,-0.3317931932224987
r480x300,480,300,20260808_145501,ihawk1,Affine,25.0,37.126381904246315,37.05896783972897,0.06741406451734377
r480x300,480,300,20260808_145501,ihawk1,Affine,30.0,43.97463347763704,43.42966260391977,0.5449708737172685
