resolution_id,width_px,height_px,run_id,camera_id,model,height_gt_mm,n_expected_markers,n_valid_markers,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_median_mm,xy_p95_mm,xy_max_mm,pnp_z_rmse_mm
r640x400,640,400,20260808_145501,ihawk1,Affine,45.0,5,5,1,64.23928816887023,63.10938731476131,68.36542006849947,72.68376495154276,72.7096231781932,
r640x400,640,400,20260808_145501,ihawk1,Affine,50.0,5,5,1,69.87166431228727,68.74232970752186,73.07214200960537,79.21098653135483,79.43325579452518,
r640x400,640,400,20260808_145501,ihawk1,Homography,0.0,5,5,1,0.06884485022262021,0.05536616317566638,0.054800113046435,0.11530792779536372,0.1304093499533551,
r640x400,640,400,20260808_145501,ihawk1,Homography,5.0,5,5,1,7.919292755444127,7.797345593792597,7.400542852455653,9.460364474348859,9.505978673732319,
r640x400,640,400,20260808_145501,ihawk1,Homography,10.0,5,5,1,13.38722695986342,13.209085274623032,13.454690904849373,15.541591601271374,15.689712981944508,
r640x400,640,400,20260808_145501,ihawk1,Homography,15.0,5,5,1,22.566927718311568,22.216631057317827,21.097272817661207,27.193577355319768,27.658420473578794,
r640x400,640,400,20260808_145501,ihawk1,Homography,20.0,5,5,1,30.873184020780386,30.41921753596845,29.280049290794416,37.087750142023395,37.8434869257815,
r640x400,640,400,20260808_145501,ihawk1,Homography,25.0,5,5,1,39.89708941362856,39.32150934790256,37.793888953211486,47.901394664310565,48.74138511212208,
r640x400,640,400,20260808_145501,ihawk1,Homography,30.0,5,5,1,47.8145040333898,47.08946624886713,44.80896225157473,57.24844382805952,57.98184333756148,
r640x400,640,400,20260808_145501,ihawk1,Homography,35.0,5,5,1,54.92184014942024,54.27708124158746,53.27975866294624,63.69073123506807,63.86054341640977,
r640x400,640,400,20260808_145501,ihawk1,Homography,40.0,5,5,1,64.41780745635982,63.4533421020693,61.09496658645217,77.52883862938278,78.94577055884847,
r640x400,640,400,20260808_145501,ihawk1,Homography,45.0,5,5,1,74.45367747794619,73.36992786103568,70.82711337824726,89.33063203115555,90.7424430188523,
r640x400,640,400,20260808_145501,ihawk1,Homography,50.0,5,5,1,81.78205341982975,80.68007322894218,78.23357056869195,97.54230840706897,99.25811019321783,
r640x400,640,400,20260808_145501,ihawk1,PnP,0.0,5,5,1,8.592750129649819,7.292151326360875,5.550867856888443,14.242100773448863,15.890183578605686,5.151372664576148
r640x400,640,400,20260808_145501,ihawk1,PnP,5.0,5,5,1,7.869083491299328,6.732917673339304,6.130491055316683,12.678494490567473,13.88235813477641,4.452446096725953
r640x400,640,400,20260808_145501,ihawk1,PnP,10.0,5,5,1,4.473162002653921,4.235373413856796,4.427265817445392,6.042015478794084,6.241947354032814,3.9821975472241724
r640x400,640,400,20260808_145501,ihawk1,PnP,15.0,5,5,1,9.206031131592082,8.137233084238089,7.209077660309829,14.512440284670063,15.83953293534995,5.633868902003082
r640x400,640,400,20260808_145501,ihawk1,PnP,20.0,5,5,1,9.862875286656436,8.39875271753506,7.248882778632749,16.141521743399252,18.01531268529776,5.820594470583229
r640x400,640,400,20260808_145501,ihawk1,PnP,25.0,5,5,1,10.804144903009105,9.10970431112634,6.967058553703637,17.995031353712612,20.13971584356785,5.908555006560311
r640x400,640,400,20260808_145501,ihawk1,PnP,30.0,5,5,1,12.388172105873405,11.062442442083164,8.924177956401,18.402198744515676,19.13265663472009,7.698272636045936
r640x400,640,400,20260808_145501,ihawk1,PnP,35.0,5,5,1,7.986914192193558,7.208894579594111,5.147750361768374,11.588733174591333,11.774540111933545,4.803674629701125
r640x400,640,400,20260808_145501,ihawk1,PnP,40.0,5,5,1,9.381586569116003,8.67765299446199,8.99856325440309,12.459280208955636,12.56390032380127,6.330138602674212
r640x400,640,400,20260808_145501,ihawk1,PnP,45.0,5,5,1,10.215930625432753,8.54482993652546,8.298747235594588,16.49292463891316,18.127059295891524,6.021132505112272
r640x400,640,400,20260808_145501,ihawk1,PnP,50.0,5,5,1,10.662445462710602,10.264094452301773,9.09806421658145,14.234349964615653,14.631945747930855,7.713633336139258
r640x400,640,400,20260808_145501,ihawk2,Affine,0.0,5,5,1,12.630059640994292,12.237885616949983,12.011406620516972,15.324132037919439,15.367405298130057,
r640x400,640,400,20260808_145501,ihawk2,Affine,5.0,5,5,1,13.897139856727618,13.843466733680298,13.87947948796281,15.163022569487676,15.164810468566282,
r640x400,640,400,20260808_145501,ihawk2,Affine,10.0,5,5,1,15.519421629229772,15.494223177729676,15.043285112301964,16.65860277485023,16.730384726732883,
r640x400,640,400,20260808_145501,ihawk2,Affine,15.0,5,5,1,19.71220792579549,19.661913946084375,20.096886145463174,21.004906450469175,21.037990781978145,
r640x400,640,400,20260808_145501,ihawk2,Affine,20.0,5,5,1,25.152491311790694,25.068957157253028,25.481428433357163,27.476373504286265,27.783010963287843,
r640x400,640,400,20260808_145501,ihawk2,Affine,25.0,5,5,1,31.39782328815271,31.26802515763041,31.857517764061832,34.41407416075649,34.51575787226624,
r640x400,640,400,20260808_145501,ihawk2,Affine,30.0,5,5,1,34.64013921792242,34.48003437421566,36.33386629178792,37.80236500692169,38.048660798992,
