resolution_id,width_px,height_px,camera_id,height_gt_mm,n_marker_conditions,n_complete_marker_conditions,center_repeatability_rms_median_native_equiv_px,center_repeatability_rms_p95_native_equiv_px,corner_repeatability_rms_median_native_equiv_px,corner_repeatability_rms_p95_native_equiv_px,corner_repeatability_fraction_median,center_drift_from_native_median_px,center_drift_from_native_p95_px,corner_drift_from_native_median_px,corner_drift_from_native_p95_px
r480x300,480,300,ihawk1,40.0,25,22,0.014639508978060625,0.4329889342701506,0.02687754320755242,0.8676609837018529,0.001058243799655247,0.5873760863828359,1.53347268777028,1.4103742620762203,3.3215152094954594
r480x300,480,300,ihawk1,45.0,25,22,0.014080701170989838,0.28200509082561936,0.03357582083263562,0.5633849228492136,0.0011131473958478069,0.6130916018101398,1.0423913926124135,1.212682956007734,1.9353904700617268
r480x300,480,300,ihawk1,50.0,25,24,0.01245140997052556,0.5858483235878926,0.024815428300330945,1.1620883535953554,0.0009627619431286309,0.4620557700307648,1.135737303137637,1.0393349937525096,3.117701631932561
r480x300,480,300,ihawk1,ALL,270,254,0.015489529113646712,0.4557148349095832,0.03062759054216888,0.9306701872969911,0.0011527206239045403,0.5007335006730617,1.478901163928254,1.061277071453,2.8896785856546647
r480x300,480,300,ihawk2,0.0,25,25,0.009756681090647522,0.014588698819120944,0.020009536137588314,0.029845473360775695,0.0006146554845395365,0.06216746731986252,0.10794734495365012,0.1268312203132232,0.18243818454146293
r480x300,480,300,ihawk2,5.0,25,25,0.008687533117397716,0.028193498832864365,0.017776181944939295,0.05538956082055152,0.0005570111470221993,0.06995539493140498,0.7341891735859876,0.13766086206024597,1.4383206170760092
r480x300,480,300,ihawk2,10.0,25,25,0.00949314472988655,0.08230241251438578,0.022351429020769448,0.15785191275306587,0.0006293970560375476,0.07111330671987859,0.7843810023430527,0.14335846627801047,1.4839437536879077
r480x300,480,300,ihawk2,15.0,25,25,0.010483544184082422,0.019784839530277203,0.0224324228128257,0.03607663727786922,0.0006471145721500323,0.06557337688372361,0.8699730757311199,0.14894791149432313,1.468514884367828
r480x300,480,300,ihawk2,20.0,25,24,0.011084458703116251,0.026646971369146982,0.02201744110677891,0.04001318399825026,0.0007071525855142243,0.060207502742749296,0.3933602823673716,0.13670521192710539,0.6947485624159326
r480x300,480,300,ihawk2,25.0,25,25,0.015011745303545423,0.054180416822183546,0.027249224051804858,0.09982309186426105,0.0007621623265452373,0.15724673057088445,1.03770197274297,0.4147156768704775,2.0417183279916533
r480x300,480,300,ihawk2,30.0,20,20,0.019264582669636758,0.44867302144439825,0.03561863788527461,0.8974709962541662,0.0009723762787047894,0.4868088047191126,1.1017296486465964,0.8477069191681978,2.1840176821657806
r480x300,480,300,ihawk2,35.0,25,25,0.009616061181070267,0.02580602557070721,0.02218340884089759,0.051511367386411405,0.0006193125187543535,0.09082992941742964,0.8495885456783142,0.1485876559043645,1.4870833643563295
r480x300,480,300,ihawk2,40.0,25,25,0.014922797142701375,0.14783868619532917,0.025954347819452116,0.2940935693404173,0.0009054433541128326,0.2811765683684149,0.9790122900436518,0.6310522956608341,1.988704767659993
r480x300,480,300,ihawk2,45.0,25,25,0.011197968642206999,0.030789342378199018,0.024632810493330517,0.06146092597724904,0.0007294548284927689,0.11786742487859327,0.8909439677065584,0.21996299003553274,1.9731184140938691
r480x300,480,300,ihawk2,50.0,25,25,0.00861912021196518,0.016995559475473813,0.017633353964402194,0.03576664739157906,0.0005627561223429893,0.09589778486161966,0.7105055589116798,0.17491098032413116,1.3050557792745632
r480x300,480,300,ihawk2,ALL,270,269,0.009961399343768478,0.055171843307811205,0.022570713936730647,0.1094611850393107,0.0006765678767512288,0.08239595772894162,0.9887765530686803,0.16142277266299238,1.8072492570762921
r320x200,320,200,ihawk1,0.0,25,21,0.009434957581196148,0.04443536980919731,0.017825214949018207,0.08588786223897846,0.0006218306695402504,0.24987601324668704,0.7125702289144346,0.7055891737844966,1.6198255589473243
r320x200,320,200,ihawk1,5.0,25,16,0.011825812844589532,0.20359369251291345,0.02425507939238254,0.44265684145714823,0.0008712697411777931,0.9244846902023631,2.3207810491084624,2.0415791888860015,3.4870062140058686
r320x200,320,200,ihawk1,10.0,25,17,0.011571115346290638,0.053387109778546604,0.02469224332291001,0.11207199318492038,0.0010074921741906715,1.2378262686529462,1.944671855771689,1.9692502732009918,3.03557595839081
r320x200,320,200,ihawk1,15.0,25,21,0.01453773592829261,0.04444745243421151,0.029557597373020054,0.09707588329700004,0.0010227382510598826,1.1853988590068345,1.8592054652036893,1.8434998703417151,2.9361106509606074
r320x200,320,200,ihawk1,20.0,25,20,0.011682970593771899,0.03354045776964743,0.02437488598550072,0.060436805849392684,0.0008620899886573451,1.104851212525252,1.9906191668336766,1.6980081604029889,2.87891107898054
r320x200,320,200,ihawk1,25.0,25,18,0.01524300145771353,0.07727151392645039,0.03251402607629657,0.15055922152563755,0.0009979453396390323,1.1162616907695146,2.398921122253399,2.514874696898978,3.3045609313475723
r320x200,320,200,ihawk1,30.0,20,16,0.016042849062938583,0.21164794965311687,0.028981825579925177,0.4130646310761815,0.001086461632229948,1.5729716972291536,2.038965298959959,2.385738234375209,3.5531910899829584
r320x200,320,200,ihawk1,35.0,25,19,0.017149106089057536,0.29425486671252293,0.03401486072622072,0.48824693596566476,0.0011195903739096005,1.6730787291920661,2.1171704555678175,2.3485823198960856,3.3538458756935543
r320x200,320,200,ihawk1,40.0,25,19,0.014541527128556338,0.26613277687818054,0.0343221691939718,0.49395168149297725,0.0010722083151462692,1.487721599875532,2.052276043512709,2.279624214989971,3.165799882516896
r320x200,320,200,ihawk1,45.0,25,18,0.010801750181361093,0.1979619683172737,0.022061612505114687,0.3919907308696865,0.0008700660176681076,1.297057831159758,2.761073824666556,2.072341260936264,3.3462780325987875
r320x200,320,200,ihawk1,50.0,25,18,0.012533827851753212,0.7898412653096307,0.02820743999634904,1.5546352666860068,0.0008817933976818842,1.0273404091364657,2.321048573693704,1.8143173169956475,3.2554210572016657
r320x200,320,200,ihawk1,ALL,270,203,0.012672252578587267,0.21549169349082717,0.02741644223640025,0.43879415905210195,0.0009545377913428566,1.1140819623359062,2.247972388993888,1.967728245745132,3.3235706763664394
r320x200,320,200,ihawk2,0.0,25,25,0.010325728243137319,0.01779581702781092,0.021969148567811295,0.03553659335299381,0.0007270845750882206,0.2867796750004111,0.5065436905582644,0.6308367658887731,0.8103353521055193
r320x200,320,200,ihawk2,5.0,25,25,0.009223584944106794,0.019001395890049975,0.02150424185623894,0.04376394809876926,0.0006199328858559472,0.5207041279399653,1.6428814401155436,0.8058956699095925,2.574084671681011
r320x200,320,200,ihawk2,10.0,25,21,0.012384252502929604,0.023002668232733014,0.026408937057771538,0.04218431932228998,0.0008100024232124253,0.46460820634931815,1.881041156622028,0.7824051276058194,2.9891818245498674
r320x200,320,200,ihawk2,15.0,25,24,0.010421159435771613,0.09234689237235937,0.02252080919581651,0.17957552044780356,0.0006320346508822301,0.38477737663927347,1.1703522890185942,0.7278318091113158,2.0793815840564895
r320x200,320,200,ihawk2,20.0,25,23,0.011124996592479697,0.021908446028817533,0.029210685291603197,0.04652451032012063,0.0009195797788611633,0.43205914528643247,1.8471787599716483,0.7603284222238454,2.965117116479912
r320x200,320,200,ihawk2,25.0,25,25,0.01061119893268618,0.34457510070037695,0.02474358227266171,0.6931967974770923,0.0007604810808668882,1.2460932578645305,2.0034783561151333,2.1625676539517515,3.2979766992263038
r320x200,320,200,ihawk2,30.0,20,18,0.015702063148398948,0.026097070470250876,0.029523860014707207,0.055215275002282065,0.0008696223075371978,1.2131208760427052,2.0106181978509117,1.9975429677325924,3.2608212582293734
r320x200,320,200,ihawk2,35.0,25,22,0.012360849918907804,0.017841724016175287,0.023333226639612653,0.03323543972340433,0.0006972253057229807,1.0298474241835187,1.971084626472419,1.7908626062618132,3.531223539463781
r320x200,320,200,ihawk2,40.0,25,22,0.011291658349949,0.062358960314656174,0.023859952079363513,0.1234533000900288,0.0007577203678611896,1.1347809301038891,2.1927784050645833,2.1961266161956976,3.5117937022342742
r320x200,320,200,ihawk2,45.0,25,24,0.010909246110193418,0.08071059343624629,0.021341072994743412,0.14140060751901182,0.0006846562988346171,0.9487839043734365,2.1342719726206583,1.5944021241312094,3.448194944600419
r320x200,320,200,ihawk2,50.0,25,23,0.00993445281382129,0.02103541711386867,0.018884571642761652,0.03628566831969589,0.0005860224723814827,0.5082852841067187,1.454634969002252,1.035166671735331,2.2742163620207054
r320x200,320,200,ihawk2,ALL,270,252,0.011145753339467834,0.03617462095980195,0.02331492533594564,0.06617707795272974,0.0007298191612984724,0.5487801173914884,1.9751654586716003,1.037893649972371,3.142138248789572
r240x150,240,150,ihawk1,0.0,25,12,0.010736336174513004,0.021928006400190287,0.022519634507161938,0.04087591941976363,0.0007702359245761607,0.24993393680880796,0.7741165924723237,1.1168476066337285,1.7265908366786036
r240x150,240,150,ihawk1,5.0,25,10,0.013113943499728956,0.03663725206719929,0.02067995280464619,0.0788979675046006,0.0007539411951731265,1.1039102971830792,2.48302973060714,2.530609900600829,3.7047769864444473
r240x150,240,150,ihawk1,10.0,25,10,0.013212848240567811,0.5202114728300717,0.02715322541646384,1.0462158712861678,0.0008188140411661422,1.3056790992483496,2.5817165772077115,2.9035411722512716,4.117708439345095
r240x150,240,150,ihawk1,15.0,25,9,0.01758546669365776,0.05669886730416912,0.03169938735613553,0.10818477672441547,0.00105720727546157,1.356580452166089,1.9578096664737075,2.4629875702922583,3.4909242660401674
