resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,model,markers_per_frame,mapping_latency_median_ms,mapping_timing_outer_repeats,mapping_timing_inner_repeats,detection_latency_median_ms,pipeline_latency_ms
r640x400,640,400,20260808_131913,ihawk2,0.0,2,Affine,5,0.01758,5,50,4.3557,4.373279999999999
r640x400,640,400,20260808_131913,ihawk2,0.0,2,Homography,5,0.016958,5,50,4.3557,4.3726579999999995
r640x400,640,400,20260808_131913,ihawk2,0.0,2,PnP,5,1.1640059999999999,5,50,4.3557,5.519705999999999
r640x400,640,400,20260808_131913,ihawk2,0.0,3,Affine,5,0.017166,5,50,4.3805,4.397665999999999
r640x400,640,400,20260808_131913,ihawk2,0.0,3,Homography,5,0.016742,5,50,4.3805,4.397241999999999
r640x400,640,400,20260808_131913,ihawk2,0.0,3,PnP,5,1.224514,5,50,4.3805,5.605014
r640x400,640,400,20260808_131913,ihawk2,5.0,1,Affine,5,0.017638,5,50,4.6175,4.6351379999999995
r640x400,640,400,20260808_131913,ihawk2,5.0,1,Homography,5,0.016884,5,50,4.6175,4.634384
r640x400,640,400,20260808_131913,ihawk2,5.0,1,PnP,5,1.474884,5,50,4.6175,6.092384
r640x400,640,400,20260808_131913,ihawk2,5.0,2,Affine,5,0.016998,5,50,4.5798,4.596798
r640x400,640,400,20260808_131913,ihawk2,5.0,2,Homography,5,0.01811,5,50,4.5798,4.59791
r640x400,640,400,20260808_131913,ihawk2,5.0,2,PnP,5,1.196024,5,50,4.5798,5.775824
r640x400,640,400,20260808_131913,ihawk2,5.0,3,Affine,5,0.01891,5,50,5.2259,5.24481
r640x400,640,400,20260808_131913,ihawk2,5.0,3,Homography,5,0.016888,5,50,5.2259,5.242788
r640x400,640,400,20260808_131913,ihawk2,5.0,3,PnP,5,1.3606120000000002,5,50,5.2259,6.586512000000001
r640x400,640,400,20260808_131913,ihawk2,10.0,1,Affine,5,0.016906,5,50,5.0057,5.022606
r640x400,640,400,20260808_131913,ihawk2,10.0,1,Homography,5,0.016226,5,50,5.0057,5.021926
r640x400,640,400,20260808_131913,ihawk2,10.0,1,PnP,5,1.10545,5,50,5.0057,6.11115
r640x400,640,400,20260808_131913,ihawk2,10.0,2,Affine,5,0.017136,5,50,4.581,4.598136
r640x400,640,400,20260808_131913,ihawk2,10.0,2,Homography,5,0.01611,5,50,4.581,4.597110000000001
r640x400,640,400,20260808_131913,ihawk2,10.0,2,PnP,5,1.12316,5,50,4.581,5.70416
r640x400,640,400,20260808_131913,ihawk2,10.0,3,Affine,5,0.017018,5,50,4.6176,4.634618000000001
r640x400,640,400,20260808_131913,ihawk2,10.0,3,Homography,5,0.016256,5,50,4.6176,4.633856000000001
r640x400,640,400,20260808_131913,ihawk2,10.0,3,PnP,5,1.125024,5,50,4.6176,5.742624
r640x400,640,400,20260808_131913,ihawk2,15.0,1,Affine,5,0.016988,5,50,4.1814,4.198388
r640x400,640,400,20260808_131913,ihawk2,15.0,1,Homography,5,0.016828,5,50,4.1814,4.198228
r640x400,640,400,20260808_131913,ihawk2,15.0,1,PnP,5,1.3402420000000002,5,50,4.1814,5.521642
r640x400,640,400,20260808_131913,ihawk2,15.0,2,Affine,5,0.018938,5,50,4.4463,4.465238
r640x400,640,400,20260808_131913,ihawk2,15.0,2,Homography,5,0.016226,5,50,4.4463,4.4625259999999995
r640x400,640,400,20260808_131913,ihawk2,15.0,2,PnP,5,1.232572,5,50,4.4463,5.678872
r640x400,640,400,20260808_131913,ihawk2,15.0,3,Affine,5,0.017634,5,50,4.3332,4.350834
r640x400,640,400,20260808_131913,ihawk2,15.0,3,Homography,5,0.019842,5,50,4.3332,4.353041999999999
r640x400,640,400,20260808_131913,ihawk2,15.0,3,PnP,5,1.475926,5,50,4.3332,5.809126
r640x400,640,400,20260808_131913,ihawk2,20.0,1,Affine,5,0.027184,5,50,4.2304,4.2575840000000005
r640x400,640,400,20260808_131913,ihawk2,20.0,1,Homography,5,0.026458,5,50,4.2304,4.256858
r640x400,640,400,20260808_131913,ihawk2,20.0,1,PnP,5,1.345388,5,50,4.2304,5.575788
r640x400,640,400,20260808_131913,ihawk2,20.0,2,Affine,5,0.018266,5,50,4.3025,4.320766
r640x400,640,400,20260808_131913,ihawk2,20.0,2,Homography,5,0.0166,5,50,4.3025,4.319100000000001
r640x400,640,400,20260808_131913,ihawk2,20.0,2,PnP,5,1.2849879999999998,5,50,4.3025,5.5874880000000005
r640x400,640,400,20260808_131913,ihawk2,20.0,3,Affine,5,0.0183,5,50,4.0147,4.033
r640x400,640,400,20260808_131913,ihawk2,20.0,3,Homography,5,0.01736,5,50,4.0147,4.03206
r640x400,640,400,20260808_131913,ihawk2,20.0,3,PnP,5,1.3310579999999999,5,50,4.0147,5.345758
r640x400,640,400,20260808_131913,ihawk2,25.0,1,Affine,5,0.017669999999999998,5,50,4.1752,4.19287
r640x400,640,400,20260808_131913,ihawk2,25.0,1,Homography,5,0.022566000000000003,5,50,4.1752,4.1977660000000006
r640x400,640,400,20260808_131913,ihawk2,25.0,1,PnP,5,1.211608,5,50,4.1752,5.386808
r640x400,640,400,20260808_131913,ihawk2,25.0,2,Affine,5,0.025872000000000003,5,50,4.5745,4.600371999999999
r640x400,640,400,20260808_131913,ihawk2,25.0,2,Homography,5,0.016836,5,50,4.5745,4.591335999999999
r640x400,640,400,20260808_131913,ihawk2,25.0,2,PnP,5,1.174018,5,50,4.5745,5.748518
r640x400,640,400,20260808_131913,ihawk2,25.0,3,Affine,5,0.016982,5,50,4.9251,4.942081999999999
r640x400,640,400,20260808_131913,ihawk2,25.0,3,Homography,5,0.01629,5,50,4.9251,4.941389999999999
r640x400,640,400,20260808_131913,ihawk2,25.0,3,PnP,5,1.15209,5,50,4.9251,6.07719
r640x400,640,400,20260808_131913,ihawk2,30.0,1,Affine,5,0.01737,5,50,4.356,4.3733699999999995
r640x400,640,400,20260808_131913,ihawk2,30.0,1,Homography,5,0.016552,5,50,4.356,4.372552
r640x400,640,400,20260808_131913,ihawk2,30.0,1,PnP,5,1.104812,5,50,4.356,5.460812
r640x400,640,400,20260808_131913,ihawk2,30.0,2,Affine,5,0.01702,5,50,4.6943,4.71132
r640x400,640,400,20260808_131913,ihawk2,30.0,2,Homography,5,0.01671,5,50,4.6943,4.71101
r640x400,640,400,20260808_131913,ihawk2,30.0,2,PnP,5,1.12881,5,50,4.6943,5.82311
r640x400,640,400,20260808_131913,ihawk2,30.0,3,Affine,5,0.017564,5,50,4.3604,4.377964
r640x400,640,400,20260808_131913,ihawk2,30.0,3,Homography,5,0.016843999999999998,5,50,4.3604,4.377244
r640x400,640,400,20260808_131913,ihawk2,30.0,3,PnP,5,1.199694,5,50,4.3604,5.560094
r640x400,640,400,20260808_131913,ihawk2,35.0,1,Affine,5,0.023001999999999998,5,50,4.611,4.634002
r640x400,640,400,20260808_131913,ihawk2,35.0,1,Homography,5,0.016266,5,50,4.611,4.627266
r640x400,640,400,20260808_131913,ihawk2,35.0,1,PnP,5,1.316512,5,50,4.611,5.927512
r640x400,640,400,20260808_131913,ihawk2,35.0,2,Affine,5,0.02703,5,50,4.8652,4.89223
r640x400,640,400,20260808_131913,ihawk2,35.0,2,Homography,5,0.026072,5,50,4.8652,4.891272
