profile,resolution_id,width_px,height_px,camera_id,model,height_gt_mm,n_independent_rebuilds,xy_rmse_p95_observed_mm,xy_rmse_p95_limit_mm,marker_detection_rate,marker_detection_rate_min,pipeline_latency_p95_ms,pipeline_latency_p95_limit_ms,feasible,failed_gates
precision_30hz,r640x400,640,400,ihawk2,PnP,30.0,4,5.861815402527834,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,35.0,5,5.7313930404216835,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,40.0,5,6.853842008852624,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,45.0,5,11.666172998225875,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r640x400,640,400,ihawk2,PnP,50.0,5,5.560463779180191,2.0,1.0,0.99,7.337784799999999,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,Affine,0.0,5,12.040974142895703,2.0,1.0,0.99,4.0425234,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,Affine,5.0,4,16.048671298555067,2.0,0.9866666666666667,0.99,4.0425234,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,10.0,4,20.169724121159867,2.0,0.96,0.99,4.0425234,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,15.0,4,26.23751635609677,2.0,0.9866666666666667,0.99,4.0425234,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,20.0,3,32.37812327034414,2.0,0.9466666666666667,0.99,4.0425234,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,25.0,3,39.4287105189968,2.0,0.88,0.99,4.0425234,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,30.0,3,44.38524609925355,2.0,0.95,0.99,4.0425234,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,35.0,5,52.57036757891986,2.0,1.0,0.99,4.0425234,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,Affine,40.0,2,60.51894318176929,2.0,0.88,0.99,4.0425234,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,45.0,2,68.21972944607498,2.0,0.92,0.99,4.0425234,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Affine,50.0,4,74.96901827492533,2.0,0.9733333333333334,0.99,4.0425234,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,0.0,5,0.7772201076615772,2.0,1.0,0.99,4.0417566,33.3,1,
precision_30hz,r480x300,480,300,ihawk1,Homography,5.0,4,12.510016560668898,2.0,0.9866666666666667,0.99,4.0417566,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,10.0,4,18.245071371717028,2.0,0.96,0.99,4.0417566,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,15.0,4,26.46464870630521,2.0,0.9866666666666667,0.99,4.0417566,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,20.0,3,35.44177622434223,2.0,0.9466666666666667,0.99,4.0417566,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,25.0,3,43.48303306137097,2.0,0.88,0.99,4.0417566,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,30.0,3,50.39515830089708,2.0,0.95,0.99,4.0417566,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,35.0,5,60.46590149953195,2.0,1.0,0.99,4.0417566,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,Homography,40.0,2,70.21102166267121,2.0,0.88,0.99,4.0417566,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,45.0,2,80.2167433250573,2.0,0.92,0.99,4.0417566,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,Homography,50.0,4,89.6123625146938,2.0,0.9733333333333334,0.99,4.0417566,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,0.0,5,14.614403069887185,2.0,1.0,0.99,5.6173535999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,PnP,5.0,4,17.59892979235277,2.0,0.9866666666666667,0.99,5.6173535999999995,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,10.0,4,18.955805931561436,2.0,0.96,0.99,5.6173535999999995,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,15.0,4,15.359922694789097,2.0,0.9866666666666667,0.99,5.6173535999999995,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,20.0,3,13.432486604327615,2.0,0.9466666666666667,0.99,5.6173535999999995,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,25.0,3,16.372429160002948,2.0,0.88,0.99,5.6173535999999995,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,30.0,3,12.903591634685814,2.0,0.95,0.99,5.6173535999999995,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,35.0,5,21.807498371001355,2.0,1.0,0.99,5.6173535999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk1,PnP,40.0,2,21.0229467465111,2.0,0.88,0.99,5.6173535999999995,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,45.0,2,17.890030821463846,2.0,0.92,0.99,5.6173535999999995,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r480x300,480,300,ihawk1,PnP,50.0,4,17.74757826337046,2.0,0.9733333333333334,0.99,5.6173535999999995,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk2,Affine,0.0,5,12.707514927271216,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,5.0,5,14.962775759352548,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,10.0,5,17.74587653727062,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,15.0,5,22.492953080540403,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,20.0,4,27.05018114735476,2.0,0.9733333333333334,0.99,3.8798228999999997,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk2,Affine,25.0,5,32.619768469124246,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,30.0,4,37.49455140527514,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,35.0,5,42.701786648832964,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,40.0,5,47.41959253304771,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,45.0,5,52.94570953706422,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Affine,50.0,5,58.478309745048136,2.0,1.0,0.99,3.8798228999999997,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,0.0,5,0.11071065430439982,2.0,1.0,0.99,3.8673627999999995,33.3,1,
precision_30hz,r480x300,480,300,ihawk2,Homography,5.0,5,8.509333354415258,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,10.0,5,13.208118519073128,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,15.0,5,20.205147569674278,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,20.0,4,26.297628060038615,2.0,0.9733333333333334,0.99,3.8673627999999995,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk2,Homography,25.0,5,33.54219109868434,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,30.0,4,39.53509728089127,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,35.0,5,46.26076714851352,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,40.0,5,52.56514572391947,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,45.0,5,59.59251755230937,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,Homography,50.0,5,66.95578497231796,2.0,1.0,0.99,3.8673627999999995,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,0.0,5,4.450277905530336,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,5.0,5,10.15504559405231,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,10.0,5,11.140979315189766,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,15.0,5,11.106902053170197,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,20.0,4,8.19221601698616,2.0,0.9733333333333334,0.99,5.1220892,33.3,0,accuracy|detection
precision_30hz,r480x300,480,300,ihawk2,PnP,25.0,5,15.449317241954008,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,30.0,4,11.790554142639303,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,35.0,5,10.62041165310605,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,40.0,5,10.031107613457353,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,45.0,5,8.204485088377915,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r480x300,480,300,ihawk2,PnP,50.0,5,7.893722846498685,2.0,1.0,0.99,5.1220892,33.3,0,accuracy
precision_30hz,r320x200,320,200,ihawk1,Affine,0.0,1,11.532728831740313,2.0,0.84,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,5.0,0,nan,2.0,0.7066666666666667,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,10.0,0,nan,2.0,0.68,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,15.0,0,nan,2.0,0.84,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,20.0,0,nan,2.0,0.8266666666666667,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,25.0,0,nan,2.0,0.8,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,30.0,1,42.968959865023805,2.0,0.8,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,35.0,0,nan,2.0,0.76,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,40.0,0,nan,2.0,0.76,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,45.0,0,nan,2.0,0.72,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Affine,50.0,0,nan,2.0,0.72,0.99,2.3032398,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,0.0,1,0.5797125928380964,2.0,0.84,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,5.0,0,nan,2.0,0.7066666666666667,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,10.0,0,nan,2.0,0.68,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,15.0,0,nan,2.0,0.84,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,20.0,0,nan,2.0,0.8266666666666667,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,25.0,0,nan,2.0,0.8,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,30.0,1,47.97920999337276,2.0,0.8,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,35.0,0,nan,2.0,0.76,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,40.0,0,nan,2.0,0.76,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,45.0,0,nan,2.0,0.72,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,Homography,50.0,0,nan,2.0,0.72,0.99,2.3029813999999997,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,0.0,1,17.732551314336796,2.0,0.84,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,5.0,0,nan,2.0,0.7066666666666667,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,10.0,0,nan,2.0,0.68,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,15.0,0,nan,2.0,0.84,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,20.0,0,nan,2.0,0.8266666666666667,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,25.0,0,nan,2.0,0.8,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,30.0,1,15.314306940721325,2.0,0.8,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,35.0,0,nan,2.0,0.76,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,40.0,0,nan,2.0,0.76,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,45.0,0,nan,2.0,0.72,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk1,PnP,50.0,0,nan,2.0,0.72,0.99,3.8872682,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,0.0,5,12.48416719519767,2.0,1.0,0.99,2.5087734999999998,33.3,0,accuracy
precision_30hz,r320x200,320,200,ihawk2,Affine,5.0,5,14.607232787477045,2.0,1.0,0.99,2.5087734999999998,33.3,0,accuracy
precision_30hz,r320x200,320,200,ihawk2,Affine,10.0,2,16.615888968592117,2.0,0.8666666666666667,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,15.0,4,22.03842620077559,2.0,0.96,0.99,2.5087734999999998,33.3,0,accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,20.0,3,26.209680482554553,2.0,0.9333333333333333,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,25.0,5,32.05640833992317,2.0,1.0,0.99,2.5087734999999998,33.3,0,accuracy
precision_30hz,r320x200,320,200,ihawk2,Affine,30.0,2,36.720498274282285,2.0,0.9,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,35.0,2,40.08011791875702,2.0,0.88,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,40.0,3,45.336172117116654,2.0,0.92,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,45.0,4,52.512491311714506,2.0,0.96,0.99,2.5087734999999998,33.3,0,accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Affine,50.0,3,58.15554535839286,2.0,0.92,0.99,2.5087734999999998,33.3,0,sufficient_rebuilds|accuracy|detection
precision_30hz,r320x200,320,200,ihawk2,Homography,0.0,5,0.3075082761955118,2.0,1.0,0.99,2.5079279999999997,33.3,1,
precision_30hz,r320x200,320,200,ihawk2,Homography,5.0,5,8.466442207323913,2.0,1.0,0.99,2.5079279999999997,33.3,0,accuracy
precision_30hz,r320x200,320,200,ihawk2,Homography,10.0,2,11.942203302081044,2.0,0.8666666666666667,0.99,2.5079279999999997,33.3,0,sufficient_rebuilds|accuracy|detection
