resolution_id,width_px,height_px,scale_x,scale_y,run_id,camera_id,height_gt_mm,frame_index,marker_id,board_position,marker_gt_x_mm,marker_gt_y_mm,qc_excluded,detected,center_u_px,center_v_px,center_u_native_equiv_px,center_v_native_equiv_px,center_drift_from_native_px,corner_rmse_drift_from_native_px,corner0_u_px,corner0_v_px,corner1_u_px,corner1_v_px,corner2_u_px,corner2_v_px,corner3_u_px,corner3_v_px
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,2,4,C,0.0,0.0,0,1,221.4502410888672,183.43181610107422,295.43365478515625,244.742421468099,0.06755771666637908,0.27309019702740767,205.21412658691406,181.38870239257812,224.2495880126953,174.59027099609375,237.98902893066406,184.69955444335938,218.3482208251953,193.04873657226562
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,2,0,TL,-70.0,113.5,0,1,110.37042808532715,113.38322257995605,221.2408561706543,227.2664451599121,0.6644715362447556,1.6198255589473243,100.96673583984375,112.42373657226562,112.71392059326172,108.14862060546875,120.88011932373047,113.85186767578125,106.92093658447266,119.1086654663086
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,2,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,2,2,BL,-70.0,-113.5,0,1,149.8107566833496,152.2679557800293,300.1215133666992,305.0359115600586,0.24355604577947643,0.5340762659359118,136.40771484375,150.56640625,151.959716796875,143.30763244628906,163.48117065429688,153.1539306640625,147.39442443847656,162.04385375976562
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,2,3,BR,70.0,-113.5,0,1,189.3272933959961,132.17803764343262,379.1545867919922,264.85607528686523,0.2534618580854546,0.745499042779712,177.45387268066406,130.76414489746094,188.65072631835938,125.2408676147461,201.6164093017578,133.0767822265625,189.58816528320312,139.63035583496094
r320x200,320,200,0.5,0.5,20260808_131913,ihawk1,0.0,2,4,C,0.0,0.0,0,1,147.52569198608398,121.96641159057617,295.55138397216797,244.43282318115234,0.30134656740788995,0.6464218511159973,136.59292602539062,120.73017883300781,149.29354858398438,116.14269256591797,158.4861602783203,122.89131927490234,145.73013305664062,128.10145568847656
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,2,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,2,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,2,2,BL,-70.0,-113.5,0,1,112.12055587768555,113.97072792053223,299.8214823404948,304.7552744547526,0.24281878425355424,1.1194942492352387,102.21045684814453,112.77608489990234,113.58707427978516,107.50712585449219,122.23871612548828,114.59435272216797,110.44597625732422,121.0053482055664
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,2,3,BR,70.0,-113.5,0,1,142.09640884399414,98.71841049194336,379.757090250651,264.0824279785156,0.7421660653776482,1.6919493802905348,133.28562927246094,98.13029479980469,141.61024475097656,93.38317108154297,150.6751708984375,99.44169616699219,142.81459045410156,103.9184799194336
r240x150,240,150,0.375,0.375,20260808_131913,ihawk1,0.0,2,4,C,0.0,0.0,0,1,110.42497825622559,91.46267700195312,295.2999420166016,244.73380533854166,0.20011415078529599,1.1085716986633696,102.43926239013672,90.43180084228516,111.29116821289062,87.03779602050781,118.69462585449219,91.98593139648438,109.27485656738281,96.39517974853516
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,2,0,TL,-70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,2,1,TR,70.0,113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,2,2,BL,-70.0,-113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,2,3,BR,70.0,-113.5,0,0,,,,,,,,,,,,,,
r160x100,160,100,0.25,0.25,20260808_131913,ihawk1,0.0,2,4,C,0.0,0.0,0,0,,,,,,,,,,,,,,
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,3,0,TL,-70.0,113.5,0,1,221.88467025756836,227.06957244873047,221.88467025756836,227.06957244873047,0.0,0.0,201.70555114746094,225.21157836914062,229.0813446044922,216.20846557617188,242.5425567626953,228.47122192382812,214.209228515625,238.38702392578125
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,3,1,TR,70.0,113.5,0,1,292.18775939941406,203.34768295288086,292.18775939941406,203.34768295288086,0.0,0.0,273.9172668457031,202.12564086914062,295.6982421875,194.3216094970703,310.6715087890625,204.4451141357422,288.4640197753906,212.4983673095703
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,3,2,BL,-70.0,-113.5,0,1,300.0635528564453,304.7867736816406,300.0635528564453,304.7867736816406,0.0,0.0,273.18450927734375,301.45660400390625,304.6407470703125,286.19281005859375,327.5701904296875,306.802490234375,294.8587646484375,324.6951904296875
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,3,3,BR,70.0,-113.5,0,1,379.2923049926758,264.6310005187988,379.2923049926758,264.6310005187988,0.0,0.0,355.1708984375,262.1739807128906,379.1559143066406,250.23805236816406,403.55291748046875,266.33251953125,379.28948974609375,279.7794494628906
r640x400,640,400,1.0,1.0,20260808_131913,ihawk1,0.0,3,4,C,0.0,0.0,0,1,295.50794219970703,244.7425193786621,295.50794219970703,244.7425193786621,0.0,0.0,273.65142822265625,242.1077117919922,299.4920349121094,232.58612060546875,317.5771484375,246.5775146484375,291.3111572265625,257.69873046875
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,3,0,TL,-70.0,113.5,0,1,165.8685646057129,170.33578491210938,221.3247528076172,227.28104654947916,0.5985222185076252,1.1792748073327184,151.32330322265625,168.80868530273438,170.01116943359375,162.54986572265625,181.72116088867188,171.32492065429688,160.4186248779297,178.65966796875
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,3,1,TR,70.0,113.5,0,1,219.9817123413086,152.73057174682617,293.4756164550781,203.80742899576822,1.367458306411678,2.1839429627841027,205.41128540039062,151.3842010498047,223.9912109375,147.3668975830078,232.88316345214844,153.3002471923828,217.6411895751953,158.87094116210938
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,3,2,BL,-70.0,-113.5,0,1,224.94319915771484,228.5150032043457,300.09093221028644,304.8533376057943,0.07197489156292623,0.10029398368627461,204.7335205078125,226.0504913330078,228.4241485595703,214.51625061035156,245.59962463378906,230.01805114746094,221.0155029296875,243.4752197265625
r480x300,480,300,0.75,0.75,20260808_131913,ihawk1,0.0,3,3,BR,70.0,-113.5,0,1,284.59473419189453,198.66840362548828,379.6263122558594,265.057871500651,0.5420144712153311,0.6867748054226671,266.3431091308594,196.45004272460938,284.4566345214844,188.27401733398438,302.8088684082031,200.07289123535156,284.77032470703125,209.8766632080078
