resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,marker_id,n_expected_frames,n_detected_frames,complete_three_frame_detection,center_repeatability_rms_native_equiv_px,corner_repeatability_rms_native_equiv_px,median_marker_side_native_equiv_px,corner_repeatability_fraction_of_marker_side,center_drift_from_native_median_px,corner_drift_from_native_median_px
r160x100,160,100,20260808_141232,ihawk1,15.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,15.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,20.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,20.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,20.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,20.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,20.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,25.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,25.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,25.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,25.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,25.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,35.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,35.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,35.0,2,3,3,1,0.027488098057758398,0.048687327626802876,37.13177638000549,0.0013112038359958387,6.036603283341926,7.866402056513477
r160x100,160,100,20260808_141232,ihawk1,35.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,35.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,40.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,40.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,40.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,40.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,40.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,45.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,45.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,45.0,2,3,3,1,0.02188751301808929,0.04400239874713627,37.23606661063005,0.0011817144707377493,5.5130907134690155,7.063440277574555
r160x100,160,100,20260808_141232,ihawk1,45.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,45.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,50.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,50.0,1,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,50.0,2,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,50.0,3,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk1,50.0,4,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,0.0,0,3,0,0,nan,nan,nan,nan,nan,nan
r160x100,160,100,20260808_141232,ihawk2,0.0,1,3,0,0,nan,nan,nan,nan,nan,nan
