resolution_id,width_px,height_px,camera_id,model,summary_type,height_gt_mm,n_paired_rebuilds,downsampling_penalty_mean_mm,downsampling_penalty_median_mm,downsampling_penalty_p95_mm,penalty_vs_height_slope_mean_mm_per_mm,penalty_vs_height_slope_sd_mm_per_mm,amplification_0_to_50_mean_mm,amplification_0_to_50_sd_mm
r320x200,320,200,ihawk1,Affine,height_specific,20.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,25.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,30.0,1,-0.4607027388959679,-0.4607027388959679,-0.4607027388959679,,,,
r320x200,320,200,ihawk1,Affine,height_specific,35.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,40.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,45.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_specific,50.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Affine,height_amplification,ALL,0,,,,nan,nan,nan,nan
r320x200,320,200,ihawk1,Homography,height_specific,0.0,1,0.5108677426154762,0.5108677426154762,0.5108677426154762,,,,
r320x200,320,200,ihawk1,Homography,height_specific,5.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,10.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,15.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,20.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,25.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,30.0,1,0.16470595998296034,0.16470595998296034,0.16470595998296034,,,,
r320x200,320,200,ihawk1,Homography,height_specific,35.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,40.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,45.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_specific,50.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,Homography,height_amplification,ALL,0,,,,nan,nan,nan,nan
r320x200,320,200,ihawk1,PnP,height_specific,0.0,1,9.139801184686977,9.139801184686977,9.139801184686977,,,,
r320x200,320,200,ihawk1,PnP,height_specific,5.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,10.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,15.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,20.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,25.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,30.0,1,2.92613483484792,2.92613483484792,2.92613483484792,,,,
r320x200,320,200,ihawk1,PnP,height_specific,35.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,40.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,45.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_specific,50.0,0,nan,nan,nan,,,,
r320x200,320,200,ihawk1,PnP,height_amplification,ALL,0,,,,nan,nan,nan,nan
r320x200,320,200,ihawk2,Affine,height_specific,0.0,5,-0.21524581559386285,-0.2207799757747626,-0.16399498379264052,,,,
r320x200,320,200,ihawk2,Affine,height_specific,5.0,5,-0.2178876771257386,-0.23318959520167404,-0.16137519533103026,,,,
r320x200,320,200,ihawk2,Affine,height_specific,10.0,2,-0.1574522040998252,-0.1574522040998252,-0.09170596684726773,,,,
r320x200,320,200,ihawk2,Affine,height_specific,15.0,4,-0.21438684028089838,-0.19439213968940727,-0.10244208941502024,,,,
r320x200,320,200,ihawk2,Affine,height_specific,20.0,3,-0.4783525468532777,-0.5198885887595495,-0.380182660644083,,,,
r320x200,320,200,ihawk2,Affine,height_specific,25.0,5,-0.2736387720624485,-0.25232119345720605,-0.10292679322306172,,,,
r320x200,320,200,ihawk2,Affine,height_specific,30.0,2,-0.42021629667920024,-0.42021629667920024,-0.2324627503400038,,,,
r320x200,320,200,ihawk2,Affine,height_specific,35.0,2,-0.08544423905796705,-0.08544423905796705,0.3993810269344617,,,,
r320x200,320,200,ihawk2,Affine,height_specific,40.0,3,-0.431057499650296,-0.31219886145471776,-0.17736835618489977,,,,
r320x200,320,200,ihawk2,Affine,height_specific,45.0,4,-0.2887680354843294,-0.20937459623806376,-0.02904043935752056,,,,
r320x200,320,200,ihawk2,Affine,height_specific,50.0,3,-0.40588005148509626,-0.35884082131777717,0.035930766411372835,,,,
r320x200,320,200,ihawk2,Affine,height_amplification,ALL,2,,,,-0.005535117939419583,0.012324529505030537,-0.17275501645867722,0.5334856541646767
r320x200,320,200,ihawk2,Homography,height_specific,0.0,5,0.139835920348196,0.09156917834658075,0.26882600158857717,,,,
r320x200,320,200,ihawk2,Homography,height_specific,5.0,5,0.10928907730440222,-0.043601782520108934,0.4077494285319984,,,,
r320x200,320,200,ihawk2,Homography,height_specific,10.0,2,0.25788503077195735,0.25788503077195735,0.4764049544079405,,,,
r320x200,320,200,ihawk2,Homography,height_specific,15.0,4,0.02066799445166634,-0.06651808854095975,0.2553994053928724,,,,
r320x200,320,200,ihawk2,Homography,height_specific,20.0,3,0.059218447228426875,0.1057740483948919,0.2596729996647134,,,,
r320x200,320,200,ihawk2,Homography,height_specific,25.0,5,0.47019088601071957,0.4542196869857378,0.5953559038948597,,,,
r320x200,320,200,ihawk2,Homography,height_specific,30.0,2,0.3917688568334725,0.3917688568334725,0.5327638382645326,,,,
r320x200,320,200,ihawk2,Homography,height_specific,35.0,2,0.5768751693886784,0.5768751693886784,0.9782019880027398,,,,
r320x200,320,200,ihawk2,Homography,height_specific,40.0,3,0.4662254711334839,0.4595755686353158,1.1640420830868727,,,,
r320x200,320,200,ihawk2,Homography,height_specific,45.0,4,0.09088843339788966,0.32822394983883996,0.7698563925628491,,,,
r320x200,320,200,ihawk2,Homography,height_specific,50.0,3,-0.5145703074100823,-0.6169591026398962,0.3614323806706465,,,,
r320x200,320,200,ihawk2,Homography,height_amplification,ALL,2,,,,-0.00920176085108443,0.03576879035056845,-0.5918870509536527,0.9356119356180224
r320x200,320,200,ihawk2,PnP,height_specific,0.0,5,6.2238322085876385,6.116547835536007,7.147158145695151,,,,
r320x200,320,200,ihawk2,PnP,height_specific,5.0,5,7.200124445508355,6.300132371697927,10.729450012730165,,,,
r320x200,320,200,ihawk2,PnP,height_specific,10.0,2,7.903640728167615,7.903640728167615,11.063137737078225,,,,
r320x200,320,200,ihawk2,PnP,height_specific,15.0,4,7.0729782799534515,5.054676720477538,13.060177050852428,,,,
r320x200,320,200,ihawk2,PnP,height_specific,20.0,3,9.90995280543438,12.203528550148322,12.636823953590735,,,,
r320x200,320,200,ihawk2,PnP,height_specific,25.0,5,13.340352688525854,13.241070376692935,14.658482965105932,,,,
r320x200,320,200,ihawk2,PnP,height_specific,30.0,2,12.380336830318708,12.380336830318708,12.632681600650821,,,,
r320x200,320,200,ihawk2,PnP,height_specific,35.0,2,12.55174578288374,12.55174578288374,13.85392053884112,,,,
r320x200,320,200,ihawk2,PnP,height_specific,40.0,3,9.61792024160509,10.692639454584448,11.301594601436701,,,,
r320x200,320,200,ihawk2,PnP,height_specific,45.0,4,5.2856392834590835,6.028001520130685,8.945682181323484,,,,
r320x200,320,200,ihawk2,PnP,height_specific,50.0,3,5.868476432002318,4.696272032727797,7.913244679342717,,,,
