resolution_id,width_px,height_px,run_id,camera_id,height_gt_mm,frame_index,qc_excluded,n_expected_markers_detected,complete_five_marker_detection,resize_latency_median_ms_excluded_from_pipeline,resize_latency_p95_ms_excluded_from_pipeline,detection_latency_median_ms,detection_latency_p95_ms,detection_timing_repeats
r480x300,480,300,20260808_131913,ihawk1,30.0,2,0,4,0,0.6004,0.6586399999999999,3.3098,3.3915800000000003,5
r320x200,320,200,20260808_131913,ihawk1,30.0,2,0,3,0,0.0346,0.03964,2.2581,2.28904,5
r240x150,240,150,20260808_131913,ihawk1,30.0,2,0,2,0,0.4219,0.4745,1.4517,1.52262,5
r160x100,160,100,20260808_131913,ihawk1,30.0,2,0,0,0,0.1822,0.19838,2.327,2.40792,5
r640x400,640,400,20260808_131913,ihawk1,30.0,3,0,5,1,0.0,0.0,5.1088,5.8165000000000004,5
r480x300,480,300,20260808_131913,ihawk1,30.0,3,0,4,0,0.6088,0.64434,3.1806,3.25346,5
r320x200,320,200,20260808_131913,ihawk1,30.0,3,0,3,0,0.0345,0.036719999999999996,2.036,2.37302,5
r240x150,240,150,20260808_131913,ihawk1,30.0,3,0,2,0,0.4198,0.42710000000000004,1.4526,1.61764,5
r160x100,160,100,20260808_131913,ihawk1,30.0,3,0,0,0,0.1563,0.17422,2.24,2.2824999999999998,5
r640x400,640,400,20260808_131913,ihawk1,35.0,1,0,5,1,0.0,0.0,5.199,5.255459999999999,5
r480x300,480,300,20260808_131913,ihawk1,35.0,1,0,5,1,0.6026,0.6083,3.1743,3.23558,5
r320x200,320,200,20260808_131913,ihawk1,35.0,1,0,3,0,0.0347,0.03914,2.6494,3.0196199999999997,5
r240x150,240,150,20260808_131913,ihawk1,35.0,1,0,3,0,0.4674,0.49478,1.3682,1.40696,5
r160x100,160,100,20260808_131913,ihawk1,35.0,1,0,0,0,0.1847,0.5579799999999999,2.2928,2.87958,5
r640x400,640,400,20260808_131913,ihawk1,35.0,2,0,5,1,0.0,0.0,5.1306,5.22938,5
r480x300,480,300,20260808_131913,ihawk1,35.0,2,0,5,1,0.6133,0.75956,3.2039,3.37658,5
r320x200,320,200,20260808_131913,ihawk1,35.0,2,0,3,0,0.0352,0.049159999999999995,2.1353,2.3953599999999997,5
r240x150,240,150,20260808_131913,ihawk1,35.0,2,0,3,0,0.4208,0.42772,1.4063,1.44136,5
r160x100,160,100,20260808_131913,ihawk1,35.0,2,0,0,0,0.1623,0.27514,2.4982,3.48804,5
r640x400,640,400,20260808_131913,ihawk1,35.0,3,0,5,1,0.0,0.0,5.5317,5.8684400000000005,5
r480x300,480,300,20260808_131913,ihawk1,35.0,3,0,5,1,0.6197,0.6340399999999999,3.1888,3.25968,5
r320x200,320,200,20260808_131913,ihawk1,35.0,3,0,3,0,0.0345,0.0371,2.1305,2.19648,5
r240x150,240,150,20260808_131913,ihawk1,35.0,3,0,3,0,0.4231,0.50864,1.4368,2.1386399999999997,5
r160x100,160,100,20260808_131913,ihawk1,35.0,3,0,0,0,0.1567,0.16924,2.6377,2.77278,5
r640x400,640,400,20260808_131913,ihawk1,40.0,1,0,5,1,0.0,0.0,5.6082,6.1558,5
r480x300,480,300,20260808_131913,ihawk1,40.0,1,0,4,0,0.6039,0.6333,3.1528,3.39004,5
r320x200,320,200,20260808_131913,ihawk1,40.0,1,0,4,0,0.0372,0.049539999999999994,1.9776,2.06406,5
r240x150,240,150,20260808_131913,ihawk1,40.0,1,0,3,0,0.4291,0.437,1.4932,1.7408,5
r160x100,160,100,20260808_131913,ihawk1,40.0,1,0,0,0,0.1583,0.17834,2.7233,2.98624,5
r640x400,640,400,20260808_131913,ihawk1,40.0,2,0,5,1,0.0,0.0,5.3742,6.01482,5
r480x300,480,300,20260808_131913,ihawk1,40.0,2,0,4,0,0.6003,0.64522,3.1448,3.33948,5
