run_id,camera_id,model,height_gt_mm,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,xy_max_mm,z_mae_mm,z_rmse_mm,error3d_rmse_mm
20260808_131913,ihawk2,Homography,5.0,4.845453643641802,4.94988127085736,4.263962169493289,6.0786868054384,6.087705027806679,,,
20260808_131913,ihawk2,Homography,10.0,13.29075222154545,13.481603500343585,12.493219868238555,16.179023755079676,16.438561164504545,,,
20260808_131913,ihawk2,Homography,15.0,18.448593564479037,18.76168580131337,17.28019665579381,22.93245874294735,23.458242936967224,,,
20260808_131913,ihawk2,Homography,20.0,26.19060447526549,26.52488664685547,24.878964001610825,31.572679983618325,32.112504941193095,,,
20260808_131913,ihawk2,Homography,25.0,32.522938043910926,32.88004190306237,30.828807611736885,38.696727312091014,39.084240822133815,,,
20260808_131913,ihawk2,Homography,30.0,38.4531501143578,38.831239286885044,36.664641266894314,44.93011608047724,44.979952106739326,,,
20260808_131913,ihawk2,Homography,35.0,42.13519385532374,42.64492268013598,39.79976706613032,50.065395324843394,50.143808974226076,,,
20260808_131913,ihawk2,Homography,40.0,46.252212223085834,46.83832535576059,43.337525292065045,55.24099969223614,55.35357933236603,,,
20260808_131913,ihawk2,Homography,45.0,52.879107780313845,53.549568704187294,49.552074933325414,63.35582536057621,63.63964463743661,,,
20260808_131913,ihawk2,Homography,50.0,62.962560393219135,63.78408359782011,59.465797470137716,75.47942833803698,75.77728882515157,,,
20260808_131913,ihawk2,PnP,0.0,2.9031789935101187,3.1506340988071644,2.9576505200309615,4.647742423168274,5.0626835270334025,2.6537032221197276,3.019929466130757,4.364226071707472
20260808_131913,ihawk2,PnP,5.0,3.9399737424862487,4.021488106384301,3.6943454266441487,5.155118535316557,5.505250991095057,4.1833289349943446,4.429646061321766,5.982819637794025
20260808_131913,ihawk2,PnP,10.0,6.0265079174029985,6.235147588604909,6.518262633569564,8.029517596651235,8.322027474061837,3.449632720750576,3.68355265832939,7.241935213627027
20260808_131913,ihawk2,PnP,15.0,5.775418853542453,6.010835015843663,5.94942385546469,7.725714067914852,8.119436883000528,4.0055447908161295,4.2893893900656215,7.3843753241083165
20260808_131913,ihawk2,PnP,20.0,6.786240709194502,7.126688901776607,6.2644997267170375,9.692890033072503,10.122493542327392,3.4078160112877476,3.698140688255144,8.029068392586657
20260808_131913,ihawk2,PnP,25.0,6.916971329289216,7.0647610593738674,6.56293626437393,8.491777704014345,8.510817322463303,3.4279308737785663,3.586926147138372,7.9231867333207715
20260808_131913,ihawk2,PnP,30.0,5.873608013228435,5.945105196126261,6.0902547945252055,7.020000037708576,7.176685272697985,3.4528736386898777,3.6986001789951026,7.001708297056517
20260808_131913,ihawk2,PnP,35.0,4.496684236719437,4.534130476516311,4.2391472794820855,5.358341675685379,5.5031679531139925,3.519424113581464,3.64503478189072,5.817612718226194
20260808_131913,ihawk2,PnP,40.0,3.5099312573647325,3.815566077805218,3.5883031586585097,5.205204751475678,5.263536206051372,2.780239450736127,2.917181559494853,4.802967077250761
20260808_131913,ihawk2,PnP,45.0,3.6209752964320217,4.00395718107181,3.08646382222523,5.869510839920824,6.124538013125994,3.842751200770097,3.959594936457289,5.631169076548379
20260808_131913,ihawk2,PnP,50.0,5.632657618370234,5.714902461754741,5.069225940950949,7.1272995360896525,7.517750105551956,3.353952083646037,3.730162965019492,6.824531184848772
20260808_141232,ihawk1,Affine,0.0,11.383677930336637,11.687017029486114,10.964234097350486,15.227024972309142,15.994492558042204,,,
20260808_141232,ihawk1,Affine,5.0,14.566750523578497,16.454458170231433,16.20978253845682,22.35307271852828,22.374428380139562,,,
20260808_141232,ihawk1,Affine,10.0,18.384243182243644,19.9655525193392,22.665492528878083,26.83083178530198,27.75740339335985,,,
20260808_141232,ihawk1,Affine,15.0,24.174347787013215,26.212392638556484,30.182932828851033,33.76546183620657,34.39646768618337,,,
20260808_141232,ihawk1,Affine,20.0,30.39069793614746,32.06497808388347,35.3342083005153,39.99587270214182,40.211702751726946,,,
20260808_141232,ihawk1,Affine,25.0,35.81397728009208,37.595836513826484,42.08804680508021,46.17828465536219,47.00740902751653,,,
20260808_141232,ihawk1,Affine,30.0,42.34789762942239,43.72921680212159,46.45861057361459,52.44222684203856,52.61020556711504,,,
20260808_141232,ihawk1,Affine,35.0,51.180806908756736,52.45821876743616,56.29564731079753,60.81229351001117,60.871870739910094,,,
20260808_141232,ihawk1,Affine,40.0,58.251071090185846,59.363404898534036,62.462770171247,68.0033909468729,68.05548729566544,,,
20260808_141232,ihawk1,Affine,45.0,67.34829168488824,68.39797734409338,71.43836249970997,77.03167182755398,77.05142159839022,,,
20260808_141232,ihawk1,Affine,50.0,73.3969477141039,74.44902267368781,76.58962977738462,84.23395052438028,84.5356903134331,,,
20260808_141232,ihawk1,Homography,0.0,0.28861719558449694,0.37256860059673724,0.3185708544527475,0.6204819876482802,0.6951901050176021,,,
20260808_141232,ihawk1,Homography,5.0,12.112828354978056,12.304935593844979,11.112245692061157,15.024159539148432,15.296994798927603,,,
20260808_141232,ihawk1,Homography,10.0,17.533325339583072,17.831317347789525,16.801848062551787,21.97913274731949,22.519982078253012,,,
20260808_141232,ihawk1,Homography,15.0,25.495564743047005,25.849442425287982,24.49583247701646,31.03515027540841,31.5348001067641,,,
20260808_141232,ihawk1,Homography,20.0,33.50931374888898,34.144918124131046,31.546685393098265,42.918178931087205,44.803308832925374,,,
20260808_141232,ihawk1,Homography,25.0,39.62611001409336,40.125856750334215,39.28889777905419,47.44974963039198,48.02810371111326,,,
20260808_141232,ihawk1,Homography,30.0,47.53378876089415,48.26944790631654,45.896708673943316,58.960840372176214,60.804394861059194,,,
20260808_141232,ihawk1,Homography,35.0,58.41838024137131,59.29936833925933,55.6436312138163,71.80051096020638,73.31675367055358,,,
20260808_141232,ihawk1,Homography,40.0,67.40471255783419,68.49777812488406,64.91341436181123,83.69015680803467,85.86611661379665,,,
20260808_141232,ihawk1,Homography,45.0,78.92038744191458,80.17431781865429,76.09488728661232,97.52082247454048,99.69820020357466,,,
20260808_141232,ihawk1,Homography,50.0,87.14832249581245,88.47825208563506,84.36366567140747,107.2440904722751,109.92027247759205,,,
20260808_141232,ihawk1,PnP,0.0,5.259540937262022,5.407011693290463,5.502136723398857,6.693696242426494,6.9832448709442305,3.7984043571569814,3.959781672941913,6.701913633339844
20260808_141232,ihawk1,PnP,5.0,12.82043483258619,14.137677074696587,13.305011224828688,21.05386467785395,22.676259179542733,5.3006633931169285,5.874234187330766,15.309491838595001
20260808_141232,ihawk1,PnP,10.0,11.150825696729305,11.736905875996305,9.659246194099966,16.656102887148844,18.00739617079582,5.369326909350298,5.5779593073849565,12.99494477005728
20260808_141232,ihawk1,PnP,15.0,11.045406131463508,12.289738070368358,10.824759557114122,18.34115917387374,19.86528137354771,5.19352460549522,5.848351907518951,13.610322621908779
20260808_141232,ihawk1,PnP,20.0,11.580315098508766,12.519296226477735,10.964995604235428,18.528115290654007,20.199128867394037,5.7278924255651305,5.927546578246664,13.851663670605905
20260808_141232,ihawk1,PnP,25.0,6.788642571842966,8.032042187422922,7.91576370736755,11.740895287161509,12.143575417295638,3.907250148412453,4.679434658807512,9.295741521072463
20260808_141232,ihawk1,PnP,30.0,9.878818060712273,10.8528900108952,9.454400477575462,15.885719647889387,16.72975848873407,5.8805698283271415,6.560439567222585,12.681663491189493
20260808_141232,ihawk1,PnP,35.0,15.28865960371105,16.66825277910443,14.026320125257273,25.04993823955857,27.259906056484287,8.14302045374001,8.542039422060114,18.729577896902846
20260808_141232,ihawk1,PnP,40.0,9.828118036383074,10.181770750189715,10.48625823755155,12.913522366073078,13.17262926531362,5.279225995374386,5.610699630741559,11.625334659949463
20260808_141232,ihawk1,PnP,45.0,14.276409116589118,14.963712882813391,12.731414896022542,21.09545426120864,22.877005159983508,6.361443167470581,6.550682643069727,16.334752717120956
20260808_141232,ihawk1,PnP,50.0,14.61427516311782,16.05464307422439,12.567011619406093,24.574693392185132,27.302230888728687,7.361492213989007,7.716098031155004,17.812628471596643
20260808_141232,ihawk2,Affine,0.0,12.305887142189533,12.689099885474542,12.085228129455704,15.376482573780029,15.413782873151563,,,
20260808_141232,ihawk2,Affine,5.0,14.547878840482426,14.972605140458764,13.38962183609612,19.644663769593315,20.455685206982906,,,
20260808_141232,ihawk2,Affine,10.0,15.469640296165391,15.94630725567159,15.166894220760813,20.2517072036722,20.552074601987137,,,
20260808_141232,ihawk2,Affine,15.0,20.429264807612455,20.744047772171157,21.878343111398806,24.79249956858178,25.423539359921758,,,
20260808_141232,ihawk2,Affine,20.0,26.689537944788178,26.812303773465814,26.77144636116251,29.382225836301327,29.54483376788097,,,
20260808_141232,ihawk2,Affine,25.0,30.582098193053902,30.747362092266393,30.000459835324627,34.19144124547182,34.269868182382474,,,
20260808_141232,ihawk2,Affine,30.0,34.33784385785666,34.502592449739474,35.57906731694933,37.736008548639994,37.96469511738185,,,
20260808_141232,ihawk2,Affine,35.0,41.01657209394886,41.19314445404543,41.46726436153616,45.25709130752809,45.42174489872883,,,
20260808_141232,ihawk2,Affine,40.0,46.21052336619506,46.40627705495618,46.768620198870856,50.97659489242923,51.15803665456639,,,
20260808_141232,ihawk2,Affine,45.0,51.651091493924355,51.87850120482369,51.24525533621734,57.746438461829555,58.26173307719359,,,
20260808_141232,ihawk2,Affine,50.0,58.46032273634114,58.6713266002351,60.62266903103103,63.47244267742506,63.637449760745525,,,
20260808_141232,ihawk2,Homography,0.0,0.15046079550976835,0.17208838765992066,0.16297558838314372,0.26734343819947703,0.2933974731639607,,,
20260808_141232,ihawk2,Homography,5.0,8.15679451611102,8.328596947759998,7.529286267433258,10.411362730895712,10.66263337495819,,,
20260808_141232,ihawk2,Homography,10.0,10.128133384021417,10.403406362249664,10.4173927772548,13.218939267823908,13.862020249663244,,,
20260808_141232,ihawk2,Homography,15.0,17.513811624061994,17.80922534732201,17.40591450698749,21.67518931462566,22.37514911527145,,,
20260808_141232,ihawk2,Homography,20.0,25.596693822165385,25.88073909576817,24.186572929336204,30.51483492884373,30.77720966842729,,,
20260808_141232,ihawk2,Homography,25.0,30.60762268590514,30.96205456368461,29.03060576466696,36.80384514053214,37.36577872748917,,,
20260808_141232,ihawk2,Homography,30.0,35.59927917117629,36.03846823202459,33.63624151774411,42.48477079105575,42.636044111936165,,,
20260808_141232,ihawk2,Homography,35.0,43.850439186414896,44.38657064625861,41.29977549873683,52.811629919669905,53.43558283264422,,,
20260808_141232,ihawk2,Homography,40.0,50.50278733937183,51.1288273797882,47.97830703106385,60.895913399874445,61.683994786297724,,,
20260808_141232,ihawk2,Homography,45.0,57.688565559971366,58.487335218365416,54.55579382351972,70.50871547395026,71.81486326353486,,,
20260808_141232,ihawk2,Homography,50.0,66.41817714151946,67.22389131582429,63.332190392242616,79.53117879721046,80.19282807028469,,,
20260808_141232,ihawk2,PnP,0.0,3.027581827069935,3.208559254863774,2.8447647188022556,4.571074708191396,4.981968948635131,2.6830267627610658,2.9209827842155653,4.339008287345818
20260808_141232,ihawk2,PnP,5.0,5.8587667688598755,5.868760665895571,5.7688340061892385,6.331059901150449,6.395212457034709,2.59576420942351,3.267931878635949,6.717271061745841
20260808_141232,ihawk2,PnP,10.0,4.4087403258094735,4.51787633118072,4.213028342184764,5.797035560223729,5.998997398586399,2.7896460402164998,3.0073735407652835,5.427292341263559
20260808_141232,ihawk2,PnP,15.0,5.4785174766796825,5.843843167906155,5.035494960906544,8.410305618883616,8.937057885976987,3.443939681872186,3.8320876839910714,6.988232894579252
20260808_141232,ihawk2,PnP,20.0,5.445034595666143,5.57979094966208,5.224992978282028,6.98099668436248,7.0982826625593045,3.3681638878739646,3.7026304802264116,6.696531902039481
20260808_141232,ihawk2,PnP,25.0,4.250800837382852,4.596881690633235,3.358872348543053,6.812921141361573,7.197353652579407,3.0751834411807786,3.424123771982079,5.732010544611014
20260808_141232,ihawk2,PnP,30.0,5.431726092398673,7.012610467989883,3.3524652628859566,12.221139475075551,14.2235437278686,4.804497346986917,5.287531617437596,8.782636061067516
20260808_141232,ihawk2,PnP,35.0,4.999238458300274,5.131687596888043,4.752370212838731,6.347743083989475,6.389263497426955,3.899477391884061,4.014741054148571,6.515547814567902
20260808_141232,ihawk2,PnP,40.0,4.616319493439906,4.67456464217411,5.068156990050632,5.113236354144784,5.115761058846147,3.487331188131421,3.5914131171264456,5.894896332568729
20260808_141232,ihawk2,PnP,45.0,10.34388733433514,13.53768480213249,6.0395751961530095,23.74869262833324,27.657334514564205,6.382986136742998,8.47165918587178,15.969906673598773
20260808_141232,ihawk2,PnP,50.0,4.829918447273651,4.944286466197831,4.994291067322057,5.949466735743512,5.949737092422844,3.072318226608483,3.457884994109948,6.03348467241923
20260808_145501,ihawk1,Affine,0.0,11.136318741232772,11.439331657673993,10.783165992682987,14.917519406860569,15.678959297257293,,,
20260808_145501,ihawk1,Affine,5.0,12.470066066185556,13.584221458325096,14.849561096222782,18.067329400320602,18.594206006827328,,,
20260808_145501,ihawk1,Affine,10.0,14.97387693258475,17.008501225025917,19.323150280230383,23.024236443237694,23.39326480920376,,,
20260808_145501,ihawk1,Affine,15.0,21.13641870069145,23.43423092202428,27.390306512465962,30.67303080324619,31.097577790870265,,,
20260808_145501,ihawk1,Affine,20.0,27.888941101861626,29.941029112654736,34.06682706772122,37.890949370048794,38.175894928102366,,,
20260808_145501,ihawk1,Affine,25.0,35.31331606154422,37.05899878155586,42.066164848373774,45.04604878140955,45.319747345675644,,,
20260808_145501,ihawk1,Affine,30.0,41.89480492021541,43.429691521410625,48.26928581566269,51.52804307475876,51.52903652470414,,,
20260808_145501,ihawk1,Affine,35.0,48.03468735202064,49.621155929560324,54.65997664260852,58.22071437040395,58.539766298311974,,,
20260808_145501,ihawk1,Affine,40.0,55.22248790545082,56.46869497116228,60.58619246272498,65.37194589834901,65.51889434199423,,,
20260808_145501,ihawk1,Affine,45.0,63.10991791049861,64.23988526040687,68.3653809944483,72.68580794552453,72.71214824818117,,,
20260808_145501,ihawk1,Affine,50.0,68.74236066014235,69.87169621234018,73.07209404382542,79.21108566196246,79.43337235587992,,,
20260808_145501,ihawk1,Homography,0.0,0.05537341159761886,0.06885007335024991,0.054791470377441455,0.11531905542522199,0.13042649258377864,,,
20260808_145501,ihawk1,Homography,5.0,7.7972679819849535,7.919191184425872,7.400594472259735,9.46024600466755,9.505971664234496,,,
20260808_145501,ihawk1,Homography,10.0,13.209415908898126,13.387590605269299,13.454819118496932,15.54187300687892,15.689692932318598,,,
20260808_145501,ihawk1,Homography,15.0,22.216657213928634,22.566948450888415,21.097325602008894,27.19355030826675,27.658396139859374,,,
20260808_145501,ihawk1,Homography,20.0,30.419152943378045,30.87312022890974,29.28010154676379,37.08771302530303,37.84344875478944,,,
20260808_145501,ihawk1,Homography,25.0,39.32153425103218,39.897107445405474,37.79393767670175,47.90135652525831,48.74134893284598,,,
20260808_145501,ihawk1,Homography,30.0,47.08948421469536,47.81451405219496,44.80900417574087,57.24838897188503,57.98178859359873,,,
20260808_145501,ihawk1,Homography,35.0,54.277141463465554,54.92189901863917,53.2798015852116,63.69071896584289,63.86049001216702,,,
20260808_145501,ihawk1,Homography,40.0,63.59165745282227,64.54403600787963,61.09501319887675,77.528096566783,78.94486057099706,,,
20260808_145501,ihawk1,Homography,45.0,73.3706067848463,74.45431280742476,70.83050720941485,89.33054204408381,90.74234936189264,,,
20260808_145501,ihawk1,Homography,50.0,80.68007514414515,81.78204416160723,78.23360482789677,97.54220578630115,99.25800580213502,,,
20260808_145501,ihawk1,PnP,0.0,7.292399455040413,8.592824369342713,5.550775126174942,14.241987179617215,15.890055070366566,4.715526835637666,5.151459471876333,10.018690799338723
20260808_145501,ihawk1,PnP,5.0,6.7309230422766095,7.867512968015853,6.1212613087002525,12.67829424400123,13.882149636062612,3.9913594352185084,4.451582247748756,9.039598708480897
20260808_145501,ihawk1,PnP,10.0,4.229281711119965,4.469180010630344,4.427038031028232,6.041849323477203,6.241784669293252,3.8274621443823262,3.9790208221536085,5.98382625671483
