run_id,trial_index,is_baseline,timestamp,scan_tx_mm,scan_ty_mm,scan_tz_mm,fixed_target_x_mm,fixed_target_y_mm,fixed_target_z_mm,clearance_mm,random_seed,random_base_rad,random_shoulder_rad,random_elbow_rad,random_wrist_rad,random_roll_rad,random_hand_rad,random_feedback_x_mm,random_feedback_y_mm,random_feedback_z_mm,final_feedback_x_mm,final_feedback_y_mm,final_feedback_z_mm,final_tracking_error_mm,measurement_class,measurement_resolution_mm,exceeds_resolution,manual_dx_mm,manual_dy_mm,manual_dz_mm,manual_xy_offset_mm,manual_3d_offset_mm,success,failure_type,notes
20260807_204040,11,False,2026-08-07T20:53:30,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.14437,-0.08368,1.51064,-0.06399,0.11604,3.14,329.2172998,28.35049879,270.5753523,281.2645748,24.22105701,-67.29045556,4.028228316947588,measurable_exceedance,1.0,True,12.0,1.0,0.0,12.041594578792296,12.041594578792296,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,12,False,2026-08-07T20:54:15,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.0392,0.05183,1.6541,-0.04658,0.12135,3.14,355.5825023,1.090916877,179.9034467,282.1590811,9.092504161,-67.29045556,11.817157505747538,measurable_exceedance,1.0,True,-4.0,-1.0,0.0,4.123105625617661,4.123105625617661,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,13,False,2026-08-07T20:54:56,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.02022,-0.026,1.51239,-0.0856,-0.1044,3.14,346.5481639,10.63530151,251.7759753,281.8012799,8.64826852,-67.47393976,12.307102275107143,measurable_exceedance,1.0,True,-4.0,0.0,0.0,4.0,4.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,14,False,2026-08-07T20:55:37,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.19517,0.04143,1.47591,0.10189,0.11989,3.14,353.9879037,-54.17517075,211.4766813,282.6116709,6.07022547,-67.10640157,14.786377142500472,measurable_exceedance,1.0,True,-7.0,-1.0,0.0,7.0710678118654755,7.0710678118654755,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,15,False,2026-08-07T20:56:24,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.18775,-0.04584,1.56514,0.00308,0.17312,3.14,337.6497478,-48.49864609,227.8760079,281.8264862,7.783673677,-67.47393976,13.159909980759746,measurable_exceedance,1.0,True,-5.0,0.0,0.0,5.0,5.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,16,False,2026-08-07T20:57:09,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.12618,0.04101,1.62472,0.11588,0.04493,3.14,348.8283855,30.03930452,163.1579987,280.8943533,24.18917543,-67.47393976,4.232438396940123,measurable_exceedance,1.0,True,13.0,1.0,0.0,13.038404810405298,13.038404810405298,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,17,False,2026-08-07T20:57:49,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.14013,0.04439,1.65613,-0.08339,0.16258,3.14,354.975343,-34.41229476,185.7049923,281.651043,6.481853306,-68.33858339,14.579569300943678,measurable_exceedance,1.0,True,-7.0,0.0,0.0,7.0,7.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,18,False,2026-08-07T20:58:48,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.11076,0.06458,1.69089,-0.10841,-0.10077,3.14,356.1493801,26.82051813,175.793105,281.1378947,21.17163309,-67.47393976,2.3827152678573014,measurable_exceedance,1.0,True,9.0,0.0,0.0,9.0,9.0,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,19,False,2026-08-07T20:59:46,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,0.00843,0.07303,1.45375,0.05475,-0.02068,3.14,363.0444049,19.51036007,219.4472728,281.5277072,15.12957331,-67.47393976,6.044889808939939,measurable_exceedance,1.0,True,2.0,1.0,0.0,2.23606797749979,2.23606797749979,True,none,At least one axis clearly exceeded ~1.00 mm
20260807_204040,20,False,2026-08-07T21:00:26,282.950556089896,20.809018068040835,-75.97057650412663,282.950556089896,20.809018068040835,-65.97057650412663,10.0,20260807,-0.12114,0.00394,1.59338,0.11724,-0.07793,3.14,346.2480208,-25.54078842,181.7816091,281.6182316,7.777921962,-68.33858339,13.31134895053063,measurable_exceedance,1.0,True,-5.0,-1.0,0.0,5.0990195135927845,5.0990195135927845,True,none,At least one axis clearly exceeded ~1.00 mm
