camera,run_id,height_mm,frame_index,selected_branch,group_branch_switch_flag,branch_gap_px,refined_reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_162715,10.0,1,A,0,12.33213874214729,0.5587693934061129,-33.07252245346632,58.46337209668615,621.5361785219976,1.9990059627842665,-0.6253461461141968,0.3919009171978397
ihawk1,20260808_162715,10.0,2,A,0,12.336728822908205,0.5474949212092706,-33.056214580244834,58.454912577089395,621.4000827826665,1.9988936342350945,-0.6253141869708221,0.392060360153083
ihawk1,20260808_162715,10.0,3,A,0,12.350470595342,0.5488032941996036,-33.06761902290839,58.445167287281876,621.283864157809,1.9986994418865325,-0.6251964040775363,0.39202401674276344
ihawk1,20260808_162715,15.0,1,A,0,12.460985072838408,0.4104953661462046,-31.99189317533537,52.978430054298926,618.2211652248154,1.9981509600071286,-0.6374127669326161,0.39918639955875945
ihawk1,20260808_162715,15.0,2,A,0,12.4744663042124,0.39962302461053484,-31.96955002958888,52.97376315831577,618.075857114264,1.9980980397231807,-0.6369810284239042,0.39942019968571557
ihawk1,20260808_162715,15.0,3,A,0,12.46361813993619,0.3957297467095623,-32.01771193626438,52.986096973699055,618.4950496623493,1.9984457672454568,-0.6376718348070111,0.39870152625042243
ihawk1,20260808_162715,20.0,1,A,0,12.436906178670963,0.5894605755177244,-33.295624542972455,48.69077849030606,615.0443695291253,1.9996050079674084,-0.6298505148621804,0.3965383462953921
ihawk1,20260808_162715,20.0,2,A,0,12.435358927642692,0.5756156902867564,-33.277604404303325,48.6839225277465,614.9989276557328,1.9992912583839395,-0.6296188820439913,0.3962391694742228
ihawk1,20260808_162715,20.0,3,A,0,12.409635771959836,0.5969306339934611,-33.27312874893901,48.70873894468117,615.0693373791729,1.9994290174247171,-0.6295776166891586,0.3965352470013262
ihawk1,20260808_162715,25.0,1,A,0,12.334731106801748,0.5135548359797958,-33.71896598865948,44.041191596931746,615.5881574879603,1.9987830120389531,-0.6426264193806959,0.3990020660278944
ihawk1,20260808_162715,25.0,2,A,0,12.42989623646095,0.5218731971732942,-33.59995030380472,43.92364007933807,614.2286165981834,1.997382019418086,-0.6417197814202072,0.39795770651576545
ihawk1,20260808_162715,25.0,3,A,0,12.326950691772822,0.5244011385761467,-33.71815159629979,44.018539048972734,615.2846569283455,1.998450347454025,-0.6421822435963427,0.39880439704367293
ihawk1,20260808_162715,30.0,1,A,0,12.433853260067844,0.46188025618179684,-32.5586545726132,39.660648602142665,611.7012334208762,1.9948263845069927,-0.6556651978043215,0.4095554114308418
ihawk1,20260808_162715,30.0,2,A,0,12.437401608356566,0.45966884595842195,-32.57119617736937,39.645557120704886,611.5834682245038,1.9947417481156826,-0.6556239272398369,0.40971048028721957
ihawk1,20260808_162715,30.0,3,A,0,12.418372511675035,0.4872270196304192,-32.54446745931541,39.6474793505721,611.5981170786548,1.9948403989732757,-0.6555810517641394,0.4093376694193375
ihawk1,20260808_162715,35.0,1,A,0,11.95973883056588,1.0185778126029386,-31.434098972264998,35.979774795749954,606.7308862721568,1.9919691211585946,-0.6506222308895243,0.4179785476147981
ihawk1,20260808_162715,35.0,2,A,0,12.44346903779801,0.4915459847001376,-31.791852007427604,35.85794245173681,609.3938167969939,1.993694368792887,-0.6588810663406346,0.40911479830523073
ihawk1,20260808_162715,35.0,3,A,0,12.417946107646177,0.5471079449206437,-31.75105304660118,35.82248574613919,609.0810770760007,1.9935669519760315,-0.6587609906190395,0.4090143925270587
ihawk1,20260808_162715,40.0,1,A,0,12.853012051281043,0.4768141491970111,-32.73338752955667,31.86866420974,604.9640261160994,1.9958267295632452,-0.649631359449033,0.40597243691941454
ihawk1,20260808_162715,40.0,2,A,0,12.84545707327588,0.5069305674677732,-32.69395693935825,31.842980595827342,604.6430555351027,1.9955570464981685,-0.6492935850639022,0.406263838323859
ihawk1,20260808_162715,40.0,3,A,0,12.856528880565111,0.4802143053897959,-32.725431992742415,31.862639889564505,604.7950304092593,1.995613008730034,-0.6495406859571905,0.4059869438362202
ihawk1,20260808_162715,45.0,1,A,0,12.825823538952541,0.46120934887609993,-32.881593861475636,27.089692497966908,602.2170352833617,1.9943154809715895,-0.6565771521969933,0.41042210607882285
ihawk1,20260808_162715,45.0,2,A,0,12.827826662163273,0.45607616997730277,-32.88982419894591,27.093505815976396,602.2414679200951,1.994266818790625,-0.656612921600514,0.4105501448862489
ihawk1,20260808_162715,45.0,3,A,0,12.83718557429382,0.45727303005937714,-32.87746237749101,27.08493469571624,602.1724305738843,1.9942219425037528,-0.6563900050151378,0.4103190402658227
ihawk1,20260808_162715,50.0,1,A,0,12.937498197850488,0.6135237080227937,-33.174176063893036,23.62355398296018,600.0665022170429,1.9965265045161027,-0.6409091395770786,0.40129448175119403
ihawk1,20260808_162715,50.0,2,A,0,12.91810248255719,0.627382366894013,-33.170142707167685,23.613212077398515,599.8402088892431,1.9962715232688053,-0.640848931236847,0.40120077676841776
ihawk1,20260808_162715,50.0,3,A,0,12.948925107304577,0.7142125533861784,-33.010137948666994,23.669263235209566,599.3899900988132,1.994498258804775,-0.6381701341165198,0.3999331742362606
ihawk2,20260808_131913,0.0,1,A,0,18.893072383474845,0.4298833075014851,-34.96489423299127,134.98124834606813,504.37027187924593,1.5293409140855792,-1.579906770956268,0.9788938373638695
ihawk2,20260808_131913,0.0,2,A,0,18.890762892438854,0.4311800880508807,-34.95688915431189,134.96934993306587,504.31224265694505,1.5291641147354138,-1.579637238919187,0.97890702014723
ihawk2,20260808_131913,0.0,3,A,0,18.92104569890562,0.42815287315011774,-34.96396990036621,134.9718183230534,504.31203813075837,1.5292341329237114,-1.5797803160998267,0.9793595028445933
ihawk2,20260808_131913,5.0,1,A,0,19.03414202642698,0.4904049467780984,-33.06675633209255,131.47049277957794,502.4732770227435,1.5348121056043658,-1.5762963948003599,0.9730749755407155
ihawk2,20260808_131913,5.0,2,A,0,19.04273381164951,0.48137360259575174,-33.08328175034492,131.4459239739118,502.4046528410075,1.5347173940841974,-1.5762422372094205,0.9732421646145866
ihawk2,20260808_131913,5.0,3,A,0,19.02712700918342,0.4846660669417366,-33.08084977200963,131.4690957073978,502.4734434633337,1.5347028544196772,-1.5764166846507726,0.9732413122921445
ihawk2,20260808_131913,10.0,1,A,0,19.422311125540457,0.44373419455955543,-32.18514155746888,125.67491497834379,501.8362303231392,1.5398810640857932,-1.5675968875109505,0.9651674999108895
ihawk2,20260808_131913,10.0,2,A,0,19.43994921136191,0.44015036321019874,-32.183552136142566,125.67363272980997,501.80197124383676,1.5397013055065205,-1.5676000928229181,0.9653329676802439
ihawk2,20260808_131913,10.0,3,A,0,19.432393551792387,0.44154495234285857,-32.19850215184804,125.67887046568512,501.8110789339094,1.5398902295333141,-1.5675217000120667,0.9650393179458958
ihawk2,20260808_131913,15.0,1,A,0,19.728427946908443,0.5202671461624475,-32.49795999845836,121.49360680364666,498.26719361400353,1.5433875218166777,-1.56589651293631,0.9660481424524677
ihawk2,20260808_131913,15.0,2,A,0,19.703863654706623,0.5289398892326265,-32.507730715897736,121.50838338698038,498.3071854623901,1.5433851467026964,-1.5658326459143415,0.9661376180269252
ihawk2,20260808_131913,15.0,3,A,0,19.710063743595462,0.5206563465426716,-32.51105069385363,121.50714804946517,498.3273142828812,1.5435867996472088,-1.5661493397022652,0.9660307599144486
ihawk2,20260808_131913,20.0,1,A,0,20.00592974193918,0.4845594429380202,-31.828139987900578,116.63608785163595,498.3257854900498,1.544773238329416,-1.5618478775118063,0.9629817430563609
ihawk2,20260808_131913,20.0,2,A,0,19.98722756605234,0.49324171443171283,-31.828418665845888,116.6302843358216,498.3349615703573,1.54479112535751,-1.562011836652277,0.9627921534765161
ihawk2,20260808_131913,20.0,3,A,0,20.013062694405363,0.4765561998949367,-31.8265305278914,116.63472594284555,498.37424684601285,1.544783781898569,-1.5621716962836345,0.9629898662767908
ihawk2,20260808_131913,25.0,1,A,0,20.436045053336727,0.5463967158182976,-31.214995458869897,112.15972610950631,495.58263884280274,1.5400499581624274,-1.5646991286936018,0.9665512685261841
ihawk2,20260808_131913,25.0,2,A,0,20.44139215219781,0.5447778610361422,-31.217823881715784,112.15859170711083,495.554668509243,1.5401864660808804,-1.5646675197383801,0.9663242344124149
ihawk2,20260808_131913,25.0,3,A,0,20.442885820316544,0.5382848058155137,-31.21460859938242,112.17021048413767,495.54381437028115,1.5402714036015166,-1.5646034777805287,0.9666220894512084
ihawk2,20260808_131913,30.0,1,A,0,21.031404212680027,0.5222104008491293,-31.85888075676841,107.888036997606,492.1294959686478,1.530537060931358,-1.572612713512644,0.9748667078730096
ihawk2,20260808_131913,30.0,2,A,0,21.01056070582252,0.5315484242292862,-31.85357558824698,107.87792540126298,492.1121528591832,1.5306748559588939,-1.5727032392149818,0.9748455591549706
ihawk2,20260808_131913,30.0,3,A,0,21.020698036590495,0.5240312672280478,-31.856060758288315,107.88901531864965,492.1475316096243,1.5307647986330701,-1.5728371757409576,0.97475185316695
ihawk2,20260808_131913,35.0,1,A,0,21.38471674336324,0.5944958733544845,-30.759910563328734,104.98755812675745,487.9562381981233,1.5333911188224547,-1.5722194978822153,0.971281631633678
ihawk2,20260808_131913,35.0,2,A,0,21.4073384520606,0.585195243968032,-30.761495575353702,104.96993676123014,487.9208167154576,1.5333998006723526,-1.5723623314422053,0.9711011427294556
ihawk2,20260808_131913,35.0,3,A,0,21.384524856837306,0.5931163637491386,-30.775011935314932,104.98035768618418,487.88437487162264,1.5333420061079635,-1.5724855968553149,0.9714446479443346
ihawk2,20260808_131913,40.0,1,A,0,22.172606728338373,0.582946071474244,-31.071191320703196,101.58629618642837,482.3290087723022,1.5303054505926168,-1.5716387312380564,0.9773065175492717
ihawk2,20260808_131913,40.0,2,A,0,22.182448454792475,0.5768419263972557,-31.06336686171183,101.57914894499726,482.3142453784578,1.5302696529056128,-1.5715263331673135,0.9773658231108318
ihawk2,20260808_131913,40.0,3,A,0,22.177017516561275,0.5781250547483349,-31.072359173286777,101.58507965393842,482.3345573680563,1.5302160418294046,-1.5715233446313477,0.9772777967773216
ihawk2,20260808_131913,45.0,1,A,0,22.47016785172303,0.6346611430021268,-31.05714203035898,97.54955812204568,480.3808131155881,1.5330505267425676,-1.5664174159474749,0.9711049217861706
ihawk2,20260808_131913,45.0,2,A,0,22.483691811920583,0.6275748327856226,-31.071701988303815,97.53624196402129,480.3426715545747,1.5327125352437938,-1.5661657877484043,0.9707998805196594
ihawk2,20260808_131913,45.0,3,A,0,22.46998752709061,0.6345461507894334,-31.065396668652767,97.54189068874136,480.3802233385002,1.5329616104330157,-1.566327350955899,0.9708931153579352
ihawk2,20260808_131913,50.0,1,A,0,22.660005500634828,0.6394611153647076,-29.30009842355416,92.02902518980592,479.838079856183,1.5407311072864287,-1.5667622876267946,0.9643307292466183
ihawk2,20260808_131913,50.0,2,A,0,22.640886001233195,0.6399125959849699,-29.31170335112959,92.03231434709978,479.86067050249983,1.5408477284730149,-1.566837333322791,0.9640372977546037
ihawk2,20260808_131913,50.0,3,A,0,22.645970828627483,0.6433662436863662,-29.29342013818039,92.02994049383689,479.80903597183436,1.5406505859765751,-1.5667741863367346,0.9643279750703249
ihawk2,20260808_141232,0.0,1,A,0,18.69550253933062,0.4156352288137635,-33.28747972817916,133.62941229578266,507.36742365321896,1.5438483859966499,-1.5598662169225552,0.960610821692546
ihawk2,20260808_141232,0.0,2,A,0,18.70582882481741,0.4148584128120326,-33.276318992177146,133.62985051849515,507.3699314181444,1.54388274800224,-1.5600153127848586,0.960734121974043
ihawk2,20260808_141232,0.0,3,A,0,18.708032177397868,0.4090720411484081,-33.27017907018633,133.64186900818345,507.3914205542584,1.5438383341769977,-1.5599774902227337,0.9606350520439808
ihawk2,20260808_141232,5.0,1,A,0,18.969177807933804,0.5084277912372807,-36.71913683506782,128.48665295875415,505.23779356293693,1.5335797547315715,-1.576090167875813,0.969539968516553
ihawk2,20260808_141232,5.0,2,A,0,18.963996921623426,0.512111331183942,-36.705181572293355,128.48971863939738,505.22929743280827,1.5336189890501442,-1.5760431608263308,0.9694817896174127
ihawk2,20260808_141232,5.0,3,A,0,18.950485703807537,0.5201742710021984,-36.71099466289485,128.4874238920843,505.24526838511446,1.5335798796324867,-1.5759475830787981,0.9695409003840011
ihawk2,20260808_141232,10.0,1,A,0,19.378933929164354,0.46141909770350853,-37.188646989549454,126.18065711768682,500.7665444274236,1.5464250928112362,-1.5587534899347704,0.959338253645998
ihawk2,20260808_141232,10.0,2,A,0,19.3882645928914,0.46177069887643335,-37.18670311709054,126.17248727880754,500.72070092477804,1.5464174357096359,-1.5587107593043408,0.9596610668573566
