camera,run_id,height_mm,frame_index,geometry,best_reprojection_rmse_px,second_reprojection_rmse_px,n_board_corners
ihawk1,20260808_141232,25.0,3,logged_edge_aligned,1.9956524466349992,12.587179197409398,20
ihawk1,20260808_141232,30.0,1,actual_margin10,0.6277701334968573,13.009020453647604,20
ihawk1,20260808_141232,30.0,1,logged_edge_aligned,1.9347592037066448,12.671532832484042,20
ihawk1,20260808_141232,30.0,2,actual_margin10,0.6219436378106368,13.028657111159912,20
ihawk1,20260808_141232,30.0,2,logged_edge_aligned,1.9295489872239757,12.686931525224862,20
ihawk1,20260808_141232,30.0,3,actual_margin10,0.6231358994386312,13.010247409590894,20
ihawk1,20260808_141232,30.0,3,logged_edge_aligned,1.9383251372405412,12.673230184631045,20
ihawk1,20260808_141232,35.0,1,actual_margin10,0.7085152430834425,12.914819483707683,20
ihawk1,20260808_141232,35.0,1,logged_edge_aligned,1.8135895665149167,12.5674307277532,20
ihawk1,20260808_141232,35.0,2,actual_margin10,0.7130784347019119,12.922298244442286,20
ihawk1,20260808_141232,35.0,2,logged_edge_aligned,1.8093646789901738,12.573651730558252,20
ihawk1,20260808_141232,35.0,3,actual_margin10,0.7124935597097257,12.91023333059984,20
ihawk1,20260808_141232,35.0,3,logged_edge_aligned,1.7994818082951969,12.560703827392823,20
ihawk1,20260808_141232,40.0,1,actual_margin10,0.7765597648958633,13.236353155835483,20
ihawk1,20260808_141232,40.0,1,logged_edge_aligned,1.8841876735334417,12.871336448454251,20
ihawk1,20260808_141232,40.0,2,actual_margin10,0.8113305709301666,13.192593889500138,20
ihawk1,20260808_141232,40.0,2,logged_edge_aligned,1.9070106648193041,12.82501760872003,20
ihawk1,20260808_141232,40.0,3,actual_margin10,0.7945401182064996,13.257515275065808,20
ihawk1,20260808_141232,40.0,3,logged_edge_aligned,1.8781222911147861,12.889450048462269,20
ihawk1,20260808_141232,45.0,1,actual_margin10,0.5524138418510478,13.151196793666031,20
ihawk1,20260808_141232,45.0,1,logged_edge_aligned,1.8110208680057027,12.790197593324693,20
ihawk1,20260808_141232,45.0,2,actual_margin10,0.5422019291757534,13.15642237004152,20
