camera,run_id,height_mm,marker_id,board_position,frame_index,branch_label,matches_acquisition_solution,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_131913,10.0,2,BL,3,A,1,0.16426961045001626,-26.785682320401513,122.33604279694976,508.4805931506268,1.9873792352967066,-0.6539242339321312,0.40206604771382876
ihawk1,20260808_131913,10.0,2,BL,3,B,0,1.2160397142954789,-26.65274603493112,123.05779358986354,506.3970248545296,-2.433724374117762,0.7312077572293053,0.14931251437452356
ihawk1,20260808_131913,10.0,3,BR,1,A,1,0.09301676556733152,86.67960524483543,83.58355912618796,584.0722119323615,1.9905037609149014,-0.6660529131668771,0.39458579326351506
ihawk1,20260808_131913,10.0,3,BR,1,B,0,0.6925856610804829,86.43182078921097,84.44075026590822,583.0164202368856,-2.2201799333361936,0.948473485872994,0.6290685111100623
ihawk1,20260808_131913,10.0,3,BR,2,A,1,0.08239929720322245,86.66994816969975,83.58695354320339,584.1918126029524,1.990859433241833,-0.6659724547649497,0.39388763039754
ihawk1,20260808_131913,10.0,3,BR,2,B,0,0.6817009666100108,86.42625111518934,84.44776094354042,583.1605679785993,-2.2206758230465438,0.9481573927310118,0.6282347814307746
ihawk1,20260808_131913,10.0,3,BR,3,A,1,0.09256300883025231,86.6311951163856,83.50332211891269,583.6513062399453,1.9898824596448126,-0.6663224753146054,0.3940678152858465
ihawk1,20260808_131913,10.0,3,BR,3,B,0,0.6928781640043262,86.38427562483827,84.36121691932861,582.5958607482092,-2.2195819013276936,0.9487524117831039,0.6284411198748041
ihawk1,20260808_131913,10.0,4,C,1,A,1,0.10838613097845574,-38.740047101384896,58.91205954956743,632.3698398945098,2.0012334049532843,-0.661590077492261,0.4180273665738458
ihawk1,20260808_131913,10.0,4,C,1,B,0,0.7688730557793898,-38.637125184908996,59.68998836107715,630.8083573398642,-2.1821493389262825,0.6432162923764851,0.23942894358726863
ihawk1,20260808_131913,10.0,4,C,2,A,1,0.12168388998400985,-38.653656180717995,58.880642945376565,631.6806001205072,2.0027116296843372,-0.6607734024199279,0.4150126235914737
ihawk1,20260808_131913,10.0,4,C,2,B,0,0.7726315134949018,-38.54871098060214,59.6596898151592,630.1090486680071,-2.183557608637826,0.6423572841318295,0.2366288424904436
ihawk1,20260808_131913,10.0,4,C,3,A,1,0.11039689572672488,-38.6828199594337,58.8696224028261,632.0319264456541,2.0012294959360886,-0.6611554871003744,0.41516822887421867
ihawk1,20260808_131913,10.0,4,C,3,B,0,0.7580141368443887,-38.58031273653956,59.651704194828035,630.5088010048185,-2.1820108558581035,0.6426298145103504,0.23682300705855658
ihawk1,20260808_131913,15.0,0,TL,1,A,1,0.09578762295103577,-163.91414997217396,27.43459998054864,665.0400494284681,1.9945521089133138,-0.6479887449094701,0.40659623356833013
ihawk1,20260808_131913,15.0,0,TL,1,B,0,0.7933154626080985,-163.46866189846574,28.166069782470284,663.6056648093636,-2.064167984033693,0.36186748302612354,-0.10682381457577377
ihawk1,20260808_131913,15.0,0,TL,2,A,1,0.10358960682312615,-163.9416263584181,27.422590456645832,665.1659708779491,1.9944473459308552,-0.6488781181978361,0.4061322367723488
ihawk1,20260808_131913,15.0,0,TL,2,B,0,0.7946797987138531,-163.49404610275352,28.153686485562712,663.7253196895971,-2.0638095110490076,0.362732946062758,-0.10718181047927162
ihawk1,20260808_131913,15.0,0,TL,3,A,1,0.11732419836988121,-163.78255981843765,27.384898479180983,664.4889022158895,1.9936701291165357,-0.6445835435014982,0.4072510584338968
ihawk1,20260808_131913,15.0,0,TL,3,B,0,0.8106602462313591,-163.3228447261402,28.113422512136463,662.98828687657,-2.063686931664375,0.35837496354867804,-0.10564999003923616
ihawk1,20260808_131913,15.0,1,TR,1,A,1,0.031161664222944696,-51.626244441452364,-11.59742948314318,751.6178265749103,2.0128573953120847,-0.6696612009086405,0.37444515167243553
ihawk1,20260808_131913,15.0,1,TR,1,B,0,0.4547119767972,-51.534489219896514,-10.877117299546898,750.7762798467515,-1.9892396415440254,0.5751309417791923,0.24257805687847284
ihawk1,20260808_131913,15.0,1,TR,2,A,1,0.06661404527899353,-51.681310682150034,-11.610081796704897,752.8453988219666,2.012806228585516,-0.6725170738463001,0.37629005433554386
ihawk1,20260808_131913,15.0,1,TR,2,B,0,0.4178487959048949,-51.59894606720535,-10.892351869429891,752.1356972084891,-1.989315830878941,0.5781469888750899,0.24468551841178338
ihawk1,20260808_131913,15.0,1,TR,3,A,1,0.062248978399917096,-51.60020637875322,-11.603756452242731,751.7802348022907,2.0112130015013956,-0.6709299330035049,0.3765746422668112
ihawk1,20260808_131913,15.0,1,TR,3,B,0,0.4198490738334233,-51.51863832692357,-10.886908819927177,751.0779561637037,-1.9878224603032333,0.5764207274559054,0.2449304434787318
ihawk1,20260808_131913,15.0,2,BL,1,A,1,0.0897654327232836,-28.357257569384274,118.20186519174695,506.6979184852496,1.9873871938232843,-0.6485946484089422,0.4040642468510197
ihawk1,20260808_131913,15.0,2,BL,1,B,0,1.1384975143139144,-28.23260165702083,118.9921847613103,504.8378186149441,-2.4218040278238235,0.717426170959854,0.15049139493262118
ihawk1,20260808_131913,15.0,2,BL,2,A,1,0.09992127536099585,-28.316538130711045,118.05762606452957,506.1365200916411,1.9856286487678843,-0.6476561267659566,0.4026927514436737
ihawk1,20260808_131913,15.0,2,BL,2,B,0,1.1547798431362715,-28.188172710051767,118.83994696799921,504.2383750529587,-2.420027473165916,0.7159296705721716,0.14944782366134826
ihawk1,20260808_131913,15.0,2,BL,3,A,1,0.12400283177862995,-28.284794086964247,118.15871489419455,506.56434882131333,1.9872613414277218,-0.6500250612552124,0.40649624437466547
ihawk1,20260808_131913,15.0,2,BL,3,B,0,1.1266846424733123,-28.164078754126553,118.95632396804525,504.73276852757084,-2.4215496094263207,0.7199144948688613,0.15330536556230961
ihawk1,20260808_131913,15.0,3,BR,1,A,1,0.02781179391161498,85.82953448805426,79.7501756032821,584.4857274585968,1.9922272051222847,-0.6617486271082929,0.3935556233612793
ihawk1,20260808_131913,15.0,3,BR,1,B,0,0.7232719689852392,85.56533086373203,80.59374420625609,583.3062732262863,-2.2099993339004778,0.9368979683756227,0.6287515806279991
ihawk1,20260808_131913,15.0,3,BR,2,A,1,0.024640849721833624,85.88458239039456,79.78873483155398,584.7795437453042,1.9928316155059405,-0.6617944345937253,0.3932676767690868
ihawk1,20260808_131913,15.0,3,BR,2,B,0,0.7239499202463963,85.61954701417355,80.63151227333955,583.5951643521803,-2.210641560560883,0.936845979973454,0.6285501041117133
ihawk1,20260808_131913,15.0,3,BR,3,A,1,0.04817349832218148,85.87304518794589,79.73353015273608,584.644339247472,1.9925733810315818,-0.6619202313057674,0.3909589825151406
ihawk1,20260808_131913,15.0,3,BR,3,B,0,0.7425091198789229,85.60226568748344,80.56995365543037,583.4070454542447,-2.2105841865475133,0.9367295831083093,0.6262280783996904
ihawk1,20260808_131913,15.0,4,C,1,A,1,0.1285647022739458,-39.843445225301004,54.42039926798407,628.5163111823849,1.9998280463323537,-0.64584707040419,0.4023371966706009
ihawk1,20260808_131913,15.0,4,C,1,B,0,0.664545355805872,-39.755218640767545,55.24071139419866,627.3623499124735,-2.169068904221946,0.6189376830272132,0.2247763890714014
