camera,run_id,height_mm,marker_id,board_position,n_frames,selected_branch_sequence,branch_switch_flag,large_mode_jump_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,role
ihawk1,20260808_141232,0.0,3,BR,3,A/A/A,0,0,2.0600911107924165,0.0035972149492356207,2,0.6905528648019437,0.6368268966299949,0.663925349860801,0.0004123721291330349,0.0017705005067190044,0.0011424110383768094,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,0.0,4,C,3,A/B/B,1,1,62.816976849817955,1.99340617054198,2,0.25933616146634314,0.5265517593619083,36.0355853892791,0.9633308066665941,0.629453544053508,0.0016895583753771901,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,5.0,0,TL,3,A/A/A,0,0,0.5886032410679137,0.0013194577583795493,2,0.10514501759783418,0.2477049117494993,0.16469373767169612,0.00011478536241561456,0.0005369996182847085,0.00046075921544112906,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,5.0,1,TR,3,A/A/A,0,0,1.1586423325004553,0.003445824686072288,2,0.31848115280892103,0.47190651260012095,0.2973047923339299,0.0014064206507787868,0.0007008051531153184,0.0011580952853461133,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,5.0,2,BL,3,A/A/A,0,0,0.369874450271321,0.0020124263462161377,2,0.08837576229450216,0.11152992610071225,0.12815450443778503,0.0008137082306917329,0.000661158580567081,0.000561868701983591,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,5.0,3,BR,3,A/A/A,0,0,0.12722237905885916,0.0030284936424625547,2,0.041709557769888786,0.020504658719566117,0.04946014655962677,0.0011351746249987787,0.0009490781576535331,0.0005173459925406337,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,5.0,4,C,3,A/A/A,0,0,0.7175110104991433,0.0010664055840892718,2,0.16816131329504178,0.2828306297291294,0.23194324565471,0.0004993956298890172,7.417348911516282e-05,0.00024208938865431153,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,10.0,0,TL,3,A/A/A,0,0,0.6080867934267797,0.00259179367679497,2,0.11030025124341324,0.27287813520586673,0.1794627630016113,0.00044346361824254327,0.0006851584506690716,0.001237723028103484,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,10.0,1,TR,3,A/A/A,0,0,0.21960272356609287,0.004876340371937554,2,0.07113189969140797,0.08737824250865246,0.050182341647830704,0.001908804270240644,0.0004352327287243106,0.0018794880877543495,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,10.0,2,BL,3,A/A/A,0,0,0.2825777279501601,0.0016348081319368742,2,0.04974095491096001,0.09285050007086128,0.09500439881202523,0.00024183718296618567,0.00047168570427546575,0.0006797689321303446,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,10.0,3,BR,3,A/A/A,0,0,1.0492956653200542,0.003717468987725682,2,0.3265642466545943,0.30049239503240255,0.3321796612353759,0.0004881998187807826,0.0018463668655486036,0.000984644495669344,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,10.0,4,C,3,A/A/A,0,0,0.72620473372627,0.0019244897829348525,2,0.17754667333581706,0.28939457702527577,0.2124040143787922,0.0007669762444640351,0.0006119556033691111,0.00035914309111452426,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,15.0,0,TL,3,A/A/A,0,0,0.8618525620380584,0.0020499246080350497,2,0.15849399499064068,0.3332398918887027,0.2315361120254134,0.0004733532299689751,0.0008739183291158465,0.0008715122256243873,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,15.0,1,TR,3,A/A/A,0,0,1.1730969095305477,0.0012233671830164424,2,0.30112284774921455,0.47075180407408235,0.30124157685749714,0.0005160595587255032,0.00043833626604530596,0.00033728487595080026,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,15.0,2,BL,3,A/A/A,0,0,23.681033662225303,0.038822763919027725,2,5.3292448662651895,8.965707139390542,8.755487474864633,0.017501877407351773,0.012633170261485046,0.005500076806458079,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,15.0,3,BR,3,A/A/A,0,0,0.3029198087398262,0.0020153282987652793,2,0.09422987430336463,0.08585481898005444,0.10975820638280813,0.00031906948928565627,0.0007021002052319779,0.0007574568688305985,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,15.0,4,C,3,A/A/A,0,0,0.5777021122184093,0.002849748549973801,2,0.12106727167051276,0.2280377026898925,0.15125120030845968,0.0014495405195295737,0.00014452347461091524,0.0003792268685596959,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,20.0,0,TL,3,A/A/A,0,0,14.325004917949085,0.03408902579587217,2,2.4725835135699263,5.865420832332694,3.314553306039227,0.01209696493419057,0.004571649515365866,0.015944719705419892,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,20.0,1,TR,3,A/A/A,0,0,1.9539519325056744,0.008955556883698068,2,0.5650435543833189,0.6907136322858396,0.42930540219315094,0.0020331019794904786,0.0029816940343522606,0.0033628244597894478,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,20.0,2,BL,3,A/A/A,0,0,0.34621921154843416,0.0025028019225249052,2,0.07270482373275883,0.11679457790755589,0.11280801942125909,0.000938609295037336,0.0007103198428802064,0.0008126708067061587,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,20.0,3,BR,3,A/A/A,0,0,0.9401524707946796,0.0029148170559074632,2,0.3138562435439446,0.29365849355520157,0.28690664159005996,0.000571766101830646,0.0013540438714324868,0.0012242229124406496,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,20.0,4,C,3,A/A/A,0,0,1.8861217490917421,0.010316044785457683,2,0.3802933284881098,0.7286666270920844,0.46753718382725534,0.0035412092963402683,0.002518964516889779,0.0036737846519641465,failure_mode_comparator_not_primary_measurement
ihawk1,20260808_141232,25.0,0,TL,3,A/A/A,0,0,17.121285428910753,0.01692996018314125,2,3.076468503873222,7.575139888043842,4.7827864408211,0.0072470492805125075,0.008482817876263779,0.0011842784155141135,failure_mode_comparator_not_primary_measurement
