camera,run_id,height_mm,frame_index,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
ihawk1,20260808_162715,30.0,3,-0.003768371585986679,-0.027228851715783868,0.017722810500028705,-3.1597448062527276e-05,-0.00011757984036879206,-0.00011602005100163372,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,35.0,1,-0.7408298070185424,-1.3334813668126233,0.7243030193395015,0.0007529778720334105,0.006581764382701501,-0.001257325739482107,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,35.0,2,0.4327554461717436,0.7807138792281743,-0.45329633360648114,-0.00029921406349402055,-0.0033059419449218558,0.0006848347852093353,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,35.0,3,0.30807436084696466,0.5527674875844896,-0.2710066857330691,-0.0004537638085411255,-0.003275822437794846,0.0005724909542758889,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,40.0,1,0.07078796235902672,0.11938107362817862,-0.08816244097616784,0.00012040217574198293,-0.0001789042159381622,4.048379529705422e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,40.0,2,-0.06024590359643431,-0.11829813046637641,0.08953288277333006,-4.523360876946992e-05,0.00024184015679729095,-4.672091877525385e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,40.0,3,-0.010542058762480011,-0.001082943161723776,-0.0013704417973236958,-7.516856746465018e-05,-6.293594357875608e-05,6.2371239354902585e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,45.0,1,0.004591063938481243,0.0037280194540802868,-0.0034921480745205226,4.268374471228089e-05,-4.279737818164164e-05,2.6839367102825665e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,45.0,2,0.010000138702989726,0.024160400205034505,-0.018739542751042663,4.1289360754897815e-05,3.7482020360087597e-05,0.00011085105020484743,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,45.0,3,-0.014591202641348345,-0.027888419658963368,0.022231690825668962,-8.397310789012749e-05,5.315359685826027e-06,-0.00013769041943931815,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,50.0,1,0.11531668576274345,0.24967948479791735,-0.13486759001270024,0.0008914755476274036,-0.0003425071933446854,0.00077826892735776,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,50.0,2,0.0029714221308799597,0.09207028661006135,-0.017086328724937774,0.000623561887062548,-0.00029757561151446543,0.0007245697211349556,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk1,20260808_162715,50.0,3,-0.11828810789359538,-0.34174977140799945,0.15195391873763955,-0.0015150374344579623,0.0006400828047586662,-0.0015028386482547175,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,0.0,1,0.03138993894237841,0.0015178139642217975,-0.023951008001881043,-5.087349887450083e-05,-0.0001767171011161961,-4.666786926280474e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,0.0,2,-0.015181051498973168,-0.004312932017716731,0.01306494289767388,-0.00014464118027196347,9.090599896952929e-05,-0.00012427102557372428,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,0.0,3,-0.016208887443631345,0.0027951180534693996,0.010886065104316691,0.00019551467872406142,8.581110266421426e-05,0.00012893781208995285,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,5.0,1,0.01600991742426127,-0.01090434536627323,-0.018015776355872405,-3.4681084927985775e-05,-5.7512614454981925e-05,-7.812369852580169e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,5.0,2,-0.03326408292128813,0.007739700044430316,0.03499826586928056,2.1035043903999435e-05,7.589061198121033e-05,-1.980898726358477e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,5.0,3,0.01725416549717835,0.003164645321853864,-0.016982489513347566,1.3646040644640757e-05,-1.837799848043329e-05,9.79326854675312e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,10.0,1,0.01793480173238485,-0.0043814205437009155,-0.008217641434142029,2.488132388449212e-05,-5.1210756391678986e-05,-5.614417728334113e-06,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,10.0,2,-0.01198862767089691,-0.005187037621115376,0.008569865841955668,3.006995347731426e-05,9.898491129494311e-05,0.00011394948439248999,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,10.0,3,-0.005946174061525105,0.00956845816482026,-0.00035222440792341314,-5.495127597565358e-05,-4.77741573952521e-05,-0.0001083350667060393,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,15.0,1,-0.025509100547466093,-0.006868984507486982,0.023725499796517675,-5.438170430195784e-05,6.919216986152954e-05,-3.1953821523737964e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,15.0,2,0.0034909920074515624,0.002003948661618574,-0.007793301724050699,2.466159457311385e-06,0.00013280675331790745,-3.7500017308996775e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,15.0,3,0.022018108540001625,0.004865035845863689,-0.01593219807241415,5.191554445508593e-05,-0.00020199892190993874,6.945383838210658e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,20.0,1,-0.018172686390760945,0.0007951997817605965,0.006643822493919896,3.254553570889671e-05,0.00011781701849383912,-7.955733405284132e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,20.0,2,-0.007355264624481496,0.0009065695264573429,0.007615656635778604,-7.993819322018092e-05,-4.1738376397585225e-05,-5.2856766112924724e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,20.0,3,0.025527951015268616,-0.0017017693082041574,-0.014259479129587202,4.739265858675973e-05,-7.607864162657636e-05,0.00013241410096904334,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,25.0,1,0.021224581728026402,-0.001313865616977028,-0.007341175569248598,-3.431559630357453e-05,6.014181690575135e-05,8.264998198812504e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,25.0,2,-0.003104896976016185,0.002130947577625765,0.0063638891462463,-0.00010508295713470402,-6.48421932768864e-05,-6.758273814422291e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
ihawk2,20260808_131913,25.0,3,-0.0181196847519389,-0.000817081960646517,0.000977286422992088,0.00013939855443552198,4.700376325320841e-06,-1.506724405395179e-05,Log(inv(T_bar_camera_run_height) @ T_frame)
