camera,run_id,height_mm,frame_index,branch_label,selected_by_reprojection,native_solution_index,positive_depth,reprojection_rmse_px,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad
ihawk1,20260808_141232,25.0,1,A,1,0,1,1.3505207414681546,-37.974287147024334,43.05150197567292,613.9096126525585,1.9831107130501484,-0.6267103380379911,0.400042907724017
ihawk1,20260808_141232,25.0,1,B,0,1,1,13.33518214651612,-27.97132152901371,54.12471501099566,582.2036956925268,-2.122470567019886,0.5901867731746906,0.23753454832227547
ihawk1,20260808_141232,25.0,2,A,1,0,1,1.4573881790374774,-37.94376630537405,43.153074072069835,613.0255402485485,1.9841573606696308,-0.6220752454195624,0.4072187552252012
ihawk1,20260808_141232,25.0,2,B,0,1,1,13.225489049781455,-28.03919864282262,54.304671943286905,581.9398811264876,-2.1248903617288697,0.5863429519089045,0.2448498621904981
ihawk1,20260808_141232,25.0,3,A,1,0,1,0.8722231467572547,-38.35350486264997,43.22000882043059,615.7028394006849,1.9921198085641714,-0.6324436262506211,0.41042010802951095
ihawk1,20260808_141232,25.0,3,B,0,1,1,12.931085688052116,-28.50819058644465,54.40472006666271,585.2146122134974,-2.1324562139475547,0.5964224080602495,0.24494821649983023
ihawk1,20260808_141232,30.0,1,A,1,0,1,0.6277701334968573,-39.10713625891185,39.493647491807465,615.0389120871869,1.9935822871823543,-0.6512383198296491,0.4055877649682901
ihawk1,20260808_141232,30.0,1,B,0,1,1,13.009020453647604,-29.026949028736087,50.75743673841148,584.4634055436316,-2.1214486944009265,0.6101056013914932,0.239725803465587
ihawk1,20260808_141232,30.0,2,A,1,0,1,0.6219436378106368,-39.10283182905656,39.53640097106693,615.5461599430535,1.9943116354904777,-0.6514954329371453,0.40567555603494965
ihawk1,20260808_141232,30.0,2,B,0,1,1,13.028657111159912,-29.024835633325306,50.7857216633812,584.816379373758,-2.122110886270968,0.61032408885368,0.23964962175342172
ihawk1,20260808_141232,30.0,3,A,1,0,1,0.6231358994386312,-39.119313641523675,39.49743302839174,614.9886284752173,1.9937100118585838,-0.6514253566785743,0.4055350112005839
ihawk1,20260808_141232,30.0,3,B,0,1,1,13.010247409590894,-29.03647325160434,50.763058333464954,584.4154251236916,-2.121593920603835,0.6102661534587104,0.23957432282008018
ihawk1,20260808_141232,35.0,1,A,1,0,1,0.7085152430834425,-39.00452896869741,34.069417509838324,612.4190430926117,1.9941612663741608,-0.6440160339263418,0.4016603771353722
ihawk1,20260808_141232,35.0,1,B,0,1,1,12.914819483707683,-28.935583669808626,45.636060768946784,582.6430518336172,-2.106785166293004,0.5978677797431231,0.24141974296006863
ihawk1,20260808_141232,35.0,2,A,1,0,1,0.7130784347019119,-39.04324299237065,34.059062719161666,612.2663746843135,1.9939943297024534,-0.6440073322412376,0.40154847413424466
ihawk1,20260808_141232,35.0,2,B,0,1,1,12.922298244442286,-28.96655838700334,45.62650169909559,582.4790763768412,-2.106618875890562,0.5977388961744213,0.24115280235330144
ihawk1,20260808_141232,35.0,3,A,1,0,1,0.7124935597097257,-38.99941832464032,34.073423814399,612.4345122521855,1.9941752053681367,-0.6441052317189214,0.4015906639469277
ihawk1,20260808_141232,35.0,3,B,0,1,1,12.91023333059984,-28.931202790180052,45.64053193480852,582.6753506285393,-2.1068101045047904,0.5979824355473723,0.24137135293478734
ihawk1,20260808_141232,40.0,1,A,1,0,1,0.7765597648958633,-39.387221668161594,29.79756047577949,608.7152039558538,1.993848947895314,-0.6462882343908823,0.4036154954873287
ihawk1,20260808_141232,40.0,1,B,0,1,1,13.236353155835483,-29.1483039750243,41.50512225744636,578.1269079382331,-2.0936307694747156,0.59452594726509,0.24467951186968004
ihawk1,20260808_141232,40.0,2,A,1,0,1,0.8113305709301666,-39.44996349680975,29.689019948249737,608.7959405781123,1.9960364377071595,-0.6476698750047212,0.40351793974453143
ihawk1,20260808_141232,40.0,2,B,0,1,1,13.192593889500138,-29.225455405925114,41.43017667402155,578.4186114858406,-2.0955523393997395,0.5957949202647388,0.24412067660467152
