camera,run_id,height_mm,n_frames,covariance_rank,selected_branch_sequence,branch_switch_flag,max_pairwise_rho_mm,max_pairwise_omega_rad,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad
ihawk2,20260808_145501,25.0,3,2,A/A/A,0,0.05589954430431456,0.00021004380650393,-32.70574571521125,111.90090870343434,497.32438650487956,1.5439850969946989,-1.5595718349101824,0.9606903644432503,0.023193594005522022,0.00587241406163375,0.01832106138696058,7.952316345795348e-05,3.0975207009616894e-05,7.145415242194202e-05,0.000537942802892987,3.0689715467278093e-07,-0.0003960317252084842,1.7332058567450197e-06,-3.011543464578068e-07,1.3088156044738975e-06,3.0689715467278093e-07,3.448524691127379e-05,-3.922504949055938e-05,-1.5872448271319257e-07,-1.6531777179043713e-07,-2.5665911413296277e-07,-0.0003960317252084842,-3.922504949055938e-05,0.000335661290344778,-1.0953609678289432e-06,4.084721473946533e-07,-6.724459465918048e-07,1.7332058567450197e-06,-1.5872448271319257e-07,-1.0953609678289432e-06,6.323933526360386e-09,-2.0544084790287756e-10,5.4090349279214446e-09,-3.011543464578068e-07,-1.6531777179043713e-07,4.084721473946533e-07,-2.0544084790287756e-10,9.594634492886197e-10,4.999846632046117e-10,1.3088156044738975e-06,-2.5665911413296277e-07,-6.724459465918048e-07,5.4090349279214446e-09,4.999846632046117e-10,5.105695898338122e-09
ihawk2,20260808_145501,30.0,3,2,A/A/A,0,0.08237663202626685,0.00029140568749121354,-32.55664580330666,108.43756048358017,492.4916893004351,1.537802833167143,-1.5643067918957867,0.9666269210275035,0.029135178765944347,0.005414724189414673,0.02902235088883068,0.00012682870387553704,5.250451648498934e-05,7.891509142025416e-05,0.0008488586417235343,0.0001384958812435509,-0.0008382707774759423,-3.6387423310554433e-06,-7.305017805835029e-07,-2.2902285563773146e-06,0.0001384958812435509,2.931923804743239e-05,-0.00012690129747187828,-6.509338755488396e-07,-2.387964238726857e-07,-3.5559980236459353e-07,-0.0008382707774759423,-0.00012690129747187828,0.0008422968511144111,3.50932584110984e-06,5.458380841747282e-07,2.288173855342523e-06,-3.6387423310554433e-06,-6.509338755488396e-07,3.50932584110984e-06,1.6085520126748665e-08,4.1500212693333435e-09,9.663529661274976e-09,-7.305017805835029e-07,-2.387964238726857e-07,5.458380841747282e-07,4.1500212693333435e-09,2.7567242513225175e-09,1.6495236129424045e-09,-2.2902285563773146e-06,-3.5559980236459353e-07,2.288173855342523e-06,9.663529661274976e-09,1.6495236129424045e-09,6.227591653867072e-09
ihawk2,20260808_145501,35.0,3,2,A/A/A,0,0.03390339877980504,0.0003076406253741056,-32.749231834670354,103.95708673094336,490.54762772897044,1.5430326542870823,-1.557592181911037,0.9594959631625231,0.014116842592584614,0.005426211717112961,0.011904858658853306,0.00011222366493035584,7.629665104829973e-05,0.00011665449139726359,0.00019928524478381111,-3.235594519684522e-05,-0.00014395951165328518,-7.343616707964842e-07,-1.0051546565324699e-06,-8.96624501567469e-07,-3.235594519684522e-05,2.9443773598933992e-05,5.358521184615192e-05,-3.698461379080223e-07,2.8377513317890037e-08,-3.3567635425159966e-07,-0.00014395951165328518,5.358521184615192e-05,0.00014172565968727455,-8.033049583090532e-08,5.577242169031937e-07,4.6657338354088605e-08,-7.343616707964842e-07,-3.698461379080223e-07,-8.033049583090532e-08,1.259415097040078e-08,6.429718396250368e-09,1.3033885992165486e-08,-1.0051546565324699e-06,2.8377513317890037e-08,5.577242169031937e-07,6.429718396250368e-09,5.821178961186018e-09,7.204529948963951e-09,-8.96624501567469e-07,-3.3567635425159966e-07,4.6657338354088605e-08,1.3033885992165486e-08,7.204529948963951e-09,1.3608270363154244e-08
ihawk2,20260808_145501,40.0,3,2,A/A/A,0,0.06865462755952044,0.0003228651462804387,-31.159305870805536,99.29918302288256,488.1194702513632,1.5360456425581086,-1.5677243869596749,0.96667900554779,0.03012290204793523,0.009776321475737858,0.01474472060567204,3.798881959770297e-05,0.00017944694885550845,5.566437593016109e-05,0.0009073892277895004,0.00025808034639434956,-0.0004352023673197911,-1.0801687075290237e-06,-2.5402050243961064e-07,-1.4884655910303261e-06,0.00025808034639434956,9.557646159697326e-05,-0.0001099116319375419,-3.662806861449199e-07,-9.162997733791742e-07,-5.44035252915814e-07,-0.0004352023673197911,-0.0001099116319375419,0.00021740678573932962,4.811307285701698e-07,-4.0610985589448885e-07,6.384116696939706e-07,-1.0801687075290237e-06,-3.662806861449199e-07,4.811307285701698e-07,1.4431504144268211e-09,2.550532800801824e-09,2.0933357020732856e-09,-2.5402050243961064e-07,-9.162997733791742e-07,-4.0610985589448885e-07,2.550532800801824e-09,3.220120745355147e-08,5.010739271705457e-09,-1.4884655910303261e-06,-5.44035252915814e-07,6.384116696939706e-07,2.0933357020732856e-09,5.010739271705457e-09,3.0985227476942975e-09
ihawk2,20260808_145501,45.0,3,2,A/A/A,0,0.029736959780598406,0.0002921661045156047,-33.06679117135097,95.57958018811568,485.05764113845726,1.5390447536504819,-1.5605421701552533,0.9644471476086002,0.011509325702516292,0.003815330475973379,0.010448763749735392,0.00011584537547184377,3.615854947714059e-05,9.708550982328699e-05,0.00013246457812660214,4.376483983799925e-05,-0.00011549534232733115,-6.753608695703284e-07,-2.524165152340297e-07,-9.768099906216406e-07,4.376483983799925e-05,1.4556746640891249e-05,-3.725009766621319e-05,-1.9197096604357296e-07,-9.236415388990478e-08,-3.0802005058908304e-07,-0.00011549534232733115,-3.725009766621319e-05,0.00010917666389778439,8.796558820463664e-07,1.363814819123841e-07,9.889333385869773e-07,-6.753608695703284e-07,-1.9197096604357296e-07,8.796558820463664e-07,1.3420151018212463e-08,-1.5845529903159873e-09,9.689057723169609e-09,-2.524165152340297e-07,-9.236415388990478e-08,1.363814819123841e-07,-1.5845529903159873e-09,1.3074407002908237e-09,5.060750672365662e-10,-9.768099906216406e-07,-3.0802005058908304e-07,9.889333385869773e-07,9.689057723169609e-09,5.060750672365662e-10,9.425596217647554e-09
ihawk2,20260808_145501,50.0,3,2,A/A/A,0,0.03979650911071553,0.00025792684317133425,-31.7195004536392,91.25349829201483,484.05990221683703,1.5346846974040347,-1.5677476676386006,0.9678343940191603,0.014609170204745003,0.0011450607163315018,0.014233407676924218,8.801126555522597e-05,7.620538243169488e-05,8.709528488295786e-05,0.00021342785407120916,-1.2409126968571559e-05,-0.00020675286126505132,4.945298180414046e-07,7.681458634386867e-07,4.961207824951859e-07,-1.2409126968571559e-05,1.311164044085612e-06,1.0855623426099675e-05,3.363217987986457e-08,-8.70190507150999e-08,3.2741640104254205e-08,-0.00020675286126505132,1.0855623426099675e-05,0.00020258989409752525,-6.023589413445173e-07,-6.60408220862814e-07,-6.023229363403664e-07,4.945298180414046e-07,3.363217987986457e-08,-6.023589413445173e-07,7.745982864632506e-09,-2.701409201923104e-09,7.665239811364348e-09,7.681458634386867e-07,-8.70190507150999e-08,-6.60408220862814e-07,-2.701409201923104e-09,5.807260311560871e-09,-2.638358311154904e-09,4.961207824951859e-07,3.2741640104254205e-08,-6.023229363403664e-07,7.665239811364348e-09,-2.638358311154904e-09,7.585588648843588e-09
ihawk2,20260808_151001,0.0,3,2,A/A/A,0,0.03144557834297589,0.00020742965356836286,-32.891906366639276,134.40164804640813,506.5674839933087,1.541492505756367,-1.565304297901928,0.9631403246632297,0.012993279043200913,0.001896805715669387,0.010580176561583434,7.207211398441166e-05,8.643773495935569e-05,7.732079195257006e-05,0.00016882530029448402,-1.4954128252598401e-05,-0.00012426256433264237,-6.216624724387274e-07,7.952304300572751e-07,-3.395122265960272e-07,-1.4954128252598401e-05,3.5978719229960547e-06,1.782971719728796e-05,1.3633297147209173e-07,2.1589868375666548e-08,1.3979393986824777e-07,-0.00012426256433264237,1.782971719728796e-05,0.00011194013607427945,7.014811219095338e-07,-3.0911234837025704e-07,5.792039434439949e-07,-6.216624724387274e-07,1.3633297147209173e-07,7.014811219095338e-07,5.194389614182027e-09,3.617141283906155e-10,5.172609464031946e-09,7.952304300572751e-07,2.1589868375666548e-08,-3.0911234837025704e-07,3.617141283906155e-10,7.47148202490382e-09,2.8426227566675624e-09,-3.395122265960272e-07,1.3979393986824777e-07,5.792039434439949e-07,5.172609464031946e-09,2.8426227566675624e-09,5.978504868172624e-09
ihawk2,20260808_151001,5.0,3,2,A/A/A,0,0.03230800814669409,0.0005485722050827199,-33.09317852985478,129.85941184314277,503.5829334648916,1.5463681208413829,-1.5614115396401695,0.960320047970295,0.00811371660381412,0.010020320119318646,0.014083362912150257,0.00019569848923959576,8.921656831682614e-05,0.00017336521209229577,6.583239712700893e-05,3.422318204788248e-05,-0.00011066632653066305,1.5863377742483888e-06,-6.731186280515571e-07,1.3959643566570896e-06,3.422318204788248e-05,0.00010040681529362204,-2.5642986048796304e-05,9.020725216402289e-07,-6.482324951778817e-07,9.194332786474374e-07,-0.00011066632653066305,-2.5642986048796304e-05,0.00019834111091532935,-2.636805719939922e-06,1.016394826399654e-06,-2.2718832401183347e-06,1.5863377742483888e-06,9.020725216402289e-07,-2.636805719939922e-06,3.8297898690660174e-08,-1.6499390531842458e-08,3.381954083936977e-08,-6.731186280515571e-07,-6.482324951778817e-07,1.016394826399654e-06,-1.6499390531842458e-08,7.959596062230905e-09,-1.497290758364168e-08,1.3959643566570896e-06,9.194332786474374e-07,-2.2718832401183347e-06,3.381954083936977e-08,-1.497290758364168e-08,3.00554967638067e-08
ihawk2,20260808_151001,10.0,3,2,A/A/A,0,0.050683765206953245,0.0003756355658728842,-32.94942838581917,126.48486860875535,501.34024539098414,1.5462485227754068,-1.5622178753757598,0.9608664431565597,0.021165210574569666,0.003089897218632602,0.0176354249705878,0.00010547664607566525,0.00015498312285159882,4.659811044992086e-05,0.0004479661386658756,-4.8323858753356875e-05,-0.0003619791228654999,2.0758937066933017e-06,-2.6912318745176807e-06,5.140251969664098e-07,-4.8323858753356875e-05,9.54746482171349e-06,3.0090588645802517e-05,-1.4315167932406137e-07,1.0583062273619296e-07,2.734739231048599e-08,-0.0003619791228654999,3.0090588645802517e-05,0.00031100821389323173,-1.8443664665154396e-06,2.555889068866597e-06,-5.86460733412992e-07,2.0758937066933017e-06,-1.4315167932406137e-07,-1.8443664665154396e-06,1.112532286737115e-08,-1.590947027497619e-08,3.925097857059235e-09,-2.6912318745176807e-06,1.0583062273619296e-07,2.555889068866597e-06,-1.590947027497619e-08,2.4019768368833772e-08,-6.612008953653104e-09,5.140251969664098e-07,2.734739231048599e-08,-5.86460733412992e-07,3.925097857059235e-09,-6.612008953653104e-09,2.171383897503024e-09
ihawk2,20260808_151001,15.0,3,2,A/A/A,0,0.024546077425865863,0.00031726178015975803,-32.125597631187546,121.09970192884268,500.44108350413927,1.5525422204444235,-1.5616015385034105,0.9587875787439593,0.007024951308210667,0.011840323776824086,0.006584961087395384,2.9390900419317305e-05,0.00016933647614213456,3.744743883347605e-05,4.9349940882730754e-05,3.511565933949316e-05,-4.411030760622487e-05,-9.808013075095758e-08,2.1982914394531872e-07,-2.5095715070208e-07,3.511565933949316e-05,0.0001401932671400258,-1.009635316396263e-05,2.0780836365304826e-07,-1.6298323985534402e-06,-2.991161068396829e-07,-4.411030760622487e-05,-1.009635316396263e-05,4.336171252251139e-05,1.389689781665099e-07,-5.266024900633898e-07,2.0203484543589633e-07,-9.808013075095758e-08,2.0780836365304826e-07,1.389689781665099e-07,8.638250274582261e-10,-4.7410234017270994e-09,2.0830233609254378e-10,2.1982914394531872e-07,-1.6298323985534402e-06,-5.266024900633898e-07,-4.7410234017270994e-09,2.8674842152235703e-08,7.511278448415595e-10,-2.5095715070208e-07,-2.991161068396829e-07,2.0203484543589633e-07,2.0830233609254378e-10,7.511278448415595e-10,1.4023106751869299e-09
ihawk2,20260808_151001,20.0,3,2,A/A/A,0,0.02148560282303196,0.00023062023924821787,-32.17936964750346,117.87882701781922,497.53667099674004,1.549501522292423,-1.561375179593175,0.9576210943844937,0.007709762223409476,0.008095768727493903,0.006171720887283123,6.794125952699089e-05,3.6205441331678854e-05,0.00010192659311836313,5.9440433541511834e-05,-4.202900200854276e-05,-4.552586279772379e-05,-5.480445728875042e-08,1.655211845869434e-07,-4.702008837896716e-07,-4.202900200854276e-05,6.554147128906827e-05,2.1447519705486436e-05,-3.656653246423477e-07,5.7454585675700096e-08,-1.563332345539145e-07,-4.552586279772379e-05,2.1447519705486436e-05,3.809013871052678e-05,1.6325137062140963e-07,-1.79100164097927e-07,5.067120093573168e-07,-5.480445728875042e-08,-3.656653246423477e-07,1.6325137062140963e-07,4.616014746113929e-09,-2.1224519241447218e-09,5.951646099476793e-09,1.655211845869434e-07,5.7454585675700096e-08,-1.79100164097927e-07,-2.1224519241447218e-09,1.3108339820216396e-09,-3.690214777351777e-09,-4.702008837896716e-07,-1.563332345539145e-07,5.067120093573168e-07,5.951646099476793e-09,-3.690214777351777e-09,1.038903038471635e-08
