camera,height_mm,run_id,bias_kind,b_run_rho_x_mm,b_run_rho_y_mm,b_run_rho_z_mm,b_run_omega_x_rad,b_run_omega_y_rad,b_run_omega_z_rad,gaussian_fit,definition
ihawk2,0.0,20260808_141232,baseline_placement,1.2858983944496665,-0.07882791899218759,0.11965987538258799,-0.001306625925504375,0.00027476459699368977,-0.007951824650759576,0,Log(inv(T_bar_camera_height0) @ T_bar_camera_run_height0)
ihawk2,0.0,20260808_145501,baseline_placement,0.5912287569462091,-0.49857309235291847,-0.13062431735575875,-0.0005043738090482466,-0.0009462437268180712,-0.006763603757345256,0,Log(inv(T_bar_camera_height0) @ T_bar_camera_run_height0)
ihawk2,0.0,20260808_151001,baseline_placement,0.2078393060903119,-0.4481058011931581,-0.19257271161106623,-0.0009946985736796134,-0.0007783091731671311,-0.002788908060778364,0,Log(inv(T_bar_camera_height0) @ T_bar_camera_run_height0)
ihawk2,0.0,20260808_162715,baseline_placement,-0.10132332346532869,-0.6662019800967973,-0.09362652935280673,0.00021577566848107114,-0.0008597328557135501,0.000989355891295285,0,Log(inv(T_bar_camera_height0) @ T_bar_camera_run_height0)
ihawk2,0.0,20260808_131913,condition_residual,0.0,0.0,0.0,0.0,0.0,0.0,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,0.0,20260808_141232,condition_residual,1.0967821208096209e-30,7.105427357601001e-15,2.335788566553853e-31,0.0,0.0,0.0,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,0.0,20260808_145501,condition_residual,-1.0967821208096209e-30,-7.105427357601001e-15,-2.335788566553853e-31,0.0,0.0,0.0,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,0.0,20260808_151001,condition_residual,0.0,0.0,0.0,0.0,0.0,0.0,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,0.0,20260808_162715,condition_residual,0.0,0.0,0.0,0.0,0.0,0.0,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,5.0,20260808_131913,condition_residual,-0.20644997507976748,-2.076595893183422,-1.0979705873726069,-0.00024876306623803295,-0.002315681024418097,-0.0033018372064709364,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,5.0,20260808_141232,condition_residual,0.45325484177281217,3.222590533007677,0.4340761649498923,0.0005875287784993823,-0.00044767157081939725,0.01984764243438809,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,5.0,20260808_145501,condition_residual,-0.08384537707154618,-0.3693849122121329,0.13474794994851777,-0.001147991644957109,0.00034129591080225423,-0.0001345918563267374,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
ihawk2,5.0,20260808_151001,condition_residual,-0.6364584854880073,0.00956745012779936,0.30352292565658484,0.001443146548001653,-0.000885143725771846,-0.002191189116879155,0,Log(inv(Exp(b_pose_height)) @ E_run_height)
