camera,ros_frame_count,timestamp,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px,detected_aruco_markers,detected_charuco_corners
ihawk2,17,1786446724.379892,7,84.0,58.0,0.0,420.5569763183594,339.4565124511719,420.5569763183594,339.4565124511719,13,9
ihawk2,18,1786446724.413879,7,84.0,58.0,0.0,420.5772399902344,339.4580078125,420.5772399902344,339.4580078125,13,11
ihawk1,20,1786446724.423242,31,84.0,-17.0,0.0,369.3703918457031,290.7909240722656,369.3703918457031,290.7909240722656,4,3
ihawk2,19,1786446724.453932,7,84.0,58.0,0.0,420.5697326660156,339.46051025390625,420.5697326660156,339.46051025390625,13,10
ihawk2,19,1786446724.453932,31,84.0,-17.0,0.0,405.6715087890625,297.067626953125,405.6715087890625,297.067626953125,13,10
ihawk1,21,1786446724.460255,5,34.0,58.0,0.0,301.30914306640625,293.3013000488281,301.30914306640625,293.3013000488281,6,4
ihawk2,20,1786446724.478875,2,-41.0,58.0,0.0,313.2999267578125,342.57696533203125,313.2999267578125,342.57696533203125,13,10
ihawk2,20,1786446724.478875,7,84.0,58.0,0.0,420.5631103515625,339.4523010253906,420.5631103515625,339.4523010253906,13,10
ihawk1,22,1786446724.498666,5,34.0,58.0,0.0,301.2559509277344,293.30157470703125,301.2559509277344,293.30157470703125,5,3
ihawk1,23,1786446724.522277,5,34.0,58.0,0.0,301.2550048828125,293.2928466796875,301.2550048828125,293.2928466796875,6,4
ihawk1,23,1786446724.522277,31,84.0,-17.0,0.0,369.37432861328125,290.8005676269531,369.37432861328125,290.8005676269531,6,4
ihawk2,22,1786446724.553929,31,84.0,-17.0,0.0,405.6687927246094,297.07208251953125,405.6687927246094,297.07208251953125,14,10
ihawk1,25,1786446724.588297,5,34.0,58.0,0.0,301.31756591796875,293.3149719238281,301.31756591796875,293.3149719238281,5,4
ihawk1,25,1786446724.588297,31,84.0,-17.0,0.0,369.3692321777344,290.85272216796875,369.3692321777344,290.85272216796875,5,4
ihawk1,26,1786446724.628723,5,34.0,58.0,0.0,300.9837646484375,293.2745056152344,300.9837646484375,293.2745056152344,8,5
ihawk1,26,1786446724.628723,31,84.0,-17.0,0.0,369.36907958984375,290.83306884765625,369.36907958984375,290.83306884765625,8,5
ihawk2,24,1786446724.614133,2,-41.0,58.0,0.0,313.3042297363281,342.5609130859375,313.3042297363281,342.5609130859375,13,10
ihawk2,25,1786446724.64399,2,-41.0,58.0,0.0,313.2769775390625,342.5501403808594,313.2769775390625,342.5501403808594,14,12
ihawk2,26,1786446724.683942,31,84.0,-17.0,0.0,405.6925964355469,297.1144104003906,405.6925964355469,297.1144104003906,13,10
ihawk2,27,1786446724.710277,31,84.0,-17.0,0.0,405.6800537109375,297.0682678222656,405.6800537109375,297.0682678222656,13,10
ihawk1,29,1786446724.753289,31,84.0,-17.0,0.0,369.3549499511719,290.8769226074219,369.3549499511719,290.8769226074219,5,3
ihawk2,28,1786446724.784277,31,84.0,-17.0,0.0,405.6654968261719,297.0615234375,405.6654968261719,297.0615234375,13,10
ihawk2,29,1786446724.808884,31,84.0,-17.0,0.0,405.7085876464844,297.1211242675781,405.7085876464844,297.1211242675781,11,7
ihawk1,31,1786446724.828669,31,84.0,-17.0,0.0,369.3746337890625,290.8884582519531,369.3746337890625,290.8884582519531,5,4
ihawk2,30,1786446724.84388,31,84.0,-17.0,0.0,405.65802001953125,296.9873962402344,405.65802001953125,296.9873962402344,13,10
ihawk2,31,1786446724.883962,31,84.0,-17.0,0.0,405.688232421875,297.04534912109375,405.688232421875,297.04534912109375,12,9
ihawk1,35,1786446724.960285,31,84.0,-17.0,0.0,369.37091064453125,290.8873596191406,369.37091064453125,290.8873596191406,6,4
ihawk1,37,1786446725.018809,31,84.0,-17.0,0.0,369.3812561035156,290.8484802246094,369.3812561035156,290.8484802246094,6,4
