camera,charuco_id,paper_x_mm,paper_y_mm,paper_z_mm,u_raw_median_px,v_raw_median_px,u_raw_mean_px,v_raw_mean_px,u_raw_sd_px,v_raw_sd_px,u_undist_median_px,v_undist_median_px,u_undist_mean_px,v_undist_mean_px,u_undist_sd_px,v_undist_sd_px,n_frames
ihawk1,45,34.0,-67.0,0.0,371.12001037597656,258.0493469238281,371.11186065673826,258.0471588134766,0.04599124252729476,0.05958833092816398,371.12001037597656,258.0493469238281,371.11186065673826,258.0471588134766,0.04599124252729476,0.05958833092816398,20
ihawk1,47,84.0,-67.0,0.0,395.95648193359375,275.33433532714844,395.9822341918945,275.3371810913086,0.0451488481509914,0.019829240802737833,395.95648193359375,275.33433532714844,395.9822341918945,275.3371810913086,0.0451488481509914,0.019829240802737833,20
ihawk2,0,-91.0,58.0,0.0,270.0127258300781,343.67291259765625,270.01709136962893,343.6789779663086,0.018018211869953064,0.02278491229474745,270.0127258300781,343.67291259765625,270.01709136962893,343.6789779663086,0.018018211869953064,0.02278491229474745,20
ihawk2,2,-41.0,58.0,0.0,313.54576110839844,342.8776397705078,313.5458038330078,342.87799682617185,0.010866228823814824,0.01699476712879559,313.54576110839844,342.8776397705078,313.5458038330078,342.87799682617185,0.010866228823814824,0.01699476712879559,20
ihawk2,5,34.0,58.0,0.0,377.9825897216797,341.061279296875,377.97924652099607,341.06007995605466,0.012561098197812764,0.011617512258611311,377.9825897216797,341.061279296875,377.97924652099607,341.06007995605466,0.012561098197812764,0.011617512258611311,20
ihawk2,7,84.0,58.0,0.0,420.5368957519531,339.893310546875,420.5331008911133,339.9027801513672,0.012052156967277886,0.02090660105581504,420.5368957519531,339.893310546875,420.5331008911133,339.9027801513672,0.012052156967277886,0.02090660105581504,20
ihawk2,24,-91.0,-17.0,0.0,274.2544860839844,299.4225616455078,274.26280822753904,299.44058380126955,0.04192893249532116,0.06803065150315056,274.2544860839844,299.4225616455078,274.26280822753904,299.44058380126955,0.04192893249532116,0.06803065150315056,20
ihawk2,26,-41.0,-17.0,0.0,311.9214172363281,299.02471923828125,311.9269073486328,299.0167297363281,0.020543177664973194,0.026081184135120113,311.9214172363281,299.02471923828125,311.9269073486328,299.0167297363281,0.020543177664973194,0.026081184135120113,20
ihawk2,29,34.0,-17.0,0.0,368.55126953125,298.1482849121094,368.53888549804685,298.15220642089844,0.0427435095721785,0.019758085545285412,368.55126953125,298.1482849121094,368.53888549804685,298.15220642089844,0.0427435095721785,0.019758085545285412,20
ihawk2,31,84.0,-17.0,0.0,405.75775146484375,297.2501525878906,405.76033477783204,297.24739227294924,0.017014134360763017,0.01649722649013784,405.75775146484375,297.2501525878906,405.76033477783204,297.24739227294924,0.017014134360763017,0.01649722649013784,20
ihawk2,40,-91.0,-67.0,0.0,276.7028350830078,275.9376525878906,276.7048049926758,275.93755493164065,0.011430317295349551,0.007870593663521039,276.7028350830078,275.9376525878906,276.7048049926758,275.93755493164065,0.011430317295349551,0.007870593663521039,20
ihawk2,42,-41.0,-67.0,0.0,311.80804443359375,274.80841064453125,311.80699768066404,274.79907073974607,0.022719149716787398,0.02110829826459487,311.80804443359375,274.80841064453125,311.80699768066404,274.79907073974607,0.022719149716787398,0.02110829826459487,20
ihawk2,45,34.0,-67.0,0.0,363.5396270751953,274.71449279785156,363.546875,274.71473999023436,0.02157663312804083,0.004958246689373622,363.5396270751953,274.71449279785156,363.546875,274.71473999023436,0.02157663312804083,0.004958246689373622,20
ihawk2,47,84.0,-67.0,0.0,397.84584045410156,274.0674285888672,397.84540100097655,274.0752151489258,0.07931479830560541,0.039833187511909805,397.84584045410156,274.0674285888672,397.84540100097655,274.0752151489258,0.07931479830560541,0.039833187511909805,20
