frame_index,timestamp,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_raw_px,v_raw_px,u_undist_px,v_undist_px
27,2026-08-07T21:26:56.234,44,2,7,50.0,175.0,326.268798828125,302.1711120605469,326.268798828125,302.1711120605469
27,2026-08-07T21:26:56.234,45,3,7,75.0,175.0,341.50537109375,294.6520080566406,341.50537109375,294.6520080566406
27,2026-08-07T21:26:56.234,46,4,7,100.0,175.0,355.9391174316406,286.9303283691406,355.9391174316406,286.9303283691406
27,2026-08-07T21:26:56.234,47,5,7,125.0,175.0,369.95001220703125,279.6336364746094,369.95001220703125,279.6336364746094
28,2026-08-07T21:26:56.261,0,0,0,0.0,0.0,231.80616760253906,249.42942810058594,231.80616760253906,249.42942810058594
28,2026-08-07T21:26:56.261,1,1,0,25.0,0.0,246.7377471923828,244.0687713623047,246.7377471923828,244.0687713623047
28,2026-08-07T21:26:56.261,2,2,0,50.0,0.0,260.8788757324219,238.83267211914062,260.8788757324219,238.83267211914062
28,2026-08-07T21:26:56.261,3,3,0,75.0,0.0,274.7153015136719,234.48098754882812,274.7153015136719,234.48098754882812
28,2026-08-07T21:26:56.261,4,4,0,100.0,0.0,287.5003967285156,229.4036407470703,287.5003967285156,229.4036407470703
28,2026-08-07T21:26:56.261,5,5,0,125.0,0.0,300.5428771972656,225.0613555908203,300.5428771972656,225.0613555908203
28,2026-08-07T21:26:56.261,6,0,1,0.0,25.0,239.18373107910156,257.66204833984375,239.18373107910156,257.66204833984375
28,2026-08-07T21:26:56.261,7,1,1,25.0,25.0,254.3440399169922,251.9310760498047,254.3440399169922,251.9310760498047
28,2026-08-07T21:26:56.261,8,2,1,50.0,25.0,268.91143798828125,246.521484375,268.91143798828125,246.521484375
28,2026-08-07T21:26:56.261,9,3,1,75.0,25.0,282.75775146484375,241.56591796875,282.75775146484375,241.56591796875
28,2026-08-07T21:26:56.261,10,4,1,100.0,25.0,295.9530944824219,236.6732177734375,295.9530944824219,236.6732177734375
28,2026-08-07T21:26:56.261,11,5,1,125.0,25.0,309.17303466796875,231.6915283203125,309.17303466796875,231.6915283203125
28,2026-08-07T21:26:56.261,12,0,2,0.0,50.0,246.86203002929688,266.3679504394531,246.86203002929688,266.3679504394531
28,2026-08-07T21:26:56.261,13,1,2,25.0,50.0,262.16815185546875,260.2772216796875,262.16815185546875,260.2772216796875
28,2026-08-07T21:26:56.261,14,2,2,50.0,50.0,276.9519348144531,254.514404296875,276.9519348144531,254.514404296875
28,2026-08-07T21:26:56.261,15,3,2,75.0,50.0,291.013427734375,249.05593872070312,291.013427734375,249.05593872070312
28,2026-08-07T21:26:56.261,16,4,2,100.0,50.0,304.5848388671875,243.97457885742188,304.5848388671875,243.97457885742188
28,2026-08-07T21:26:56.261,17,5,2,125.0,50.0,317.6268615722656,238.6773681640625,317.6268615722656,238.6773681640625
28,2026-08-07T21:26:56.261,18,0,3,0.0,75.0,254.87408447265625,275.44512939453125,254.87408447265625,275.44512939453125
28,2026-08-07T21:26:56.261,19,1,3,25.0,75.0,270.46453857421875,268.885009765625,270.46453857421875,268.885009765625
28,2026-08-07T21:26:56.261,20,2,3,50.0,75.0,285.5732116699219,262.82513427734375,285.5732116699219,262.82513427734375
28,2026-08-07T21:26:56.261,21,3,3,75.0,75.0,299.9306335449219,257.1322326660156,299.9306335449219,257.1322326660156
28,2026-08-07T21:26:56.261,22,4,3,100.0,75.0,313.5696716308594,251.58116149902344,313.5696716308594,251.58116149902344
28,2026-08-07T21:26:56.261,23,5,3,125.0,75.0,327.0653381347656,245.85269165039062,327.0653381347656,245.85269165039062
28,2026-08-07T21:26:56.261,24,0,4,0.0,100.0,263.6102600097656,285.3958740234375,263.6102600097656,285.3958740234375
28,2026-08-07T21:26:56.261,25,1,4,25.0,100.0,279.51416015625,278.3951721191406,279.51416015625,278.3951721191406
28,2026-08-07T21:26:56.261,26,2,4,50.0,100.0,294.8154602050781,271.8888244628906,294.8154602050781,271.8888244628906
28,2026-08-07T21:26:56.261,27,3,4,75.0,100.0,309.44696044921875,265.77569580078125,309.44696044921875,265.77569580078125
28,2026-08-07T21:26:56.261,28,4,4,100.0,100.0,323.2506408691406,259.68231201171875,323.2506408691406,259.68231201171875
28,2026-08-07T21:26:56.261,29,5,4,125.0,100.0,336.6070556640625,253.4638671875,336.6070556640625,253.4638671875
28,2026-08-07T21:26:56.261,30,0,5,0.0,125.0,272.90167236328125,295.77801513671875,272.90167236328125,295.77801513671875
28,2026-08-07T21:26:56.261,31,1,5,25.0,125.0,289.01861572265625,288.4775390625,289.01861572265625,288.4775390625
28,2026-08-07T21:26:56.261,32,2,5,50.0,125.0,304.71148681640625,281.6210632324219,304.71148681640625,281.6210632324219
28,2026-08-07T21:26:56.261,33,3,5,75.0,125.0,319.3823547363281,274.8714599609375,319.3823547363281,274.8714599609375
28,2026-08-07T21:26:56.261,34,4,5,100.0,125.0,333.4200134277344,268.291748046875,333.4200134277344,268.291748046875
28,2026-08-07T21:26:56.261,35,5,5,125.0,125.0,347.18865966796875,261.6883850097656,347.18865966796875,261.6883850097656
28,2026-08-07T21:26:56.261,36,0,6,0.0,150.0,282.6197509765625,306.58294677734375,282.6197509765625,306.58294677734375
28,2026-08-07T21:26:56.261,37,1,6,25.0,150.0,299.1417236328125,299.00982666015625,299.1417236328125,299.00982666015625
28,2026-08-07T21:26:56.261,38,2,6,50.0,150.0,315.0889892578125,291.5392761230469,315.0889892578125,291.5392761230469
28,2026-08-07T21:26:56.261,39,3,6,75.0,150.0,329.9986267089844,284.4386291503906,329.9986267089844,284.4386291503906
28,2026-08-07T21:26:56.261,40,4,6,100.0,150.0,344.28057861328125,277.30718994140625,344.28057861328125,277.30718994140625
28,2026-08-07T21:26:56.261,41,5,6,125.0,150.0,357.8948059082031,270.3272705078125,357.8948059082031,270.3272705078125
28,2026-08-07T21:26:56.261,42,0,7,0.0,175.0,293.220947265625,318.231201171875,293.220947265625,318.231201171875
28,2026-08-07T21:26:56.261,43,1,7,25.0,175.0,310.1513366699219,310.0467529296875,310.1513366699219,310.0467529296875
28,2026-08-07T21:26:56.261,44,2,7,50.0,175.0,326.2633056640625,302.16888427734375,326.2633056640625,302.16888427734375
28,2026-08-07T21:26:56.261,45,3,7,75.0,175.0,341.4911804199219,294.6025390625,341.4911804199219,294.6025390625
28,2026-08-07T21:26:56.261,46,4,7,100.0,175.0,355.9558410644531,286.9294128417969,355.9558410644531,286.9294128417969
28,2026-08-07T21:26:56.261,47,5,7,125.0,175.0,369.9376525878906,279.629150390625,369.9376525878906,279.629150390625
29,2026-08-07T21:26:56.282,0,0,0,0.0,0.0,231.80616760253906,249.42942810058594,231.80616760253906,249.42942810058594
29,2026-08-07T21:26:56.282,1,1,0,25.0,0.0,246.7377471923828,244.0687713623047,246.7377471923828,244.0687713623047
29,2026-08-07T21:26:56.282,2,2,0,50.0,0.0,260.8788757324219,238.83267211914062,260.8788757324219,238.83267211914062
29,2026-08-07T21:26:56.282,3,3,0,75.0,0.0,274.7153015136719,234.48098754882812,274.7153015136719,234.48098754882812
29,2026-08-07T21:26:56.282,4,4,0,100.0,0.0,287.5003967285156,229.4036407470703,287.5003967285156,229.4036407470703
29,2026-08-07T21:26:56.282,5,5,0,125.0,0.0,300.5428771972656,225.0613555908203,300.5428771972656,225.0613555908203
29,2026-08-07T21:26:56.282,6,0,1,0.0,25.0,239.18373107910156,257.66204833984375,239.18373107910156,257.66204833984375
29,2026-08-07T21:26:56.282,7,1,1,25.0,25.0,254.3440399169922,251.9310760498047,254.3440399169922,251.9310760498047
29,2026-08-07T21:26:56.282,8,2,1,50.0,25.0,268.91143798828125,246.521484375,268.91143798828125,246.521484375
29,2026-08-07T21:26:56.282,9,3,1,75.0,25.0,282.75775146484375,241.56591796875,282.75775146484375,241.56591796875
29,2026-08-07T21:26:56.282,10,4,1,100.0,25.0,295.9530944824219,236.6732177734375,295.9530944824219,236.6732177734375
29,2026-08-07T21:26:56.282,11,5,1,125.0,25.0,309.17303466796875,231.6915283203125,309.17303466796875,231.6915283203125
29,2026-08-07T21:26:56.282,12,0,2,0.0,50.0,246.86203002929688,266.3679504394531,246.86203002929688,266.3679504394531
29,2026-08-07T21:26:56.282,13,1,2,25.0,50.0,262.16815185546875,260.2772216796875,262.16815185546875,260.2772216796875
29,2026-08-07T21:26:56.282,14,2,2,50.0,50.0,276.9519348144531,254.514404296875,276.9519348144531,254.514404296875
29,2026-08-07T21:26:56.282,15,3,2,75.0,50.0,291.013427734375,249.05593872070312,291.013427734375,249.05593872070312
29,2026-08-07T21:26:56.282,16,4,2,100.0,50.0,304.5848388671875,243.97457885742188,304.5848388671875,243.97457885742188
29,2026-08-07T21:26:56.282,17,5,2,125.0,50.0,317.6268615722656,238.6773681640625,317.6268615722656,238.6773681640625
29,2026-08-07T21:26:56.282,18,0,3,0.0,75.0,254.87408447265625,275.44512939453125,254.87408447265625,275.44512939453125
29,2026-08-07T21:26:56.282,19,1,3,25.0,75.0,270.46453857421875,268.885009765625,270.46453857421875,268.885009765625
29,2026-08-07T21:26:56.282,20,2,3,50.0,75.0,285.5732116699219,262.82513427734375,285.5732116699219,262.82513427734375
29,2026-08-07T21:26:56.282,21,3,3,75.0,75.0,299.9306335449219,257.1322326660156,299.9306335449219,257.1322326660156
29,2026-08-07T21:26:56.282,22,4,3,100.0,75.0,313.5696716308594,251.58116149902344,313.5696716308594,251.58116149902344
29,2026-08-07T21:26:56.282,23,5,3,125.0,75.0,327.0653381347656,245.85269165039062,327.0653381347656,245.85269165039062
29,2026-08-07T21:26:56.282,24,0,4,0.0,100.0,263.6102600097656,285.3958740234375,263.6102600097656,285.3958740234375
29,2026-08-07T21:26:56.282,25,1,4,25.0,100.0,279.51416015625,278.3951721191406,279.51416015625,278.3951721191406
29,2026-08-07T21:26:56.282,26,2,4,50.0,100.0,294.8154602050781,271.8888244628906,294.8154602050781,271.8888244628906
29,2026-08-07T21:26:56.282,27,3,4,75.0,100.0,309.44696044921875,265.77569580078125,309.44696044921875,265.77569580078125
29,2026-08-07T21:26:56.282,28,4,4,100.0,100.0,323.2506408691406,259.68231201171875,323.2506408691406,259.68231201171875
29,2026-08-07T21:26:56.282,29,5,4,125.0,100.0,336.6070556640625,253.4638671875,336.6070556640625,253.4638671875
29,2026-08-07T21:26:56.282,30,0,5,0.0,125.0,272.90167236328125,295.77801513671875,272.90167236328125,295.77801513671875
29,2026-08-07T21:26:56.282,31,1,5,25.0,125.0,289.01861572265625,288.4775390625,289.01861572265625,288.4775390625
29,2026-08-07T21:26:56.282,32,2,5,50.0,125.0,304.71148681640625,281.6210632324219,304.71148681640625,281.6210632324219
29,2026-08-07T21:26:56.282,33,3,5,75.0,125.0,319.3823547363281,274.8714599609375,319.3823547363281,274.8714599609375
29,2026-08-07T21:26:56.282,34,4,5,100.0,125.0,333.4200134277344,268.291748046875,333.4200134277344,268.291748046875
29,2026-08-07T21:26:56.282,35,5,5,125.0,125.0,347.18865966796875,261.6883850097656,347.18865966796875,261.6883850097656
29,2026-08-07T21:26:56.282,36,0,6,0.0,150.0,282.6197509765625,306.58294677734375,282.6197509765625,306.58294677734375
29,2026-08-07T21:26:56.282,37,1,6,25.0,150.0,299.1417236328125,299.00982666015625,299.1417236328125,299.00982666015625
29,2026-08-07T21:26:56.282,38,2,6,50.0,150.0,315.0889892578125,291.5392761230469,315.0889892578125,291.5392761230469
29,2026-08-07T21:26:56.282,39,3,6,75.0,150.0,329.9986267089844,284.4386291503906,329.9986267089844,284.4386291503906
29,2026-08-07T21:26:56.282,40,4,6,100.0,150.0,344.28057861328125,277.30718994140625,344.28057861328125,277.30718994140625
29,2026-08-07T21:26:56.282,41,5,6,125.0,150.0,357.8948059082031,270.3272705078125,357.8948059082031,270.3272705078125
29,2026-08-07T21:26:56.282,42,0,7,0.0,175.0,293.220947265625,318.231201171875,293.220947265625,318.231201171875
29,2026-08-07T21:26:56.282,43,1,7,25.0,175.0,310.1513366699219,310.0467529296875,310.1513366699219,310.0467529296875
29,2026-08-07T21:26:56.282,44,2,7,50.0,175.0,326.2633056640625,302.16888427734375,326.2633056640625,302.16888427734375
29,2026-08-07T21:26:56.282,45,3,7,75.0,175.0,341.4911804199219,294.6025390625,341.4911804199219,294.6025390625
29,2026-08-07T21:26:56.282,46,4,7,100.0,175.0,355.9558410644531,286.9294128417969,355.9558410644531,286.9294128417969
29,2026-08-07T21:26:56.282,47,5,7,125.0,175.0,369.9376525878906,279.629150390625,369.9376525878906,279.629150390625
30,2026-08-07T21:26:56.303,0,0,0,0.0,0.0,231.8018798828125,249.4398651123047,231.8018798828125,249.4398651123047
30,2026-08-07T21:26:56.303,1,1,0,25.0,0.0,246.74606323242188,244.07009887695312,246.74606323242188,244.07009887695312
30,2026-08-07T21:26:56.303,2,2,0,50.0,0.0,260.8525695800781,238.82504272460938,260.8525695800781,238.82504272460938
30,2026-08-07T21:26:56.303,3,3,0,75.0,0.0,274.7537841796875,234.48712158203125,274.7537841796875,234.48712158203125
30,2026-08-07T21:26:56.303,4,4,0,100.0,0.0,287.4653015136719,229.3462677001953,287.4653015136719,229.3462677001953
30,2026-08-07T21:26:56.303,5,5,0,125.0,0.0,300.5574645996094,225.07659912109375,300.5574645996094,225.07659912109375
30,2026-08-07T21:26:56.303,6,0,1,0.0,25.0,239.1699676513672,257.6580505371094,239.1699676513672,257.6580505371094
30,2026-08-07T21:26:56.303,7,1,1,25.0,25.0,254.31387329101562,251.93386840820312,254.31387329101562,251.93386840820312
30,2026-08-07T21:26:56.303,8,2,1,50.0,25.0,268.9491882324219,246.51605224609375,268.9491882324219,246.51605224609375
30,2026-08-07T21:26:56.303,9,3,1,75.0,25.0,282.76800537109375,241.57008361816406,282.76800537109375,241.57008361816406
30,2026-08-07T21:26:56.303,10,4,1,100.0,25.0,295.99517822265625,236.6656494140625,295.99517822265625,236.6656494140625
30,2026-08-07T21:26:56.303,11,5,1,125.0,25.0,309.18170166015625,231.69325256347656,309.18170166015625,231.69325256347656
30,2026-08-07T21:26:56.303,12,0,2,0.0,50.0,246.85293579101562,266.3688049316406,246.85293579101562,266.3688049316406
30,2026-08-07T21:26:56.303,13,1,2,25.0,50.0,262.1731262207031,260.2809753417969,262.1731262207031,260.2809753417969
30,2026-08-07T21:26:56.303,14,2,2,50.0,50.0,276.9410705566406,254.50559997558594,276.9410705566406,254.50559997558594
30,2026-08-07T21:26:56.303,15,3,2,75.0,50.0,291.0185241699219,249.0562744140625,291.0185241699219,249.0562744140625
30,2026-08-07T21:26:56.303,16,4,2,100.0,50.0,304.5884094238281,243.97134399414062,304.5884094238281,243.97134399414062
30,2026-08-07T21:26:56.303,17,5,2,125.0,50.0,317.6020812988281,238.67373657226562,317.6020812988281,238.67373657226562
30,2026-08-07T21:26:56.303,18,0,3,0.0,75.0,254.88377380371094,275.44122314453125,254.88377380371094,275.44122314453125
30,2026-08-07T21:26:56.303,19,1,3,25.0,75.0,270.4916076660156,268.8853759765625,270.4916076660156,268.8853759765625
30,2026-08-07T21:26:56.303,20,2,3,50.0,75.0,285.5587158203125,262.8216552734375,285.5587158203125,262.8216552734375
30,2026-08-07T21:26:56.303,21,3,3,75.0,75.0,299.91796875,257.1299133300781,299.91796875,257.1299133300781
30,2026-08-07T21:26:56.303,22,4,3,100.0,75.0,313.5890197753906,251.5897979736328,313.5890197753906,251.5897979736328
30,2026-08-07T21:26:56.303,23,5,3,125.0,75.0,327.04217529296875,245.87112426757812,327.04217529296875,245.87112426757812
30,2026-08-07T21:26:56.303,24,0,4,0.0,100.0,263.5985412597656,285.3841857910156,263.5985412597656,285.3841857910156
30,2026-08-07T21:26:56.303,25,1,4,25.0,100.0,279.5052795410156,278.3959655761719,279.5052795410156,278.3959655761719
30,2026-08-07T21:26:56.303,26,2,4,50.0,100.0,294.8257751464844,271.8982849121094,294.8257751464844,271.8982849121094
30,2026-08-07T21:26:56.303,27,3,4,75.0,100.0,309.431884765625,265.7706298828125,309.431884765625,265.7706298828125
30,2026-08-07T21:26:56.303,28,4,4,100.0,100.0,323.2514953613281,259.69329833984375,323.2514953613281,259.69329833984375
30,2026-08-07T21:26:56.303,29,5,4,125.0,100.0,336.5727233886719,253.45860290527344,336.5727233886719,253.45860290527344
30,2026-08-07T21:26:56.303,30,0,5,0.0,125.0,272.8994140625,295.7734069824219,272.8994140625,295.7734069824219
30,2026-08-07T21:26:56.303,31,1,5,25.0,125.0,289.0094299316406,288.4999694824219,289.0094299316406,288.4999694824219
30,2026-08-07T21:26:56.303,32,2,5,50.0,125.0,304.7159423828125,281.5986022949219,304.7159423828125,281.5986022949219
30,2026-08-07T21:26:56.303,33,3,5,75.0,125.0,319.4278564453125,274.8707580566406,319.4278564453125,274.8707580566406
30,2026-08-07T21:26:56.303,34,4,5,100.0,125.0,333.40240478515625,268.28204345703125,333.40240478515625,268.28204345703125
30,2026-08-07T21:26:56.303,35,5,5,125.0,125.0,347.1745910644531,261.68902587890625,347.1745910644531,261.68902587890625
30,2026-08-07T21:26:56.303,36,0,6,0.0,150.0,282.6163635253906,306.5858154296875,282.6163635253906,306.5858154296875
30,2026-08-07T21:26:56.303,37,1,6,25.0,150.0,299.125244140625,299.0080871582031,299.125244140625,299.0080871582031
30,2026-08-07T21:26:56.303,38,2,6,50.0,150.0,315.08392333984375,291.53955078125,315.08392333984375,291.53955078125
30,2026-08-07T21:26:56.303,39,3,6,75.0,150.0,330.018310546875,284.4316711425781,330.018310546875,284.4316711425781
30,2026-08-07T21:26:56.303,40,4,6,100.0,150.0,344.2845458984375,277.3033142089844,344.2845458984375,277.3033142089844
30,2026-08-07T21:26:56.303,41,5,6,125.0,150.0,357.90667724609375,270.3205261230469,357.90667724609375,270.3205261230469
30,2026-08-07T21:26:56.303,42,0,7,0.0,175.0,293.2291564941406,318.22845458984375,293.2291564941406,318.22845458984375
30,2026-08-07T21:26:56.303,43,1,7,25.0,175.0,310.1336364746094,310.0462341308594,310.1336364746094,310.0462341308594
30,2026-08-07T21:26:56.303,44,2,7,50.0,175.0,326.2762756347656,302.1686096191406,326.2762756347656,302.1686096191406
30,2026-08-07T21:26:56.303,45,3,7,75.0,175.0,341.50103759765625,294.6693115234375,341.50103759765625,294.6693115234375
30,2026-08-07T21:26:56.303,46,4,7,100.0,175.0,355.944091796875,286.927490234375,355.944091796875,286.927490234375
30,2026-08-07T21:26:56.303,47,5,7,125.0,175.0,369.9440612792969,279.6190185546875,369.9440612792969,279.6190185546875
31,2026-08-07T21:26:56.326,0,0,0,0.0,0.0,231.8018798828125,249.4398651123047,231.8018798828125,249.4398651123047
31,2026-08-07T21:26:56.326,1,1,0,25.0,0.0,246.74606323242188,244.07009887695312,246.74606323242188,244.07009887695312
31,2026-08-07T21:26:56.326,2,2,0,50.0,0.0,260.8525695800781,238.82504272460938,260.8525695800781,238.82504272460938
31,2026-08-07T21:26:56.326,3,3,0,75.0,0.0,274.7537841796875,234.48712158203125,274.7537841796875,234.48712158203125
31,2026-08-07T21:26:56.326,4,4,0,100.0,0.0,287.4653015136719,229.3462677001953,287.4653015136719,229.3462677001953
31,2026-08-07T21:26:56.326,5,5,0,125.0,0.0,300.5574645996094,225.07659912109375,300.5574645996094,225.07659912109375
31,2026-08-07T21:26:56.326,6,0,1,0.0,25.0,239.1699676513672,257.6580505371094,239.1699676513672,257.6580505371094
31,2026-08-07T21:26:56.326,7,1,1,25.0,25.0,254.31387329101562,251.93386840820312,254.31387329101562,251.93386840820312
31,2026-08-07T21:26:56.326,8,2,1,50.0,25.0,268.9491882324219,246.51605224609375,268.9491882324219,246.51605224609375
31,2026-08-07T21:26:56.326,9,3,1,75.0,25.0,282.76800537109375,241.57008361816406,282.76800537109375,241.57008361816406
31,2026-08-07T21:26:56.326,10,4,1,100.0,25.0,295.99517822265625,236.6656494140625,295.99517822265625,236.6656494140625
31,2026-08-07T21:26:56.326,11,5,1,125.0,25.0,309.18170166015625,231.69325256347656,309.18170166015625,231.69325256347656
31,2026-08-07T21:26:56.326,12,0,2,0.0,50.0,246.85293579101562,266.3688049316406,246.85293579101562,266.3688049316406
31,2026-08-07T21:26:56.326,13,1,2,25.0,50.0,262.1731262207031,260.2809753417969,262.1731262207031,260.2809753417969
31,2026-08-07T21:26:56.326,14,2,2,50.0,50.0,276.9410705566406,254.50559997558594,276.9410705566406,254.50559997558594
31,2026-08-07T21:26:56.326,15,3,2,75.0,50.0,291.0185241699219,249.0562744140625,291.0185241699219,249.0562744140625
31,2026-08-07T21:26:56.326,16,4,2,100.0,50.0,304.5884094238281,243.97134399414062,304.5884094238281,243.97134399414062
31,2026-08-07T21:26:56.326,17,5,2,125.0,50.0,317.6020812988281,238.67373657226562,317.6020812988281,238.67373657226562
