subset_id,n_points,distribution,trial_index,global_trial_id,spread_score,hull_area_mm2,hull_coverage,mean_pairwise_distance_mm,corner_indices,grid_col_row
N16_spread_T010,16,spread,10,1210,0.7521898490626444,21875.0,1.0,108.47095553416263,0;4;5;7;9;10;13;16;19;30;39;40;41;42;45;47,"0,0;4,0;5,0;1,1;3,1;4,1;1,2;4,2;1,3;0,5;3,6;4,6;5,6;0,7;3,7;5,7"
N16_spread_T011,16,spread,11,1211,0.752130322901035,21875.0,1.0,108.44535236395947,0;2;4;5;9;23;24;26;27;30;37;39;41;42;45;47,"0,0;2,0;4,0;5,0;3,1;5,3;0,4;2,4;3,4;0,5;1,6;3,6;5,6;0,7;3,7;5,7"
N16_spread_T012,16,spread,12,1212,0.752098533809888,21875.0,1.0,108.43167935885995,0;2;4;5;7;10;13;19;24;27;29;34;41;42;43;47,"0,0;2,0;4,0;5,0;1,1;4,1;1,2;1,3;0,4;3,4;5,4;4,5;5,6;0,7;1,7;5,7"
N16_spread_T013,16,spread,13,1213,0.7519106851169555,21875.0,1.0,108.35088258098023,0;2;5;6;8;10;21;23;29;30;31;38;39;42;43;47,"0,0;2,0;5,0;0,1;2,1;4,1;3,3;5,3;5,4;0,5;1,5;2,6;3,6;0,7;1,7;5,7"
N16_spread_T014,16,spread,14,1214,0.751516006964833,21875.0,1.0,108.18112508896259,0;5;6;7;8;9;17;26;29;30;38;39;40;42;43;47,"0,0;5,0;0,1;1,1;2,1;3,1;5,2;2,4;5,4;0,5;2,6;3,6;4,6;0,7;1,7;5,7"
N16_spread_T015,16,spread,15,1215,0.7514311058218539,21875.0,1.0,108.1446077265901,0;4;5;6;10;16;19;20;29;30;32;40;41;42;45;47,"0,0;4,0;5,0;0,1;4,1;4,2;1,3;2,3;5,4;0,5;2,5;4,6;5,6;0,7;3,7;5,7"
N16_spread_T016,16,spread,16,1216,0.7513098579780246,21875.0,1.0,108.09245705706279,0;2;5;6;7;8;9;21;24;29;34;40;41;42;45;47,"0,0;2,0;5,0;0,1;1,1;2,1;3,1;3,3;0,4;5,4;4,5;4,6;5,6;0,7;3,7;5,7"
N16_spread_T017,16,spread,17,1217,0.7512752599147351,21875.0,1.0,108.07757586736146,0;2;4;5;8;10;16;18;20;24;30;32;41;42;45;47,"0,0;2,0;4,0;5,0;2,1;4,1;4,2;0,3;2,3;0,4;0,5;2,5;5,6;0,7;3,7;5,7"
N16_spread_T018,16,spread,18,1218,0.7508165356018508,21875.0,1.0,107.88027107999491,0;4;5;6;8;9;10;19;21;28;29;37;42;43;45;47,"0,0;4,0;5,0;0,1;2,1;3,1;4,1;1,3;3,3;4,4;5,4;1,6;0,7;1,7;3,7;5,7"
N16_spread_T019,16,spread,19,1219,0.7507048684778665,21875.0,1.0,107.83224123388747,0;4;5;13;15;18;23;29;30;31;34;40;41;42;43;47,"0,0;4,0;5,0;1,2;3,2;0,3;5,3;5,4;0,5;1,5;4,5;4,6;5,6;0,7;1,7;5,7"
N16_spread_T020,16,spread,20,1220,0.7503552356861029,21875.0,1.0,107.68185848394872,0;5;7;10;13;16;20;23;24;29;38;41;42;43;45;47,"0,0;5,0;1,1;4,1;1,2;4,2;2,3;5,3;0,4;5,4;2,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T021,16,spread,21,1221,0.7495726379960983,21875.0,1.0,107.34525048981595,0;2;4;5;13;17;21;23;26;29;34;37;42;43;45;47,"0,0;2,0;4,0;5,0;1,2;5,2;3,3;5,3;2,4;5,4;4,5;1,6;0,7;1,7;3,7;5,7"
N16_spread_T022,16,spread,22,1222,0.7494754343857752,21875.0,1.0,107.30344163615949,0;4;5;6;8;9;16;19;21;30;31;39;41;42;45;47,"0,0;4,0;5,0;0,1;2,1;3,1;4,2;1,3;3,3;0,5;1,5;3,6;5,6;0,7;3,7;5,7"
N16_spread_T023,16,spread,23,1223,0.7493466037947574,21875.0,1.0,107.24802950374539,0;5;6;9;10;17;18;21;28;30;34;37;40;42;43;47,"0,0;5,0;0,1;3,1;4,1;5,2;0,3;3,3;4,4;0,5;4,5;1,6;4,6;0,7;1,7;5,7"
N16_spread_T024,16,spread,24,1224,0.7492016111199049,21875.0,1.0,107.18566579622447,0;2;4;5;6;9;17;18;20;26;31;37;39;42;43;47,"0,0;2,0;4,0;5,0;0,1;3,1;5,2;0,3;2,3;2,4;1,5;1,6;3,6;0,7;1,7;5,7"
N16_spread_T025,16,spread,25,1225,0.7490507484678918,21875.0,1.0,107.12077731606117,0;2;5;6;8;9;17;26;31;34;37;38;40;42;43;47,"0,0;2,0;5,0;0,1;2,1;3,1;5,2;2,4;1,5;4,5;1,6;2,6;4,6;0,7;1,7;5,7"
N16_spread_T026,16,spread,26,1226,0.7489777168345845,21875.0,1.0,107.0893652228365,0;2;4;5;8;10;13;17;19;26;28;40;41;42;43;47,"0,0;2,0;4,0;5,0;2,1;4,1;1,2;5,2;1,3;2,4;4,4;4,6;5,6;0,7;1,7;5,7"
N16_spread_T027,16,spread,27,1227,0.7488633835378977,21875.0,1.0,107.04018861248886,0;4;5;6;8;10;13;15;18;26;34;38;42;43;45;47,"0,0;4,0;5,0;0,1;2,1;4,1;1,2;3,2;0,3;2,4;4,5;2,6;0,7;1,7;3,7;5,7"
N16_spread_T028,16,spread,28,1228,0.7488152889067032,21875.0,1.0,107.01950232943224,0;5;6;9;15;16;17;24;29;30;31;38;40;42;43;47,"0,0;5,0;0,1;3,1;3,2;4,2;5,2;0,4;5,4;0,5;1,5;2,6;4,6;0,7;1,7;5,7"
N16_spread_T029,16,spread,29,1229,0.748758178775644,21875.0,1.0,106.99493833326147,0;2;5;8;15;16;18;19;23;30;39;40;41;42;45;47,"0,0;2,0;5,0;2,1;3,2;4,2;0,3;1,3;5,3;0,5;3,6;4,6;5,6;0,7;3,7;5,7"
N16_spread_T030,16,spread,30,1230,0.7487297313727521,21875.0,1.0,106.98270264262756,0;5;6;7;10;18;24;26;31;34;39;41;42;43;45;47,"0,0;5,0;0,1;1,1;4,1;0,3;0,4;2,4;1,5;4,5;3,6;5,6;0,7;1,7;3,7;5,7"
N16_spread_T031,16,spread,31,1231,0.7486348353787119,21875.0,1.0,106.94188633226388,0;4;5;6;9;10;15;16;23;24;28;29;42;43;45;47,"0,0;4,0;5,0;0,1;3,1;4,1;3,2;4,2;5,3;0,4;4,4;5,4;0,7;1,7;3,7;5,7"
N16_spread_T032,16,spread,32,1232,0.7484651698876624,21875.0,1.0,106.86891044523385,0;4;5;7;8;10;16;18;26;28;30;39;40;42;43;47,"0,0;4,0;5,0;1,1;2,1;4,1;4,2;0,3;2,4;4,4;0,5;3,6;4,6;0,7;1,7;5,7"
N16_spread_T033,16,spread,33,1233,0.748443778548049,21875.0,1.0,106.85970968217124,0;5;7;10;15;17;19;23;24;28;29;41;42;43;45;47,"0,0;5,0;1,1;4,1;3,2;5,2;1,3;5,3;0,4;4,4;5,4;5,6;0,7;1,7;3,7;5,7"
N16_spread_T034,16,spread,34,1234,0.7484114592598909,21875.0,1.0,106.84580863071452,0;2;4;5;8;10;15;19;23;24;30;31;39;41;42;47,"0,0;2,0;4,0;5,0;2,1;4,1;3,2;1,3;5,3;0,4;0,5;1,5;3,6;5,6;0,7;5,7"
