subset_id,n_points,distribution,trial_index,point_order,corner_index,board_col,board_row,board_x_mm,board_y_mm,u_undist_median_px,v_undist_median_px
N04_spread_T025,4,spread,25,3,30,0,5,0.0,125.0,272.9045715332031,295.7793426513672
N04_spread_T025,4,spread,25,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T026,4,spread,26,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T026,4,spread,26,2,13,1,2,25.0,50.0,262.1682434082031,260.2814483642578
N04_spread_T026,4,spread,26,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T026,4,spread,26,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T027,4,spread,27,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T027,4,spread,27,2,13,1,2,25.0,50.0,262.1682434082031,260.2814483642578
N04_spread_T027,4,spread,27,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T027,4,spread,27,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T028,4,spread,28,1,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T028,4,spread,28,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T028,4,spread,28,3,34,4,5,100.0,125.0,333.4026794433594,268.28565979003906
N04_spread_T028,4,spread,28,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T029,4,spread,29,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T029,4,spread,29,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T029,4,spread,29,3,38,2,6,50.0,150.0,315.092529296875,291.53961181640625
N04_spread_T029,4,spread,29,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T030,4,spread,30,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T030,4,spread,30,2,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
N04_spread_T030,4,spread,30,3,37,1,6,25.0,150.0,299.1462707519531,299.0100555419922
N04_spread_T030,4,spread,30,4,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T031,4,spread,31,1,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T031,4,spread,31,2,10,4,1,100.0,25.0,295.9626159667969,236.67150115966797
N04_spread_T031,4,spread,31,3,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T031,4,spread,31,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T032,4,spread,32,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T032,4,spread,32,2,10,4,1,100.0,25.0,295.9626159667969,236.67150115966797
N04_spread_T032,4,spread,32,3,40,4,6,100.0,150.0,344.27281188964844,277.3101501464844
N04_spread_T032,4,spread,32,4,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T033,4,spread,33,1,7,1,1,25.0,25.0,254.33206176757812,251.9332275390625
N04_spread_T033,4,spread,33,2,10,4,1,100.0,25.0,295.9626159667969,236.67150115966797
N04_spread_T033,4,spread,33,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T033,4,spread,33,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T034,4,spread,34,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T034,4,spread,34,2,15,3,2,75.0,50.0,291.0152282714844,249.05162048339844
N04_spread_T034,4,spread,34,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T034,4,spread,34,4,47,5,7,125.0,175.0,369.9309844970703,279.62353515625
N04_spread_T035,4,spread,35,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T035,4,spread,35,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T035,4,spread,35,3,23,5,3,125.0,75.0,327.05821228027344,245.8694610595703
N04_spread_T035,4,spread,35,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T036,4,spread,36,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T036,4,spread,36,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T036,4,spread,36,3,24,0,4,0.0,100.0,263.58941650390625,285.3874206542969
N04_spread_T036,4,spread,36,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T037,4,spread,37,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T037,4,spread,37,2,23,5,3,125.0,75.0,327.05821228027344,245.8694610595703
N04_spread_T037,4,spread,37,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T037,4,spread,37,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T038,4,spread,38,1,0,0,0,0.0,0.0,231.80699157714844,249.42506408691406
N04_spread_T038,4,spread,38,2,10,4,1,100.0,25.0,295.9626159667969,236.67150115966797
N04_spread_T038,4,spread,38,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
N04_spread_T038,4,spread,38,4,45,3,7,75.0,175.0,341.5081787109375,294.6528625488281
N04_spread_T039,4,spread,39,1,2,2,0,50.0,0.0,260.8468322753906,238.825927734375
N04_spread_T039,4,spread,39,2,5,5,0,125.0,0.0,300.5533142089844,225.06234741210938
N04_spread_T039,4,spread,39,3,41,5,6,125.0,150.0,357.9084167480469,270.3205261230469
N04_spread_T039,4,spread,39,4,43,1,7,25.0,175.0,310.14788818359375,310.045654296875
N04_spread_T040,4,spread,40,1,4,4,0,100.0,0.0,287.49256896972656,229.35186767578125
N04_spread_T040,4,spread,40,2,6,0,1,0.0,25.0,239.16091918945312,257.6477966308594
N04_spread_T040,4,spread,40,3,42,0,7,0.0,175.0,293.22637939453125,318.2282409667969
