dataset,camera,pose_key,height_mm,run_id,n,covariance_rank,mean_t_x_mm,mean_t_y_mm,mean_t_z_mm,mean_rotvec_x_rad,mean_rotvec_y_rad,mean_rotvec_z_rad,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad,source_file,note
E2,ihawk2,marker_0_TL,40.0,20260808_151001,3,2,-143.00871942407844,135.93305489726282,422.8698674002088,1.5333920306907414,-1.5738826356913316,1.0236967822031549,0.26177069540714154,0.08060013859182727,0.24459706501519698,0.000411373902105678,0.0003849059535905085,0.0006719887277813047,0.06852389697393847,0.02107686069399194,-0.0639924482966675,7.782442615518906e-05,-8.917981636159068e-05,-0.00013995266622849568,0.02107686069399194,0.006496382341021763,-0.019652997853356002,2.2893833132436072e-05,-2.8087883538918285e-05,-4.454162474784011e-05,-0.0639924482966675,-0.019652997853356002,0.0598277242140485,-7.500632806073764e-05,8.181541580174819e-05,0.00012736386261411557,7.782442615518906e-05,2.2893833132436072e-05,-7.500632806073764e-05,1.6922848733365197e-07,-5.035042589334423e-08,-4.3198854821280785e-08,-8.917981636159068e-05,-2.8087883538918285e-05,8.181541580174819e-05,-5.035042589334423e-08,1.4815259310941865e-07,2.550671572965827e-07,-0.00013995266622849568,-4.454162474784011e-05,0.00012736386261411557,-4.3198854821280785e-08,2.550671572965827e-07,4.515688502651365e-07,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_0_TL,40.0,20260808_162715,3,2,-143.8569942431597,133.25128401792443,429.9698313617372,1.5444727035030485,-1.5576702357500758,1.0040446827648706,0.1724345099928361,0.05618699144002855,0.17424293290471168,0.0005970898741160231,0.0008616923848393129,0.00023291449526779346,0.029733660236469492,0.009645887089639168,-0.029960377160378564,-1.2799279474460476e-05,-1.412569444874637e-05,2.7057133615395212e-05,0.009645887089639168,0.0031569780070818416,-0.009788489401657881,-7.273677607287751e-06,-9.101923649928167e-06,7.870716573765878e-06,-0.029960377160378564,-0.009788489401657881,0.030360599667235862,2.0661847865737347e-05,2.5475908131370836e-05,-2.5007485502067476e-05,-1.2799279474460476e-05,-7.273677607287751e-06,2.0661847865737347e-05,3.565163177718883e-07,5.14285070423697e-07,9.033077767144151e-08,-1.412569444874637e-05,-9.101923649928167e-06,2.5475908131370836e-05,5.14285070423697e-07,7.425137660900626e-07,1.3479440403162865e-07,2.7057133615395212e-05,7.870716573765878e-06,-2.5007485502067476e-05,9.033077767144151e-08,1.3479440403162865e-07,5.424916210585098e-08,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_1_TR,40.0,20260808_131913,3,2,-148.3252875122213,71.02956895508673,544.9813818154361,1.5373209534080923,-1.576084329861243,0.9706469895240917,0.22570173627158324,0.07002090723309308,0.16723718277201685,0.00029704742878656923,0.0005096133072216018,0.0005843672238593665,0.050941273756007314,0.015767709034370702,-0.037743058440556,4.149625028800528e-05,-0.00010444810136947347,0.00013132278396914797,0.015767709034370702,0.004902927449745427,-0.011691904924457791,1.3948278243153911e-05,-3.1319587468725924e-05,4.0904762678437725e-05,-0.037743058440556,-0.011691904924457791,0.02796827530152097,-3.120868948667626e-05,7.69629162058438e-05,-9.740659596811535e-05,4.149625028800528e-05,1.3948278243153911e-05,-3.120868948667626e-05,8.823717494871191e-08,-3.5288205423046516e-08,1.1963508224397096e-07,-0.00010444810136947347,-3.1319587468725924e-05,7.69629162058438e-05,-3.5288205423046516e-08,2.5970572289733874e-07,-2.5767785454627925e-07,0.00013132278396914797,4.0904762678437725e-05,-9.740659596811535e-05,1.1963508224397096e-07,-2.5767785454627925e-07,3.41485052321103e-07,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_1_TR,40.0,20260808_141232,3,2,-152.27292859181287,67.29453978364081,552.3502189805355,1.5645223793703895,-1.5778514254118226,0.9517662536180095,0.11625263021793303,0.03759268174529243,0.08059635576627501,0.00048139370580130064,0.00039057369319119955,0.0005403225639374524,0.013514674032587475,0.004213958978087289,-0.009369022285353254,4.092217589923052e-05,5.042540185648496e-06,3.749075846978925e-05,0.004213958978087289,0.0014132097208028424,-0.002912891076052647,1.603152294652896e-05,5.439702128573597e-06,7.370400110530783e-06,-0.009369022285353254,-0.002912891076052647,0.0064957725628039704,-2.8091453903193636e-05,-3.1673921338167906e-06,-2.6357115021925776e-05,4.092217589923052e-05,1.603152294652896e-05,-2.8091453903193636e-05,2.317398999851092e-07,1.427289123250045e-07,-2.883713012612567e-08,5.042540185648496e-06,5.439702128573597e-06,-3.1673921338167906e-06,1.427289123250045e-07,1.525478098130133e-07,-1.542886571737964e-07,3.749075846978925e-05,7.370400110530783e-06,-2.6357115021925776e-05,-2.883713012612567e-08,-1.542886571737964e-07,2.9194847309994235e-07,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_1_TR,40.0,20260808_145501,3,2,-148.3400764322509,68.63972678442502,553.493598344535,1.5524446917250674,-1.574795292181758,0.9620030179933461,0.09690112221750986,0.02819916177797548,0.08936294509801368,0.000494386598171549,0.0005964839101267781,0.0008339864213356566,0.009389827487012782,0.002705355612135294,-0.008647983099811964,-4.475095579830647e-05,2.63382514618704e-05,7.291782648960434e-05,0.002705355612135294,0.0007951927249804332,-0.0025097927623056026,-1.3593493197002163e-05,9.694800702480899e-06,2.2435148765195083e-05,-0.008647983099811964,-0.0025097927623056026,0.007985735956590606,4.20238263071942e-05,-2.6689833385498908e-05,-6.880416177709003e-05,-4.475095579830647e-05,-1.3593493197002163e-05,4.20238263071942e-05,2.444181084516366e-07,-2.1922026770502408e-07,-4.109678599200902e-07,2.63382514618704e-05,9.694800702480899e-06,-2.6689833385498908e-05,-2.1922026770502408e-07,3.5579305504013025e-07,3.9544200178975786e-07,7.291782648960434e-05,2.2435148765195083e-05,-6.880416177709003e-05,-4.109678599200902e-07,3.9544200178975786e-07,6.955333509722552e-07,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_1_TR,40.0,20260808_151001,3,2,-148.99851949227343,70.77848974861378,545.3308788888094,1.5361670401135417,-1.5932377053356133,0.9873729380505986,0.2148454584371498,0.07975346215678525,0.1476164330106956,0.000602929860608236,0.0014068790525010146,0.0006754892764464583,0.046158571011069065,0.017101616968803572,-0.03169596200162142,-4.626766195008205e-05,-0.00030221335588163716,-0.00014494443202153428,0.017101616968803572,0.006360614725993776,-0.0117181278182781,-1.9930387617061407e-05,-0.00011209359356589946,-5.386865041378964e-05,-0.03169596200162142,-0.0117181278182781,0.02179061129480118,2.89120874025654e-05,0.00020739495885522538,9.93584170170579e-05,-4.626766195008205e-05,-1.9930387617061407e-05,2.89120874025654e-05,3.6352441681306697e-07,3.1707912854763014e-07,1.6429953583560384e-07,-0.00030221335588163716,-0.00011209359356589946,0.00020739495885522538,3.1707912854763014e-07,1.979308668366153e-06,9.498409835232178e-07,-0.00014494443202153428,-5.386865041378964e-05,9.93584170170579e-05,1.6429953583560384e-07,9.498409835232178e-07,4.5628576259415983e-07,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_1_TR,40.0,20260808_162715,3,2,-146.3423959552969,67.28971245546997,550.0243099639879,1.5541254150698633,-1.574025792553202,0.964084988982126,0.22820942734599317,0.06462066640559956,0.15295591770292288,0.0002549802645130154,0.0003748870134071489,0.0006491759052986833,0.052079542729586134,0.013938757411814775,-0.034560273629272935,4.1197404161858297e-05,-5.708950035444304e-05,-0.00011870220880776275,0.013938757411814775,0.004175830526703784,-0.009702934122213161,1.4825739940129786e-05,-9.388278632841279e-06,-2.3574015235011347e-05,-0.034560273629272935,-0.009702934122213161,0.023395512760343316,-3.120564695160909e-05,3.18891897305448e-05,7.043039189483592e-05,4.1197404161858297e-05,1.4825739940129786e-05,-3.120564695160909e-05,6.50149352911273e-08,5.1175104621283845e-09,-2.395393035959151e-08,-5.708950035444304e-05,-9.388278632841279e-06,3.18891897305448e-05,5.1175104621283845e-09,1.4054027282133184e-07,2.385750195517103e-07,-0.00011870220880776275,-2.3574015235011347e-05,7.043039189483592e-05,-2.395393035959151e-08,2.385750195517103e-07,4.2142935602036503e-07,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_2_BL,40.0,20260808_131913,3,2,85.03994118290069,133.11928470566036,425.8514325375625,1.4993257038282313,-1.5559739919637519,0.9697911093524464,0.05298436428040082,0.020999135638353487,0.040631403141181015,6.784954150375292e-05,0.0004289368520194828,0.0004634366922479767,0.0028073428581982143,-0.001033144962714987,-0.002111643212287175,-2.3867602570069955e-06,-1.401793181930543e-05,6.81002720351746e-06,-0.001033144962714987,0.0004409636975579675,0.0008387670548878228,1.273831866990613e-06,2.5272694843273687e-06,9.64258886497288e-07,-0.002111643212287175,0.0008387670548878228,0.0016509109212211742,2.196610571992516e-06,7.873578576576217e-06,-1.6005639140970136e-06,-2.3867602570069955e-06,1.273831866990613e-06,2.196610571992516e-06,4.603560282269491e-09,-5.212702056116485e-09,1.6801796147538202e-08,-1.401793181930543e-05,2.5272694843273687e-06,7.873578576576217e-06,-5.212702056116485e-09,1.8398682302038367e-07,-1.8433469869799557e-07,6.81002720351746e-06,9.64258886497288e-07,-1.6005639140970136e-06,1.6801796147538202e-08,-1.8433469869799557e-07,2.1477356772174582e-07,E2\E2_dual_camera_height_scan\run_20260808_131913\raw\E2_dual_height_raw_20260808_131913.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_2_BL,40.0,20260808_141232,3,2,79.0674803983067,131.84359164751606,432.2511307997679,1.515432400550212,-1.54859405732886,0.9560780493028949,0.09500479975122823,0.019522571431581766,0.09347384916062486,0.000599603469165856,0.0005945114059872026,0.000755241580315546,0.009025911975770975,-0.0016118438097887072,-0.008878255828330163,5.370122187899282e-05,-5.632790011836206e-05,6.720267164586026e-05,-0.0016118438097887072,0.00038113079530121245,0.0015653418047590587,-1.1522134967837681e-05,1.0482118286344672e-05,-1.4557006707591645e-05,-0.008878255828330163,0.0015653418047590587,0.008737360476903249,-5.2405707702358125e-05,5.5315109255535766e-05,-6.555165852222854e-05,5.370122187899282e-05,-1.1522134967837681e-05,-5.2405707702358125e-05,3.5952432023572967e-07,-3.438959144467734e-07,4.5277344956912373e-07,-5.632790011836206e-05,1.0482118286344672e-05,5.5315109255535766e-05,-3.438959144467734e-07,3.534438118488804e-07,-4.3098340490919656e-07,6.720267164586026e-05,-1.4557006707591645e-05,-6.555165852222854e-05,4.5277344956912373e-07,-4.3098340490919656e-07,5.703898446375232e-07,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv,PnP recomputed from raw four corners
E2,ihawk2,marker_2_BL,40.0,20260808_145501,3,2,84.59423082611852,131.55559827957828,431.965180683499,1.5150499112497502,-1.5532299431673753,0.9693021407897681,0.14309639830264556,0.013691752751256116,0.11980372042357344,0.0005515337507971443,0.000900395081306992,0.0004459860772833877,0.020476579207189385,-0.0018107749305331078,-0.017128044155858994,-2.4327897189715885e-05,-0.00011335280849396991,4.659735744351514e-05,-0.0018107749305331078,0.0001874640934015294,0.0014880840068216997,4.894491220116982e-06,7.78604805357206e-06,-2.5274354769868655e-06,-0.017128044155858994,0.0014880840068216997,0.014352931427329749,1.768264963147068e-05,9.699194431749908e-05,-4.0526254722058656e-05,-2.4327897189715885e-05,4.894491220116982e-06,1.768264963147068e-05,3.041894782683665e-07,-8.991161496180094e-08,1.045269446308564e-07,-0.00011335280849396991,7.78604805357206e-06,9.699194431749908e-05,-8.991161496180094e-08,8.107113024418246e-07,-3.8839094661641313e-07,4.659735744351514e-05,-2.5274354769868655e-06,-4.0526254722058656e-05,1.045269446308564e-07,-3.8839094661641313e-07,1.9890358113062384e-07,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv,PnP recomputed from raw four corners
