dataset,camera,pose_key,height_mm,run_id,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,definition
E2,ihawk1,marker_1_TR,0.0,20260808_151001,2,-0.029161157502037193,-0.06893196950381823,0.019715373512109533,-0.0009345183738935096,-0.0011698706798135134,5.64092703746143e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_151001,3,-0.1264543044469521,-0.20519174276623658,0.13922370930276437,0.00036055720228689645,0.00045308602264140135,4.095704176317649e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_162715,1,0.3988230268050213,0.6136761953820643,-0.41417145674299877,0.0001937665724735527,-0.0003857410663935558,0.00043839059981427,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_162715,2,-0.11723687748647015,-0.19935717684750712,0.10763216696817565,-0.00024082926664168827,-0.00016369103799769488,0.0010902392838530715,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_1_TR,0.0,20260808_162715,3,-0.2815861493185938,-0.41431901853478786,0.306539289774788,4.706269415789399e-05,0.0005494321044243286,-0.0015286298837225423,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_131913,1,0.05576497411095307,0.044565517099234335,-0.06649061099211949,-0.0003086823959350979,-0.0006688171650217825,-0.0009377677521352387,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_131913,2,0.007892111815948831,0.03603099793117945,-0.041537472385369104,-8.455986611535763e-05,-0.0002674713780161444,0.0003044497101145722,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_131913,3,-0.0636570859268121,-0.08059651503034315,0.10802808337719426,0.00039324226211963624,0.0009362885432071517,0.0006333180421025326,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_141232,1,0.07418440103442021,0.14520213592962614,-0.15500145485402156,0.0015896108176456146,3.9120027631591654e-05,0.0012004537840214098,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_141232,2,-0.08409499444266065,-0.159171131283752,0.17725099620531445,-0.0007790312395483172,-0.0002552264933112949,-0.0007830952436478094,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_141232,3,0.009910593408291452,0.013968995354282646,-0.022249541351352677,-0.0008105795782736546,0.00021610646563972516,-0.00041735854053602696,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_145501,1,0.05839643460748764,0.08254425032461477,-0.10009869776278242,3.811852985483793e-05,-0.0003867493466058124,-0.00022580852162219374,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_145501,2,0.0343869313718106,0.04234641062949313,-0.05594304199237258,-0.000168619529951032,-0.00014460962172854134,-5.591660392463573e-06,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_145501,3,-0.09278336597938559,-0.12489066095415083,0.1560417397550725,0.00013050100001030788,0.0005313589676566512,0.00023140018168492474,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_151001,1,-0.03942268511009118,-0.09753131213148025,0.11003727140573911,-0.0005229334465118301,0.0006168032303531861,0.0002232521789475023,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_151001,2,0.12632093668525934,0.19133983557683854,-0.22085676554282202,0.0006112894082499011,-0.00024842330201506715,-0.00014182227808847323,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_151001,3,-0.08689825157516541,-0.09380852344534382,0.11081949413698436,-8.835596160186768e-05,-0.0003683799283548175,-8.14299008810078e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_162715,1,-0.20453699466136968,-0.27257002668912633,0.3101537735653663,-0.0007303196770363769,0.0008803013427811036,-9.164782357173998e-05,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_162715,2,0.013670653066639973,0.007843070237731434,-0.017008207931035618,8.733898060506471e-05,-0.0007610019723961409,-0.00013436485415389273,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_2_BL,0.0,20260808_162715,3,0.19086634159469518,0.26472695645126987,-0.2931455656342784,0.0006429806965173144,-0.0001192993704298945,0.00022601267774926233,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_3_BR,0.0,20260808_131913,1,0.054250410728845205,0.03359619414080942,-0.05195649466207948,-0.0010221997786482703,-0.0010683147029098721,-0.0020364764140787415,Log(inv(T_bar_group) @ T_sample)
E2,ihawk1,marker_3_BR,0.0,20260808_131913,2,-0.14308812118927688,-0.07203973397236697,0.12580217673227928,0.002410352468289365,0.0017768588611363747,0.004078385886335226,Log(inv(T_bar_group) @ T_sample)
