dataset,camera,pose_key,height_mm,run_id,n_runs_for_condition,b_rho_x_mm,b_rho_y_mm,b_rho_z_mm,b_omega_x_rad,b_omega_y_rad,b_omega_z_rad,definition
E2,ihawk1,marker_3,15.0,20260808_145501,5,-0.5937326702862146,0.6373664285686306,-0.16007643144154843,-0.00042196605689626143,0.00015505598536108236,0.010680771281501758,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,15.0,20260808_151001,5,-0.1378271882958165,-1.1922408465679857,-0.2427912102718699,0.007619396569843788,0.002126155523354347,0.0009812812059420205,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_3,15.0,20260808_162715,5,0.4427086769972868,-7.023757948225103,2.942131958330996,0.009867686240793165,0.00962200025173515,-0.0007406602025819724,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,15.0,20260808_131913,5,-2.1439314946246633,0.41194024428207887,0.06185184922875951,0.0035078770692221926,0.0017164651400226258,0.0035270783952160763,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,15.0,20260808_141232,5,-0.33926840103210243,4.343005203701959,0.07176321518457528,-0.001047090176646603,0.0003433325748221146,-0.001288438138544901,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,15.0,20260808_145501,5,-1.7247692409058886,-0.6318812410420279,0.14583636939114492,-0.005383770690055742,-0.0006794488079784387,-0.00019737694460892027,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,15.0,20260808_151001,5,0.04759302889448745,-0.7537694047184281,-0.23516195906775,0.0034968312783892927,-0.0029368582762234483,-4.0906734718689376e-05,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_4,15.0,20260808_162715,5,4.160376107668236,-3.369294802223356,-0.04428947473679123,-0.0005738474809660062,0.0015565093693600174,-0.0020003565773555406,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,20.0,20260808_131913,5,-0.650267575017321,0.19696330014886637,-0.046158014545368706,-0.002348411150762859,0.0014921589485427259,0.0030914513648381626,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,20.0,20260808_141232,5,1.9542132328960748,5.150432234749395,-1.676612828845272,-0.016964401936145058,0.0006609665518892748,-0.012638118361996827,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,20.0,20260808_145501,5,-1.6374181692826342,-0.23745765198344534,-0.09771790706276737,0.01195123788343508,0.0005126624737468951,0.01397430679035055,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,20.0,20260808_151001,5,-2.4131284514194093,-2.4594162621268767,0.48693664766247496,-0.00011233084522476056,0.0038373709899447296,0.00036281129520753907,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_0,20.0,20260808_162715,5,2.7466009628232917,-2.650521620788411,1.3335521027910646,0.00747390604869728,-0.006503158964120144,-0.0047904510883971,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,20.0,20260808_131913,5,-2.5313194384315976,-2.202710710080558,1.0072849393453118,-0.010405218826617003,-0.017640100615175996,-0.018315675082030185,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,20.0,20260808_141232,5,-0.6871124474381529,1.4276422394421788,2.37889375914895,0.03142146290739585,0.04584997352674828,0.011449995447584248,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,20.0,20260808_145501,5,-1.2458246856398665,1.322538310848242,-0.8708537478357218,-0.009006715730009256,-0.017941759744054837,0.0001864144138269967,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,20.0,20260808_151001,5,0.14381035321028487,1.9962293105190028,-2.3412121426011527,-0.017152555662348426,-0.016270237172312737,0.00670452872921236,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_1,20.0,20260808_162715,5,4.320446218299343,-2.5436991507292825,-0.1741128080572951,0.005143027311582432,0.006002124004804233,-2.526350859857268e-05,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
E2,ihawk1,marker_2,20.0,20260808_131913,5,-0.3709441441773706,-0.15028094870490327,-0.16239813843237363,-0.002756436408972836,-0.005188143302226504,0.0015803077503625397,Log(inv(T_bar_pose_height) @ T_bar_pose_height_run)
