experiment,phase,position,camera_id,serial,sample_index,wall_time_iso,color_stamp_s,depth_stamp_s,color_depth_dt_ms,marker_id,u_px,v_px,marker_area_px2,depth_patch_size,depth_valid_count,depth_valid_ratio,depth_median_raw,depth_mean_raw,depth_std_raw,x_cam_raw,y_cam_raw,z_cam_raw,fx,fy,cx,cy,color_frame_id,depth_frame_id
E0-A,formal,center,ihawk2,HK100QB5311M2B242,12,2026-08-07T18:48:46.010,1786099725.903712,1786099725.903712,0.0,4,373.1450500488281,341.04022216796875,1707.9334211712703,9,81,1.0,413.0,413.4938271604938,3.1309880900049887,55.18830782802656,145.71780056238507,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,13,2026-08-07T18:48:46.228,1786099726.099994,1786099726.099994,0.0,4,373.1886291503906,341.04095458984375,1703.1670075175352,9,81,1.0,413.0,413.4567901234568,3.2134459024388806,55.23430090275302,145.7185735552376,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,13,2026-08-07T18:48:46.262,1786099726.173279,1786099726.137662,35.61711311340332,4,270.859619140625,277.6448974609375,996.6075719892979,9,81,1.0,490.0,490.5432098765432,5.447589794386252,-62.53117269870293,91.56138300377211,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,14,2026-08-07T18:48:46.449,1786099726.303734,1786099726.303734,0.0,4,373.1396179199219,341.04876708984375,1708.387920272071,9,81,1.0,413.0,413.34567901234567,3.2371302639342474,55.18257479770351,145.72681881233143,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,14,2026-08-07T18:48:46.554,1786099726.46761,1786099726.443195,24.414777755737305,4,270.837890625,277.63861083984375,998.5877265494782,9,81,1.0,490.0,490.4691358024691,5.431589131536659,-62.55767285373279,91.55371866563979,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,15,2026-08-07T18:48:46.657,1786099726.528819,1786099726.528819,0.0,4,373.14178466796875,341.0175476074219,1704.0177586404607,9,81,1.0,414.0,413.58024691358025,3.173579199936816,55.318481087761285,146.04663965298923,414.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,15,2026-08-07T18:48:46.763,1786099726.673413,1786099726.632581,40.8320426940918,4,270.7884216308594,277.65234375,1000.8112526123878,9,81,1.0,490.0,490.4567901234568,5.413061478304235,-62.61800536960835,91.57046115185116,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,16,2026-08-07T18:48:46.874,1786099726.759851,1786099726.759851,0.0,4,373.1310119628906,341.0186767578125,1705.3067908328958,9,81,1.0,413.0,413.51851851851853,3.198089707587606,55.1734921316861,145.69506168930602,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk1,HK100QB6513M2B479,16,2026-08-07T18:48:46.984,1786099726.873275,1786099726.833246,40.029048919677734,4,270.84393310546875,277.6866455078125,999.4373033023439,9,81,1.0,490.0,490.75308641975306,5.377106248247125,-62.55030342859808,91.61228016185467,490.0,401.77020263671875,401.9191589355469,322.1313781738281,202.54229736328125,ihawk1/berxel_camera_color_frame,ihawk1/berxel_camera_depth_optical_frame
E0-A,formal,center,ihawk2,HK100QB5311M2B242,17,2026-08-07T18:48:47.088,1786099726.957853,1786099726.957853,0.0,4,373.1319580078125,340.9939880371094,1707.3712379969656,9,81,1.0,413.0,413.39506172839504,3.2352705155275614,55.17449058078731,145.6690053885681,413.0,391.3234558105469,391.3234558105469,320.85333251953125,202.9705047607422,ihawk2/berxel_camera_color_frame,ihawk2/berxel_camera_depth_optical_frame
