dataset,camera,height_mm,component,run_id,pose_key,sample_id,rho_x_mm,rho_y_mm,rho_z_mm,omega_x_rad,omega_y_rad,omega_z_rad,coordinate
E2,ihawk2,5.0,within_pose,20260808_162715,marker_0,1,-0.2586472648484538,-0.1186251591584108,0.2444478759413286,-0.0009232370939849675,0.00011060694862486549,-0.00096092448322702,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_0,2,0.2526578848797756,0.09440677374036834,-0.17384550179959218,0.0003092148934992329,-0.0007730323482902233,0.0004635864801156385,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_0,3,0.005989379968738631,0.024218385418044112,-0.07060237414184782,0.0006140222003495799,0.0006624253995367365,0.0004973380029975489,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_1,1,0.44071430156261,0.25252591610951447,-0.6244613760652344,-0.0001539050219183693,-0.00211368283110964,-0.0015082874573208256,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_1,2,-0.1960425356217057,-0.09121677172053343,0.23525775044360905,-5.5996939316949374e-05,0.0002676162861836432,0.0004337720961006163,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_1,3,-0.2446717659409486,-0.1613091443890001,0.38920362562147265,0.0002099019612574768,0.0018460665446815255,0.0010745153609172428,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_1,1,0.020945358707559567,-0.10233673100657527,0.04104612654855248,0.00028116961749534615,0.000168912350692537,0.0009215336469217181,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_1,2,-0.0068120199417065035,0.02937280334655716,-0.0019127878191762334,-0.00015472668948681047,-2.5530750541802884e-07,-0.00027647553598862364,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_1,3,-0.01413333876579411,0.0729639276600246,-0.03913333872938976,-0.00012644292801509494,-0.00016865704319181507,-0.0006450581109563575,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_1,1,0.3401950613467937,0.08251937791863567,-0.25347001310490974,-0.0004900278254905022,-0.001255544735413573,0.0002667833234590682,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_1,2,-0.26124263248174806,-0.058744121425260816,0.24860193657258037,4.858936638087734e-05,0.0010110056399179254,-0.00016700635426946775,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_1,3,-0.07895242886518539,-0.023775256493377823,0.004868076532292766,0.000441438459095296,0.0002445390955757393,-9.97769692003033e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_1,1,-0.0019221415631806985,-0.08743490535207275,0.03088026261562885,0.0003926500614962386,5.404030814953149e-07,0.0008905977490456087,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_1,2,0.374302606333984,0.3007251552662327,-0.44083979318518807,-0.0012854980466137616,-0.0014344833710548156,-0.0020202409556729197,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_1,3,-0.37238046477079584,-0.21329024991417378,0.4099595305695667,0.0008928479851475806,0.0014339429680095238,0.0011296432066728495,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_1,1,0.08351532308999038,0.026197798119254996,-0.08847396805756058,8.475941605022938e-05,-0.0003229557522786977,-1.9848857608853078e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_1,2,0.15413046718699486,0.07083263633514308,-0.13999065344571818,-0.00042091375416768287,-0.0005057766934816157,-0.0001855497608243673,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_162715,marker_1,3,-0.23764579027710356,-0.09703043445437637,0.22846462150318758,0.00033615433817618673,0.000828732445900127,0.00020539861846843432,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_2,1,0.0068860356057731525,0.02650970754972679,-0.08595860358596012,0.00042837502492082516,-9.943574811619237e-07,0.0008713418783620406,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_2,2,-0.002107532141987429,-0.012434847716528056,0.03389286608843174,-0.00031551068787878564,-0.00019545794497851914,-0.00038022976226790835,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_131913,marker_2,3,-0.0047785034638762975,-0.014074859833204379,0.052065737497564976,-0.00011286433715465129,0.00019645230245471818,-0.0004911121163161644,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_2,1,0.11497988021138059,0.027979531202008523,-0.10193607649336466,5.486674656686236e-05,-0.0016088266960505636,0.0009790001019317454,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_2,2,-0.2370732727344323,0.033309312703540206,0.23995906272732795,0.0003222618592671346,0.0009539928182999055,-0.00033024863828851216,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_141232,marker_2,3,0.1220933925232214,-0.0612888439055282,-0.13802298623401793,-0.00037712860590701256,0.0006548338778570679,-0.0006487514637568759,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_2,1,-0.021382898641964458,-0.00027847127994987467,0.08764658633245521,-0.00020270512153992989,-0.0008930961161547458,-7.524408076111473e-05,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_2,2,0.05177818923283424,-0.03294371231726327,0.008917516806071023,0.00028560895174386993,0.0003133801963352482,-0.00038526613446433495,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_145501,marker_2,3,-0.03039529059091136,0.03322218359722526,-0.0965641031385398,-8.290383016077762e-05,0.000579715919985702,0.0004605102152289948,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_2,1,0.13509526005850525,0.033023805901699774,-0.025649459608289644,0.0012635350358582956,-0.000991759294655246,0.0009441950176523182,right-invariant board-normalized SE(3) log
E2,ihawk2,5.0,within_pose,20260808_151001,marker_2,2,0.1324376981431315,-0.0887486409797521,-0.1049149655363449,-0.0006451815388802037,-0.00023376507434005663,-0.0007083263296263008,right-invariant board-normalized SE(3) log
