dataset,camera,pose_key,height_mm,run_id,feature,landmark_id,n,mean_u_px,mean_v_px,sigma_u_px,sigma_v_px,cov_uu_px2,cov_uv_px2,cov_vu_px2,cov_vv_px2,source_file
E2,ihawk1,marker_3_BR,10.0,20260808_141232,corner2,3,3,402.924245,261.4157613333333,0.0233309003041096,0.038351301416447846,0.0005443309090003014,0.0007809738100011837,0.0007809738100011837,0.0014708223203352346,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_3_BR,10.0,20260808_141232,corner3,3,3,378.610494,274.81130966666666,0.0178704407332491,0.019001828973365508,0.00031935265200056873,-0.00033475687500018474,-0.00033475687500018474,0.00036106950433303285,E2\E2_dual_camera_height_scan\run_20260808_141232\raw\E2_dual_height_raw_20260808_141232.csv
E2,ihawk1,marker_3_BR,10.0,20260808_145501,marker_center,3,3,381.9091363333334,260.6869673333333,0.008260340933244646,0.020701253520810488,6.823323233343703e-05,-7.355428966656689e-05,-7.355428966656689e-05,0.00042854189733286855,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_3_BR,10.0,20260808_145501,corner0,3,3,357.2585040000001,258.46866866666664,0.006119768704791796,0.002716913199440199,3.745156900014906e-05,-7.704783000015399e-06,-7.704783000015399e-06,7.381617333292378e-06,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_3_BR,10.0,20260808_145501,corner1,3,3,381.720276,246.07791633333332,0.053361100222917186,0.017584041666628004,0.0028474070170002126,0.00029545801700026113,0.00029545801700026113,0.0003091985213337097,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_3_BR,10.0,20260808_145501,corner2,3,3,406.29777999999993,262.38228366666664,0.02551301385567746,0.0824218334322516,0.0006509138759999901,0.001255486850998139,0.001255486850998139,0.006793358626333826,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_3_BR,10.0,20260808_145501,corner3,3,3,382.3599853333333,275.81900033333335,0.0201302098929257,0.01729406861709381,0.00040522535033324386,0.00016894608333312768,0.00016894608333312768,0.00029908480933274896,E2\E2_dual_camera_height_scan\run_20260808_145501\raw\E2_dual_height_raw_20260808_145501.csv
E2,ihawk1,marker_3_BR,10.0,20260808_151001,marker_center,3,3,381.3270186666667,260.81315866666665,0.023364455832166127,0.006873070371620868,0.0005458977963332418,-0.0001562833536664907,-0.0001562833536664907,4.723909633325261e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_3_BR,10.0,20260808_151001,corner0,3,3,356.8635153333333,258.34985366666666,0.014659500685001447,0.0021673729105464645,0.00021490096033355787,3.1772604666809475e-05,3.1772604666809475e-05,4.697505333370653e-06,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_3_BR,10.0,20260808_151001,corner1,3,3,381.48610433333334,246.31612166666665,0.05879072088633393,0.007006000951560259,0.00345634886233482,7.501715866681285e-05,7.501715866681285e-05,4.908404933326325e-05,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_3_BR,10.0,20260808_151001,corner2,3,3,405.6884766666667,262.65192666666667,0.0066258795893994575,0.011181046298695234,4.390228033322033e-05,6.885036383323399e-05,6.885036383323399e-05,0.00012501579633356638,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_3_BR,10.0,20260808_151001,corner3,3,3,381.2699786666667,275.9347333333333,0.038618493242650966,0.021046902012729452,0.0014913880203326784,-0.0007997205438333367,-0.0007997205438333367,0.000442972084333435,E2\E2_dual_camera_height_scan\run_20260808_151001\raw\E2_dual_height_raw_20260808_151001.csv
E2,ihawk1,marker_3_BR,10.0,20260808_162715,marker_center,3,3,384.8463543333333,262.311768,0.0303645216878819,0.006934456647785765,0.0009220041773338503,8.919965199973931e-05,8.919965199973931e-05,4.808668900002019e-05,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_3_BR,10.0,20260808_162715,corner0,3,3,360.2039693333333,259.59765666666664,0.0028079382709188753,0.019908979640688072,7.884517333290884e-06,-5.561058333321023e-05,-5.561058333321023e-05,0.00039636747033333213,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_3_BR,10.0,20260808_162715,corner1,3,3,385.18612666666667,247.83988433333334,0.12682027756764572,0.028676727503909646,0.016083382802334706,0.003635948008167135,0.003635948008167135,0.0008223547003334879,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
E2,ihawk1,marker_3_BR,10.0,20260808_162715,corner2,3,3,409.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,E2\E2_dual_camera_height_scan\run_20260808_162715\raw\E2_dual_height_raw_20260808_162715.csv
