dataset,camera,height_mm,component,n_vectors,covariance_rank,sigma_rho_x_mm,sigma_rho_y_mm,sigma_rho_z_mm,sigma_omega_x_rad,sigma_omega_y_rad,sigma_omega_z_rad,cov_rho_x_mm_rho_x_mm,cov_rho_x_mm_rho_y_mm,cov_rho_x_mm_rho_z_mm,cov_rho_x_mm_omega_x_rad,cov_rho_x_mm_omega_y_rad,cov_rho_x_mm_omega_z_rad,cov_rho_y_mm_rho_x_mm,cov_rho_y_mm_rho_y_mm,cov_rho_y_mm_rho_z_mm,cov_rho_y_mm_omega_x_rad,cov_rho_y_mm_omega_y_rad,cov_rho_y_mm_omega_z_rad,cov_rho_z_mm_rho_x_mm,cov_rho_z_mm_rho_y_mm,cov_rho_z_mm_rho_z_mm,cov_rho_z_mm_omega_x_rad,cov_rho_z_mm_omega_y_rad,cov_rho_z_mm_omega_z_rad,cov_omega_x_rad_rho_x_mm,cov_omega_x_rad_rho_y_mm,cov_omega_x_rad_rho_z_mm,cov_omega_x_rad_omega_x_rad,cov_omega_x_rad_omega_y_rad,cov_omega_x_rad_omega_z_rad,cov_omega_y_rad_rho_x_mm,cov_omega_y_rad_rho_y_mm,cov_omega_y_rad_rho_z_mm,cov_omega_y_rad_omega_x_rad,cov_omega_y_rad_omega_y_rad,cov_omega_y_rad_omega_z_rad,cov_omega_z_rad_rho_x_mm,cov_omega_z_rad_rho_y_mm,cov_omega_z_rad_rho_z_mm,cov_omega_z_rad_omega_x_rad,cov_omega_z_rad_omega_y_rad,cov_omega_z_rad_omega_z_rad,coordinate
E2,ihawk1,10.0,cross_pose,25,6,8.076381127781145,7.628692418462178,2.242915151968641,0.010997586282374941,0.009230483197706162,0.013167965710505346,65.22793212117944,-13.699716822146375,0.3422634620608269,0.009202316062812927,0.06093713021316475,-0.028783138664657804,-13.699716822146375,58.196948015502315,-3.1144145791838707,0.001740740839312662,-0.03846035462586526,0.05653887978800365,0.3422634620608269,-3.1144145791838707,5.030668378930512,-0.013119949420037764,0.005627376607977002,-0.010411605790760552,0.009202316062812927,0.001740740839312662,-0.013119949420037764,0.00012094690403828147,-8.82894149557847e-06,0.00010452610299613433,0.06093713021316475,-0.03846035462586526,0.005627376607977002,-8.82894149557847e-06,8.520182006313575e-05,-6.500295826956378e-05,-0.028783138664657804,0.05653887978800365,-0.010411605790760552,0.00010452610299613433,-6.500295826956378e-05,0.00017339532095304457,right-invariant board-normalized SE(3) log
E2,ihawk1,10.0,total_sum,,6,8.49098678582235,8.245462260923983,2.621337749912955,0.012106066506627275,0.00956765227009549,0.017039075109353607,72.09685659700978,-15.888704423557948,-2.5478028667778445,0.011493287884038014,0.05857938518810141,-0.049503778292989485,-15.888704423557948,67.98764789632163,-3.7164541075465842,0.01452195911235181,-0.0350034868836044,0.07296258836982991,-2.5478028667778445,-3.7164541075465842,6.871411599118712,-0.017478167292884848,0.007173592574369926,-0.005493044616263249,0.011493287884038014,0.01452195911235181,-0.017478167292884848,0.0001465568462628827,-8.207141089951938e-06,0.00011995875860915997,0.05857938518810141,-0.0350034868836044,0.007173592574369926,-8.207141089951938e-06,9.153996996146341e-05,-6.595916697925025e-05,-0.049503778292989485,0.07296258836982991,-0.005493044616263249,0.00011995875860915997,-6.595916697925025e-05,0.00029033008058219363,right-invariant board-normalized SE(3) log
E2,ihawk1,15.0,within_pose,75,6,1.0595044208700208,1.4793231720556133,0.9848492514617755,0.0029919041562575938,0.0023451182831137085,0.0013137260900795082,1.122549617843118,1.5549077671369549,-1.0327541861148049,0.0029243986665330214,-0.00234351236644753,-0.00084336741513613,1.5549077671369549,2.1883970473806817,-1.4277531403758459,0.004213731649503808,-0.0031981885781794204,-0.001194513215611623,-1.0327541861148049,-1.4277531403758459,0.9699280481048196,-0.002617584532167456,0.0022009354303358,0.0007664465102248943,0.0029243986665330214,0.004213731649503808,-0.002617584532167456,8.951490480231465e-06,-5.539857689986144e-06,-2.1400621135167762e-06,-0.00234351236644753,-0.0031981885781794204,0.0022009354303358,-5.539857689986144e-06,5.499579761794189e-06,2.0350468414409573e-06,-0.00084336741513613,-0.001194513215611623,0.0007664465102248943,-2.1400621135167762e-06,2.0350468414409573e-06,1.7258762397555919e-06,right-invariant board-normalized SE(3) log
E2,ihawk1,15.0,between_run,5,4,1.779254994123775,2.9774568062947533,0.8537639202270358,0.0024571964372999675,0.005287057173058229,0.004221821951069674,3.165748334114394,-3.4207373428831627,1.2566621972945728,0.0027374525140979222,0.005015847313923876,-0.0052478740076938105,-3.4207373428831627,8.86524903335095,-1.8585779675941787,-0.00705559561322402,0.004128346743030888,0.00565702468854527,1.2566621972945728,-1.8585779675941787,0.7289128314814364,0.0015058397125283732,0.0005478775452732493,-0.003347397200581234,0.0027374525140979222,-0.00705559561322402,0.0015058397125283732,6.037814331479653e-06,-2.6848516776631216e-06,-4.325356737523323e-06,0.005015847313923876,0.004128346743030888,0.0005478775452732493,-2.6848516776631216e-06,2.7952973551186468e-05,-4.20775635135179e-06,-0.0052478740076938105,0.00565702468854527,-0.003347397200581234,-4.325356737523323e-06,-4.20775635135179e-06,1.782378058653375e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,15.0,cross_pose,25,6,7.851353365466848,6.679883115566524,2.4933256791834753,0.007463881747115981,0.012578783313250033,0.007681994812054107,61.643749669427606,-15.801821598883011,-0.4364863093804033,-0.006004420020188347,0.06354202173421701,-0.041310533423669256,-15.801821598883011,44.620838437630724,4.306696134945515,-0.02545442935225957,-0.001439015203342546,0.012400409549743365,-0.4364863093804033,4.306696134945515,6.216672942475737,-0.0035037017300516386,0.016222169394125366,0.002887760353276681,-0.006004420020188347,-0.02545442935225957,-0.0035037017300516386,5.570953073493111e-05,-1.1457956390410827e-05,1.2654742982797938e-05,0.06354202173421701,-0.001439015203342546,0.016222169394125366,-1.1457956390410827e-05,0.00015822578964169747,-2.9604772230726728e-05,-0.041310533423669256,0.012400409549743365,0.002887760353276681,1.2654742982797938e-05,-2.9604772230726728e-05,5.901304429242622e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,15.0,total_sum,,6,8.119855147808064,7.461533657255883,2.8134522960345345,0.008408259959506618,0.01384479479640916,0.008863560295880858,65.93204762138512,-17.66765117462922,-0.21257829820063529,-0.0003425688395574042,0.06621435668169336,-0.0474017748464992,-17.66765117462922,55.674484518362355,1.0203650269754903,-0.02829629331597978,-0.0005088570384910781,0.016862921022677013,-0.21257829820063529,1.0203650269754903,7.915513822061993,-0.004615446549690721,0.018970982369734414,0.0003068096629203409,-0.0003425688395574042,-0.02829629331597978,-0.004615446549690721,7.069883554664223e-05,-1.9682665758060093e-05,6.189324131757839e-06,0.06621435668169336,-0.0005088570384910781,0.018970982369734414,-1.9682665758060093e-05,0.00019167834295467814,-3.177748174063756e-05,-0.0474017748464992,0.016862921022677013,0.0003068096629203409,6.189324131757839e-06,-3.177748174063756e-05,7.856270111871556e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,20.0,within_pose,75,6,3.110570691097043,2.7065279615579096,3.898577393697653,0.11765233680788201,0.13784111990097442,0.004710836372347953,9.675650024311937,8.101240778081074,11.330756025991349,0.36142564941830857,-0.4221685476623188,-0.00989650777161329,8.101240778081074,7.325293606694814,8.695812485539784,0.2977700491106251,-0.34579735810543005,-0.008789598939942364,11.330756025991349,8.695812485539784,15.198905694650387,0.44504182677549114,-0.5242543633864516,-0.013000565646116154,0.36142564941830857,0.2977700491106251,0.44504182677549114,0.013842072356355307,-0.016212047356398748,-0.00041482508197804443,-0.4221685476623188,-0.34579735810543005,-0.5242543633864516,-0.016212047356398748,0.019000174335554808,0.00048638023862877593,-0.00989650777161329,-0.008789598939942364,-0.013000565646116154,-0.00041482508197804443,0.00048638023862877593,2.2191979327036422e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,20.0,between_run,5,4,1.1998318349325996,2.1109308089385967,2.040168574533411,0.036157066124911146,0.04403690108822696,0.004607741887196292,1.4395964321177288,-1.097684605228008,1.3002184874787794,0.014002548262892739,-0.005971468660368514,-0.003479379886811143,-1.097684605228008,4.4560288801261585,1.4047430151599951,0.02347498750151986,-0.02852102959023094,0.003576701091854183,1.3002184874787794,1.4047430151599951,4.162287812513691,0.06933905352207924,-0.07431388814479993,-0.006271590052031992,0.014002548262892739,0.02347498750151986,0.06933905352207924,0.0013073334307611973,-0.0015400044919373264,-0.00010885770058009768,-0.005971468660368514,-0.02852102959023094,-0.07431388814479993,-0.0015400044919373264,0.0019392486574542848,0.00012201933139301416,-0.003479379886811143,0.003576701091854183,-0.006271590052031992,-0.00010885770058009768,0.00012201933139301416,2.1231285299023254e-05,right-invariant board-normalized SE(3) log
E2,ihawk1,20.0,cross_pose,25,6,6.8501300800520895,7.15773193672339,4.764712416576584,0.07859837607185112,0.08706691437211855,0.012657903156846843,46.92428211363444,-19.024215490727467,-1.7110399502088005,-0.0839184351728018,0.1125711720673141,-0.04975263282506094,-19.024215490727467,51.23312647798997,16.334676456428923,0.18810668876076525,-0.2798658923008663,0.020623785208931784,-1.7110399502088005,16.334676456428923,22.70248441267907,0.3180926978735686,-0.36231935179410346,-0.009258561080831566,-0.0839184351728018,0.18810668876076525,0.3180926978735686,0.006177704721132139,-0.006592908367086512,4.889805233596861e-05,0.1125711720673141,-0.2798658923008663,-0.36231935179410346,-0.006592908367086512,0.007580647578281825,5.617452109162037e-05,-0.04975263282506094,0.020623785208931784,-0.009258561080831566,4.889805233596861e-05,5.617452109162037e-05,0.00016022251232811327,right-invariant board-normalized SE(3) log
E2,ihawk1,20.0,total_sum,,6,7.6183678416091265,7.938164080239898,6.485651695847006,0.14603804472892892,0.1688788636013723,0.014270451182572082,58.03952857006411,-12.0206593178744,10.919934563261329,0.2915097625083995,-0.31556884425537324,-0.06312852048348537,-12.0206593178744,63.01444896481094,26.435231957128703,0.5093517253729103,-0.6541842799965273,0.015410887360843603,10.919934563261329,26.435231957128703,42.063677919843144,0.832473578171139,-0.9608876033253549,-0.02853071677897971,0.2915097625083995,0.5093517253729103,0.832473578171139,0.02132711050824864,-0.024344960215422585,-0.00047478473022217354,-0.31556884425537324,-0.6541842799965273,-0.9608876033253549,-0.024344960215422585,0.028520070571290915,0.0006645740911134105,-0.06312852048348537,0.015410887360843603,-0.02853071677897971,-0.00047478473022217354,0.0006645740911134105,0.00020364577695417295,right-invariant board-normalized SE(3) log
