run_id,camera_id,motion_tier,motion_scenario,translation_mm,rotation_deg,pixel_noise_sigma_px,height_gt_mm,method,n_planned,n_success,success_rate,xy_mean_mm,xy_rmse_mm,xy_median_mm,xy_p95_mm,z_rmse_mm,error_3d_rmse_mm
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,0.0,FrozenExtrinsicPnP,250,250,1.0,14.79661018085527,17.699567892522523,13.106046354772888,32.994901300057535,11.832718142912283,21.290559462626142
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,0.0,FrozenHomography,250,250,1.0,7.917880392708125,9.072767014343118,7.2875507872462375,16.360957028147162,0.0,9.072767014343118
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,0.0,OracleMotionAwarePnP,250,250,1.0,13.400264918202204,16.489193016762652,11.26468705622203,30.783267495819437,11.403376369169324,20.04820388366458
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,0.0,RelocalizedPnP,250,250,1.0,13.551902466543003,16.685771236393254,12.147397720474352,30.787388399002882,11.615225025643012,20.33047992915003
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,10.0,DynamicHomography,250,250,1.0,15.06006268622168,15.21273426857622,15.05562839743709,18.44468435923045,10.0,18.205144435744344
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,10.0,FrozenExtrinsicPnP,250,250,1.0,13.506663038974956,16.48348970444764,10.535784292912638,31.639068420150615,10.631519868642961,19.614653898399055
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,10.0,FrozenHomography,250,250,1.0,14.32296027700957,16.235008897489585,13.459762493470194,29.292565119808756,10.0,19.067656224653465
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,10.0,OracleMotionAwarePnP,250,250,1.0,12.106165666708185,15.280026071908166,10.570515028660129,31.593815165929314,10.015837172942772,18.270090066365178
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,10.0,RelocalizedPnP,250,250,1.0,12.226589911105718,15.37349850489735,10.08554085401158,29.96230815131795,10.131832652447745,18.411911611163227
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,25.0,DynamicHomography,250,250,1.0,39.14943062073586,39.32743667943474,39.211851955458584,45.1805438239323,25.0,46.6009364259448
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,25.0,FrozenExtrinsicPnP,250,250,1.0,13.586415865983918,16.209478016332955,11.651025940277126,30.612828969033707,11.129330715667011,19.66237980867704
20260808_141232,ihawk1,1,S1_small,5.0,0.5,1.0,25.0,FrozenHomography,250,250,1.0,37.462824280883105,38.58507568239436,36.99327989280074,53.523967596082144,25.0,45.976168450797424
