plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm,session_id,executed_at,high_t105_x_mm,high_t105_y_mm,high_t105_z_mm,high_t105_dx_mm,high_t105_dy_mm,high_t105_dz_mm,high_t105_xy_residual_mm,high_t105_3d_residual_mm,hover_t105_x_mm,hover_t105_y_mm,hover_t105_z_mm,hover_t105_dx_mm,hover_t105_dy_mm,hover_t105_dz_mm,hover_t105_xy_residual_mm,hover_t105_3d_residual_mm,measured_pointer_x_mm,measured_pointer_y_mm,e2e_dx_mm,e2e_dy_mm,e2e_xy_error_mm,downstream_dx_mm,downstream_dy_mm,downstream_xy_error_mm,measurement_status,notes
21,R1-T08-Affine,1,6,T08,35,1,Affine,ihawk1,-16.0,-42.0,-19.537479351360844,-41.33693968712085,-3.537479351360844,0.6630603128791535,3.5990844863408995,148.28516561779807,14.712807845223349,-119.19883026090761,-79.19883026090761,-109.19883026090761,20260811_195552,2026-08-11T20:44:19,146.9138796,18.12009878,-79.77660042,-1.3712860177980701,3.4072909347766505,-0.5777701590923812,3.672881274533609,3.7180472312165787,149.5028018,15.41973796,-109.5779283,1.2176361822019146,0.706930114776652,-0.3790980390923835,1.4079730321939354,1.4581163817161766,-21.0,-39.0,-5.0,3.0,5.830951894845301,-1.4625206486391562,2.3369396871208465,2.7568557722406113,MEASURED,
22,R1-T08-Homography,1,6,T08,35,2,Homography,ihawk1,-16.0,-42.0,-15.162532392436894,-41.316650628737726,0.8374676075631058,0.683349371262274,1.0808877633325382,147.98109085263806,10.395835595084604,-119.19255298542285,-79.19255298542285,-109.19255298542285,20260811_195552,2026-08-11T20:45:55,147.7327753,12.72198596,-79.7516748,-0.2483155526380756,2.326150364915396,-0.5591218145771535,2.3393666095501113,2.4052553580470475,148.6196341,10.50450482,-109.8313669,0.6385432473619517,0.10866922491539555,-0.6388139145771561,0.6477240764363013,0.9097415548674522,-17.0,-39.5,-1.0,2.5,2.692582403567252,-1.8374676075631058,1.816650628737726,2.5838937121593952,MEASURED,
23,R1-T08-PnP_IPPE,1,6,T08,35,3,PnP_IPPE,ihawk1,-16.0,-42.0,-15.515487821407191,-41.39008146878177,0.4845121785928086,0.6099185312182271,0.7789433008429748,147.93438429504997,10.744611592939185,-119.19351496136353,-79.19351496136353,-109.19351496136353,20260811_195552,2026-08-11T20:47:54,147.3281257,12.68713963,-79.51773949,-0.6062585950499795,1.942528037060816,-0.32422452863646356,2.0349360331075084,2.0606033591666444,149.2844027,11.0118791,-109.7499961,1.3500184049500206,0.26726750706081503,-0.556481138636471,1.3762200456447002,1.4844705694935294,-17.0,-39.0,-1.0,3.0,3.1622776601683795,-1.4845121785928086,2.390081468781773,2.813585938940626,MEASURED,
24,R1-T08-Oracle,1,6,T08,35,4,Oracle,ihawk1,-16.0,-42.0,-16.0,-42.0,0.0,0.0,0.0,147.365091943,11.226916387,-119.198065949,-79.198065949,-109.198065949,20260811_195552,2026-08-11T20:49:08,147.7126648,12.72025415,-79.29380027,0.34757285699998874,1.4933377630000013,-0.095734321000009,1.5332529358605458,1.5362387918361897,148.4604521,12.55525555,-109.8313669,1.0953601569999876,1.3283391630000008,-0.6333009510000096,1.7217139151155687,1.8344941809774422,-17.5,-40.0,-1.5,2.0,2.5,-1.5,2.0,2.5,MEASURED,
25,R1-T03-Homography,1,7,T03,14,1,Homography,ihawk1,59.0,33.0,59.25820926407876,33.0026309673326,0.2582092640787579,0.0026309673325997096,0.25822266756657697,216.2101101437887,-63.55159927503143,-118.61639151845834,-78.61639151845834,-108.61639151845834,20260811_195552,2026-08-11T20:50:22,213.19215,-62.17927099,-80.99195435,-3.017960143788713,1.3723282850314291,-2.3755628315416573,3.3153232649915894,4.0785618933634815,215.601643,-63.24104274,-110.1271818,-0.6084671437887152,0.31055653503143077,-1.5107902815416594,0.6831380728089493,1.6580605843339535,60.0,31.5,1.0,-1.5,1.8027756377319946,0.7417907359212421,-1.5026309673325997,1.6757545523988537,MEASURED,
26,R1-T03-PnP_IPPE,1,7,T03,14,2,PnP_IPPE,ihawk1,59.0,33.0,59.32733371865129,33.15668077794558,0.327333718651289,0.15668077794558144,0.36289975136904384,216.3578449969769,-63.62087356874922,-118.6153168941449,-78.6153168941449,-108.6153168941449,20260811_195552,2026-08-11T20:52:38,213.0336214,-61.7786054,-80.98612889,-3.324223596976907,1.8422681687492215,-2.3708119958551066,3.8005808145972497,4.479415592236912,215.715553,-64.71456132,-110.1351862,-0.6422919969768941,-1.0936877512507834,-1.51986930585511,1.268342188298001,1.9795692999986276,60.5,32.5,1.5,-0.5,1.5811388300841898,1.172666281348711,-0.6566807779455814,1.3440148256382547,MEASURED,
27,R1-T03-Oracle,1,7,T03,14,3,Oracle,ihawk1,59.0,33.0,59.0,33.0,0.0,0.0,0.0,216.22663421800002,-63.296801738,-118.61677109899999,-78.61677109899999,-108.61677109899999,20260811_195552,2026-08-11T20:55:00,213.25371,-62.90777155,-80.99737466,-2.972924218000003,0.38903018799999955,-2.380603561000015,2.998269983364781,3.8284326045775177,216.0110804,-63.72116902,-110.1351862,-0.21555381800001783,-0.4243672819999986,-1.5184151010000164,0.4759737792005471,1.5912685057624125,59.5,32.5,0.5,-0.5,0.7071067811865476,0.5,-0.5,0.7071067811865476,MEASURED,
28,R1-T03-Affine,1,7,T03,14,4,Affine,ihawk1,59.0,33.0,59.918111341345025,33.94955653783778,0.9181113413450248,0.949556537837779,1.320827791067719,217.10080350945157,-64.20930069957019,-118.60945566098175,-78.60945566098175,-108.60945566098175,20260811_195552,2026-08-11T20:56:20,213.5310053,-63.34578826,-81.58892038,-3.5697982094515623,0.8635124395701936,-2.979464719018253,3.6727527808846663,4.729304705912971,216.9923094,-64.37261355,-109.4271621,-0.10849410945155569,-0.16331285042980426,-0.8177064390182522,0.1960664655192054,0.840883986833561,61.0,33.0,2.0,0.0,2.0,1.0818886586549752,-0.949556537837779,1.4394932053596956,MEASURED,
29,R1-T02-PnP_IPPE,1,8,T02,11,1,PnP_IPPE,ihawk1,-16.0,33.0,-13.933017352902368,35.27259327792069,2.066982647097632,2.2725932779206914,3.0719859163500485,223.88635915551606,8.651640583067298,-118.70485088164905,-78.70485088164905,-108.70485088164905,20260811_195552,2026-08-11T20:58:19,223.4649772,8.917294255,-80.32925572,-0.4213819555160683,0.26565367193270184,-1.624404838350955,0.4981311331826925,1.6990661272310343,223.8826019,8.933959427,-109.7948665,-0.003757255516063651,0.28231884393270157,-1.0900156183509466,0.2823438446442743,1.125989384877809,-14.5,35.5,1.5,2.5,2.9154759474226504,-0.5669826470976318,0.22740672207930857,0.6108871739991711,MEASURED,
30,R1-T02-Oracle,1,8,T02,11,2,Oracle,ihawk1,-16.0,33.0,-16.0,33.0,0.0,0.0,0.0,221.78453194300002,10.706922561999999,-118.722175874,-78.722175874,-108.722175874,20260811_195552,2026-08-11T20:59:43,222.1096121,8.521975069,-80.12487728,0.3250801569999737,-2.1849474929999992,-1.4027014060000056,2.208998111280793,2.6167238849440158,221.2401113,12.91099367,-109.9083666,-0.5444206430000236,2.204071108000001,-1.1861907259999924,2.2703134773957783,2.561517465115805,-16.5,34.0,-0.5,1.0,1.118033988749895,-0.5,1.0,1.118033988749895,MEASURED,
31,R1-T02-Affine,1,8,T02,11,3,Affine,ihawk1,-16.0,33.0,-20.089730283291374,32.93298609373822,-4.089730283291374,-0.06701390626177783,4.0902792879830345,222.02110747981538,14.742790817513345,-118.72834878537597,-78.72834878537597,-108.72834878537597,20260811_195552,2026-08-11T21:01:01,222.6723165,14.36603498,-79.83642025,0.6512090201846092,-0.37675583751334507,-1.1080714646240324,0.7523417767678336,1.3393433166235718,220.6486517,16.95680351,-110.0108984,-1.3724557798153967,2.214012692486655,-1.2825496146240312,2.6048967484414227,2.903518655702585,-20.0,32.5,-4.0,-0.5,4.031128874149275,0.08973028329137378,-0.43298609373822217,0.4421860254578775,MEASURED,
32,R1-T02-Homography,1,8,T02,11,4,Homography,ihawk1,-16.0,33.0,-13.467255259699206,35.3629263876456,2.532744740300794,2.362926387645601,3.4638442564516705,223.94147757366247,8.191439220479994,-118.70362311926239,-78.70362311926239,-108.70362311926239,20260811_195552,2026-08-11T21:02:15,224.6449971,8.619253559,-80.23989617,0.7035195263375442,0.4278143385200064,-1.5362730507376057,0.8233861986829225,1.7430145491659395,223.7036566,8.583135895,-109.1013678,-0.23782097366247967,0.39169667452000567,-0.3977446807376168,0.45824131234950993,0.6067832655890156,-13.0,35.5,3.0,2.5,3.905124837953327,0.4672552596992059,0.1370736123543992,0.48694625259925395,MEASURED,
33,R1-T01-Oracle,1,9,T01,9,1,Oracle,ihawk1,-66.0,33.0,-66.0,33.0,0.0,0.0,0.0,225.489797093,60.042738762,-118.79244572399999,-78.79244572399999,-108.79244572399999,20260811_195552,2026-08-11T21:03:39,220.5166073,58.84560978,-82.36050303,-4.973189792999989,-1.1971289820000024,-3.5680573060000143,5.1152453036725065,6.236727303293267,224.9865742,60.0384357,-109.3337623,-0.503222892999986,-0.004303061999998192,-0.541316576000014,0.5032412904182756,0.7391044796469781,-64.5,33.5,1.5,0.5,1.5811388300841898,1.5,0.5,1.5811388300841898,MEASURED,
34,R1-T01-Affine,1,9,T01,9,2,Affine,ihawk1,-66.0,33.0,-67.1650275970469,30.257862630527416,-1.165027597046901,-2.7421373694725837,2.9793634647251244,222.85522078355956,61.21130243657569,-118.81148246306871,-78.81148246306871,-108.81148246306871,20260811_195552,2026-08-11T21:05:10,219.2677648,60.31760442,-81.45180727,-3.5874559835595505,-0.8936980165756907,-2.6403248069312895,3.6970983999358937,4.543110351389816,221.1836695,60.84464399,-110.0758729,-1.6715512835595518,-0.36665844657569124,-1.2643904369312793,1.711292526137739,2.1277230287370945,-65.5,30.0,0.5,-3.0,3.0413812651491097,1.665027597046901,-0.2578626305274163,1.6848768605302573,MEASURED,
35,R1-T01-Homography,1,9,T01,9,3,Homography,ihawk1,-66.0,33.0,-63.80284213657175,34.8781474443333,2.1971578634282523,1.878147444333301,2.890491394119746,227.19058512438804,57.86174556410381,-118.77744062188827,-78.77744062188827,-108.77744062188827,20260811_195552,2026-08-11T21:06:30,222.6156847,57.58042686,-81.78744566,-4.574900424388034,-0.28131870410381055,-3.0100050381117285,4.583541655351728,5.483519347627256,226.3360901,58.54272442,-109.5574593,-0.8544950243880294,0.6809788558961856,-0.7800186781117304,1.0926545423332925,1.3425062707804192,-63.0,35.0,3.0,2.0,3.605551275463989,0.8028421365717477,0.12185255566669895,0.8120366627053207,MEASURED,
36,R1-T01-PnP_IPPE,1,9,T01,9,4,PnP_IPPE,ihawk1,-66.0,33.0,-64.0650643250732,34.601060830519316,1.9349356749268054,1.601060830519316,2.5114481577623007,226.9350754373665,58.122405589055504,-118.77956731842438,-78.77956731842438,-108.77956731842438,20260811_195552,2026-08-11T21:08:06,223.0507688,55.87130904,-81.78744566,-3.8843066373665067,-2.2510965490555037,-3.007878341575619,4.489462520865843,5.403943545595086,225.4909379,57.58662531,-109.5398298,-1.4441375373664869,-0.5357802790555013,-0.7602624815756229,1.5403226072014045,1.7177289585808515,-62.0,34.0,4.0,1.0,4.123105625617661,2.0650643250731946,-0.6010608305193159,2.1507591191657376,MEASURED,
37,R2-T02-Affine,2,1,T02,11,1,Affine,ihawk1,-16.0,33.0,-20.089730283291374,32.93298609373822,-4.089730283291374,-0.06701390626177783,4.0902792879830345,222.02110747981538,14.742790817513345,-118.72834878537597,-78.72834878537597,-108.72834878537597,20260811_195552,2026-08-11T21:09:33,222.4792563,17.0974851,-79.83642025,0.45814882018461844,2.354694282486655,-1.1080714646240324,2.398850871857586,2.642405698625014,220.8617194,13.90904718,-110.0108984,-1.1593880798153862,-0.8337436375133453,-1.2825496146240312,1.428043827307829,1.9194381174406858,-19.0,32.5,-3.0,-0.5,3.0413812651491097,1.0897302832913738,-0.43298609373822217,1.172599269867154,MEASURED,
