plan_index,trial_uid,repeat_id,target_order_in_repeat,target_id,charuco_id,method_order_in_block,method,camera,paper_gt_x_mm,paper_gt_y_mm,paper_pred_x_mm,paper_pred_y_mm,vision_dx_mm,vision_dy_mm,vision_xy_error_mm,robot_surface_x_mm,robot_surface_y_mm,robot_surface_z_mm,robot_high_z_mm,robot_measure_hover_z_mm
84,R3-T06-PnP_IPPE,3,3,T06,22,4,PnP_IPPE,ihawk1,59.0,8.0,59.46281021907498,8.363551573047914,0.46281021907498143,0.3635515730479142,0.5885261635185348,191.74659491951522,-63.58265345538269,-118.77244388410168,-78.77244388410168,-108.77244388410168
85,R3-T08-Affine,3,4,T08,35,1,Affine,ihawk1,-16.0,-42.0,-19.537479351360844,-41.33693968712085,-3.537479351360844,0.6630603128791535,3.5990844863408995,148.28516561779807,14.712807845223349,-119.19883026090761,-79.19883026090761,-109.19883026090761
86,R3-T08-Homography,3,4,T08,35,2,Homography,ihawk1,-16.0,-42.0,-15.162532392436894,-41.316650628737726,0.8374676075631058,0.683349371262274,1.0808877633325382,147.98109085263806,10.395835595084604,-119.19255298542285,-79.19255298542285,-109.19255298542285
87,R3-T08-PnP_IPPE,3,4,T08,35,3,PnP_IPPE,ihawk1,-16.0,-42.0,-15.515487821407191,-41.39008146878177,0.4845121785928086,0.6099185312182271,0.7789433008429748,147.93438429504997,10.744611592939185,-119.19351496136353,-79.19351496136353,-109.19351496136353
88,R3-T08-Oracle,3,4,T08,35,4,Oracle,ihawk1,-16.0,-42.0,-16.0,-42.0,0.0,0.0,0.0,147.365091943,11.226916387,-119.198065949,-79.198065949,-109.198065949
89,R3-T04-Homography,3,5,T04,17,1,Homography,ihawk1,-66.0,8.0,-65.92190157349302,7.978506401368168,0.07809842650698329,-0.021493598631831645,0.08100209259650608,200.65620236445633,60.139158065201045,-118.95110237090921,-78.95110237090921,-108.95110237090921
90,R3-T04-PnP_IPPE,3,5,T04,17,2,PnP_IPPE,ihawk1,-66.0,8.0,-66.03055790102417,7.736584544640152,-0.030557901024167222,-0.2634154553598478,0.26518198927800274,200.42420518651144,60.248048342237,-118.95279011899319,-78.95279011899319,-108.95279011899319
91,R3-T04-Oracle,3,5,T04,17,3,Oracle,ihawk1,-66.0,8.0,-66.0,8.0,0.0,0.0,0.0,200.683317093,60.21607003700001,-118.951075749,-78.951075749,-108.951075749
92,R3-T04-Affine,3,5,T04,17,4,Affine,ihawk1,-66.0,8.0,-67.0718656851742,4.5990132202245935,-1.0718656851742026,-3.4009867797754065,3.5658949961070157,197.38808760306463,61.29727730068869,-118.97416209053436,-78.97416209053436,-108.97416209053436
93,R3-T01-PnP_IPPE,3,6,T01,9,1,PnP_IPPE,ihawk1,-66.0,33.0,-64.0650643250732,34.601060830519316,1.9349356749268054,1.601060830519316,2.5114481577623007,226.9350754373665,58.122405589055504,-118.77956731842438,-78.77956731842438,-108.77956731842438
94,R3-T01-Oracle,3,6,T01,9,2,Oracle,ihawk1,-66.0,33.0,-66.0,33.0,0.0,0.0,0.0,225.489797093,60.042738762,-118.79244572399999,-78.79244572399999,-108.79244572399999
95,R3-T01-Affine,3,6,T01,9,3,Affine,ihawk1,-66.0,33.0,-67.1650275970469,30.257862630527416,-1.165027597046901,-2.7421373694725837,2.9793634647251244,222.85522078355956,61.21130243657569,-118.81148246306871,-78.81148246306871,-108.81148246306871
96,R3-T01-Homography,3,6,T01,9,4,Homography,ihawk1,-66.0,33.0,-63.80284213657175,34.8781474443333,2.1971578634282523,1.878147444333301,2.890491394119746,227.19058512438804,57.86174556410381,-118.77744062188827,-78.77744062188827,-108.77744062188827
97,R3-T03-Oracle,3,7,T03,14,1,Oracle,ihawk1,59.0,33.0,59.0,33.0,0.0,0.0,0.0,216.22663421800002,-63.296801738,-118.61677109899999,-78.61677109899999,-108.61677109899999
98,R3-T03-Affine,3,7,T03,14,2,Affine,ihawk1,59.0,33.0,59.918111341345025,33.94955653783778,0.9181113413450248,0.949556537837779,1.320827791067719,217.10080350945157,-64.20930069957019,-118.60945566098175,-78.60945566098175,-108.60945566098175
99,R3-T03-Homography,3,7,T03,14,3,Homography,ihawk1,59.0,33.0,59.25820926407876,33.0026309673326,0.2582092640787579,0.0026309673325997096,0.25822266756657697,216.2101101437887,-63.55159927503143,-118.61639151845834,-78.61639151845834,-108.61639151845834
100,R3-T03-PnP_IPPE,3,7,T03,14,4,PnP_IPPE,ihawk1,59.0,33.0,59.32733371865129,33.15668077794558,0.327333718651289,0.15668077794558144,0.36289975136904384,216.3578449969769,-63.62087356874922,-118.6153168941449,-78.6153168941449,-108.6153168941449
101,R3-T07-Affine,3,8,T07,33,1,Affine,ihawk1,-66.0,-42.0,-64.2492721010783,-40.15962987976651,1.7507278989216957,1.8403701202334872,2.5400807773594516,152.76674305478664,58.822501042275256,-119.25419781293576,-79.25419781293576,-109.25419781293576
102,R3-T07-Homography,3,8,T07,33,2,Homography,ihawk1,-66.0,-42.0,-66.64258556560806,-42.593388241135685,-0.6425855656080586,-0.5933882411356848,0.874657540895824,150.5291811496041,61.20089636376849,-119.27300405448719,-79.27300405448719,-109.27300405448719
103,R3-T07-PnP_IPPE,3,8,T07,33,3,PnP_IPPE,ihawk1,-66.0,-42.0,-66.48881599015226,-42.479918344927626,-0.4888159901522613,-0.47991834492762564,0.6850275104159008,150.63037755705827,61.04838269826034,-119.27206795788825,-79.27206795788825,-109.27206795788825
104,R3-T07-Oracle,3,8,T07,33,4,Oracle,ihawk1,-66.0,-42.0,-66.0,-42.0,0.0,0.0,0.0,151.070357093,60.562732587,-119.268335799,-79.268335799,-109.268335799
