run_id,height_gt_mm,model,source,n_expected_markers,n_accepted_markers,coverage,complete_five_marker_metric,xy_rmse_mm,xy_mean_mm,xy_p95_mm,inter_camera_disagreement_mean_mm
20260808_131913,15.0,PnP,LOOWeightedGated,5,5,1.0,1,5.71255041466578,5.438268889032034,7.340347203296423,6.697683378791432
20260808_131913,20.0,Affine,ihawk1,5,5,1.0,1,27.90832779757933,25.587613047545023,35.64867211819403,23.175448501958886
20260808_131913,20.0,Affine,ihawk2,5,5,1.0,1,27.46024181237039,27.253321428217923,30.188963794535354,23.175448501958886
20260808_131913,20.0,Affine,EqualFusion,5,5,1.0,1,24.64566838486,23.669903840343004,31.529520736897513,23.175448501958886
20260808_131913,20.0,Affine,LOOWeightedFusion,5,5,1.0,1,24.699131711131674,23.559561836186738,31.806870753890248,23.175448501958886
20260808_131913,20.0,Affine,LOOWeightedGated,5,2,0.4,0,29.865393716728747,29.73197839028709,32.269787349276136,23.175448501958886
20260808_131913,20.0,Homography,ihawk1,5,5,1.0,1,28.929948904743043,28.32535575416702,35.77472883841205,23.820134369368112
20260808_131913,20.0,Homography,ihawk2,5,5,1.0,1,26.52488664685547,26.19060447526549,31.572679983618325,23.820134369368112
20260808_131913,20.0,Homography,EqualFusion,5,5,1.0,1,25.067513426063513,24.530803734011947,31.04928731175759,23.820134369368112
20260808_131913,20.0,Homography,LOOWeightedFusion,5,5,1.0,1,25.189601243121597,24.77145631188747,30.518051835133072,23.820134369368112
20260808_131913,20.0,Homography,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,23.820134369368112
20260808_131913,20.0,PnP,ihawk1,5,5,1.0,1,8.99704430420057,7.8628315280850645,13.655637192960661,6.053320571084848
20260808_131913,20.0,PnP,ihawk2,5,5,1.0,1,7.126688901776607,6.786240709194502,9.692890033072503,6.053320571084848
20260808_131913,20.0,PnP,EqualFusion,5,5,1.0,1,7.297533298323362,6.774040414917347,9.890200857898964,6.053320571084848
20260808_131913,20.0,PnP,LOOWeightedFusion,5,5,1.0,1,6.991191744012912,6.627140679395647,9.433180055348876,6.053320571084848
20260808_131913,20.0,PnP,LOOWeightedGated,5,5,1.0,1,6.991191744012912,6.627140679395647,9.433180055348876,6.053320571084848
20260808_131913,25.0,Affine,ihawk1,5,5,1.0,1,34.088664687889874,32.20972318816824,41.64555884407027,28.842694796947534
20260808_131913,25.0,Affine,ihawk2,5,5,1.0,1,32.42088799714444,32.22872987302983,35.4411031401582,28.842694796947534
20260808_131913,25.0,Affine,EqualFusion,5,5,1.0,1,29.540682312029734,28.66157145169775,36.36458444490337,28.842694796947534
20260808_131913,25.0,Affine,LOOWeightedFusion,5,5,1.0,1,29.666284927867,28.644047777041898,36.67988858304613,28.842694796947534
20260808_131913,25.0,Affine,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,28.842694796947534
20260808_131913,25.0,Homography,ihawk1,5,5,1.0,1,36.76737752923917,36.0975502022027,45.17095085414279,30.553271067182116
20260808_131913,25.0,Homography,ihawk2,5,5,1.0,1,32.88004190306237,32.522938043910926,38.696727312091014,30.553271067182116
20260808_131913,25.0,Homography,EqualFusion,5,5,1.0,1,31.353439100372544,30.76007087427572,38.44252271131128,30.553271067182116
20260808_131913,25.0,Homography,LOOWeightedFusion,5,5,1.0,1,31.289856291569432,30.839696381326604,37.74222687018627,30.553271067182116
20260808_131913,25.0,Homography,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,30.553271067182116
20260808_131913,25.0,PnP,ihawk1,5,5,1.0,1,9.079101328998155,7.481536655272518,15.088365877702556,6.854923803159638
20260808_131913,25.0,PnP,ihawk2,5,5,1.0,1,7.0647610593738674,6.916971329289216,8.491777704014345,6.854923803159638
20260808_131913,25.0,PnP,EqualFusion,5,5,1.0,1,6.931432406331773,6.51842681115173,9.71521675554855,6.854923803159638
20260808_131913,25.0,PnP,LOOWeightedFusion,5,5,1.0,1,6.747827869210114,6.593460702806951,8.180400490334371,6.854923803159638
20260808_131913,25.0,PnP,LOOWeightedGated,5,4,0.8,0,6.311268539885948,6.175163980177421,7.618031137761602,6.854923803159638
20260808_131913,30.0,Affine,ihawk1,5,5,1.0,1,41.32215487048855,39.74423096667867,49.672767311550125,35.08676554920994
20260808_131913,30.0,Affine,ihawk2,5,5,1.0,1,37.07457768484196,36.904338915358515,40.401398307726616,35.08676554920994
20260808_131913,30.0,Affine,EqualFusion,5,5,1.0,1,34.6978919914198,33.78779388508157,40.97104079998145,35.08676554920994
20260808_131913,30.0,Affine,LOOWeightedFusion,5,5,1.0,1,34.97046717665868,33.934228109207105,41.39857671651644,35.08676554920994
20260808_131913,30.0,Affine,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,35.08676554920994
20260808_131913,30.0,Homography,ihawk1,5,5,1.0,1,45.630073018597436,44.930946503345595,55.396435361488265,38.06899475118387
20260808_131913,30.0,Homography,ihawk2,5,5,1.0,1,38.831239286885044,38.4531501143578,44.93011608047724,38.06899475118387
20260808_131913,30.0,Homography,EqualFusion,5,5,1.0,1,37.84960354415064,37.24548679994966,45.76293988933526,38.06899475118387
20260808_131913,30.0,Homography,LOOWeightedFusion,5,5,1.0,1,37.20444507826665,36.749381485404044,44.26141182703637,38.06899475118387
20260808_131913,30.0,Homography,LOOWeightedGated,5,0,0.0,0,nan,nan,nan,38.06899475118387
20260808_131913,30.0,PnP,ihawk1,5,5,1.0,1,9.997054236977622,8.747754182908128,15.427512974342322,8.805225487921089
20260808_131913,30.0,PnP,ihawk2,5,5,1.0,1,5.945105196126261,5.873608013228435,7.020000037708576,8.805225487921089
20260808_131913,30.0,PnP,EqualFusion,5,5,1.0,1,6.555949671552037,6.121091595530065,9.505766612546592,8.805225487921089
20260808_131913,30.0,PnP,LOOWeightedFusion,5,5,1.0,1,5.6967804236841655,5.60574545746465,6.8842340786989835,8.805225487921089
