height_gt_mm,model,fusion_source,best_single_camera,best_single_xy_rmse_mean_mm,fusion_xy_rmse_mean_mm,fusion_minus_best_single_mm,relative_change_vs_best_single_percent,mean_marker_coverage
25.0,Affine,EqualFusion,ihawk2,30.829168357712746,29.65269523667058,-1.1764731210421644,-3.816103981111245,1.0
25.0,Affine,LOOWeightedFusion,ihawk2,30.829168357712746,29.965394566551726,-0.8637737911610195,-2.8018069807741774,1.0
25.0,Affine,LOOWeightedGated,ihawk2,30.829168357712746,36.26156101154433,5.4323926538315845,17.620951012363346,0.08
25.0,Homography,EqualFusion,ihawk2,31.00511010579775,31.349299582843695,0.34418947704594416,1.1101056434616015,1.0
25.0,Homography,LOOWeightedFusion,ihawk2,31.00511010579775,30.337184426506077,-0.6679256792916739,-2.1542438553275005,1.0
25.0,Homography,LOOWeightedGated,ihawk2,31.00511010579775,nan,nan,nan,0.0
25.0,PnP,EqualFusion,ihawk2,4.7862217103888725,6.056980070114184,1.2707583597253116,26.550344647993015,1.0
25.0,PnP,LOOWeightedFusion,ihawk2,4.7862217103888725,4.896989979549238,0.1107682691603653,2.31431546348833,1.0
25.0,PnP,LOOWeightedGated,ihawk2,4.7862217103888725,4.730608008123687,-0.055613702265185694,-1.1619541598850667,0.9199999999999999
30.0,Affine,EqualFusion,ihawk2,35.472053490925646,34.65056611735517,-0.8214873735704771,-2.315872053419821,1.0
30.0,Affine,LOOWeightedFusion,ihawk2,35.472053490925646,35.09137899363169,-0.38067449729395264,-1.073167352409794,1.0
30.0,Affine,LOOWeightedGated,ihawk2,35.472053490925646,nan,nan,nan,0.0
30.0,Homography,EqualFusion,ihawk2,37.012030449244506,37.74167151503059,0.7296410657860832,1.9713618975501972,1.0
30.0,Homography,LOOWeightedFusion,ihawk2,37.012030449244506,36.28712270892285,-0.7249077403216546,-1.9585732842075179,1.0
30.0,Homography,LOOWeightedGated,ihawk2,37.012030449244506,nan,nan,nan,0.0
30.0,PnP,EqualFusion,ihawk2,4.585401048957006,6.431389985320432,1.845988936363426,40.257960354052656,1.0
30.0,PnP,LOOWeightedFusion,ihawk2,4.585401048957006,4.740191012365719,0.15478996340871376,3.3757126531805164,1.0
30.0,PnP,LOOWeightedGated,ihawk2,4.585401048957006,4.006382492328189,-0.5790185566288164,-12.627435429241677,0.76
35.0,Affine,EqualFusion,ihawk2,40.435014682137954,39.44649949988589,-0.9885151822520655,-2.444700935619393,1.0
35.0,Affine,LOOWeightedFusion,ihawk2,40.435014682137954,39.95270182218726,-0.48231285995069584,-1.1928099043420308,1.0
35.0,Affine,LOOWeightedGated,ihawk2,40.435014682137954,nan,nan,nan,0.0
35.0,Homography,EqualFusion,ihawk2,43.39649207491689,43.92645805099504,0.5299659760781452,1.2212184689104508,1.0
