run_id,height_gt_mm,estimate_source,estimate_xy_rmse_mm,stereo_xy_rmse_mm,estimate_minus_stereo_xy_mm,estimate_z_rmse_mm,stereo_z_rmse_mm,estimate_minus_stereo_z_mm,estimate_3d_rmse_mm,stereo_3d_rmse_mm,estimate_minus_stereo_3d_mm,stereo_lower_3d_error
20260808_145501,5.0,EqualXYZ,5.117298316234187,0.7993013034629125,4.317997012771275,3.5337742831845356,0.5785437928413197,2.955230490343216,6.218866676640498,0.9867094273152206,5.232157249325277,1
20260808_145501,5.0,LOOWeightedXYZ,3.892919615946758,0.7993013034629125,3.0936183124838457,3.1391346417904797,0.5785437928413197,2.5605908489491602,5.000898862755784,0.9867094273152206,4.014189435440564,1
20260808_145501,10.0,ihawk1,4.469180010630344,1.9211228280567365,2.548057182573608,3.9790208221536085,1.3899688774291414,2.589051944724467,5.98382625671483,2.371228879864266,3.6125973768505646,1
20260808_145501,10.0,ihawk2,1.8997023197142415,1.9211228280567365,-0.02142050834249498,3.1717730244883766,1.3899688774291414,1.7818041470592352,3.69716283417431,2.371228879864266,1.3259339543100443,1
20260808_145501,10.0,EqualXYZ,2.57982730338299,1.9211228280567365,0.6587044753262536,3.4801036270477206,1.3899688774291414,2.090134749618579,4.332046879971528,2.371228879864266,1.960818000107262,1
20260808_145501,10.0,LOOWeightedXYZ,1.885297092748277,1.9211228280567365,-0.03582573530845945,3.261963109009189,1.3899688774291414,1.8719942315800475,3.7675918638384913,2.371228879864266,1.3963629839742255,1
20260808_145501,15.0,ihawk1,9.205902182434892,1.3753781970345211,7.8305239854003705,5.633753161110716,1.331029453129225,4.3027237079814915,10.792951851689349,1.91397612053427,8.878975731155078,1
20260808_145501,15.0,ihawk2,3.1167999327588984,1.3753781970345211,1.7414217357243773,3.8682051085515474,1.331029453129225,2.537175655422322,4.967640544833147,1.91397612053427,3.053664424298877,1
20260808_145501,15.0,EqualXYZ,5.784543432464117,1.3753781970345211,4.409165235429596,4.666653646684871,1.331029453129225,3.3356241935556463,7.432267418505671,1.91397612053427,5.518291297971402,1
20260808_145501,15.0,LOOWeightedXYZ,3.932946802995434,1.3753781970345211,2.557568605960913,4.144126027495669,1.331029453129225,2.813096574366444,5.713304743050124,1.91397612053427,3.7993286225158536,1
20260808_145501,20.0,ihawk1,9.862427541787948,0.7616730363444028,9.100754505443545,5.820283696579009,1.2038730383086345,4.616410658270374,11.45177625199169,1.4245898029469972,10.027186449044693,1
20260808_145501,20.0,ihawk2,3.06068711223995,0.7616730363444028,2.2990140758955473,3.162223206729523,1.2038730383086345,1.9583501684208884,4.400847782894845,1.4245898029469972,2.9762579799478477,1
20260808_145501,20.0,EqualXYZ,5.940506449506793,0.7616730363444028,5.17883341316239,4.281294676321043,1.2038730383086345,3.0774216380124084,7.322506468561616,1.4245898029469972,5.897916665614619,1
20260808_145501,20.0,LOOWeightedXYZ,3.865689836420643,0.7616730363444028,3.1040168000762405,3.507922108302824,1.2038730383086345,2.304049069994189,5.220064695894639,1.4245898029469972,3.7954748929476416,1
20260808_145501,25.0,ihawk1,10.804002811335078,2.066341435629891,8.737661375705187,5.908420501852816,1.559003743224937,4.3494167586278785,12.314053336495297,2.588485966736224,9.725567369759073,1
20260808_145501,25.0,ihawk2,5.210851663368924,2.066341435629891,3.1445102277390333,3.9421397350775793,1.559003743224937,2.383135991852642,6.534021789718198,2.588485966736224,3.9455358229819737,1
20260808_145501,25.0,EqualXYZ,7.309344638770282,2.066341435629891,5.2430032031403915,4.64983750426618,1.559003743224937,3.0908337610412424,8.662996471452601,2.588485966736224,6.074510504716377,1
20260808_145501,25.0,LOOWeightedXYZ,5.722567749468345,2.066341435629891,3.656226313838454,4.122549822567899,1.559003743224937,2.563546079342962,7.0528858410447715,2.588485966736224,4.464399874308548,1
20260808_145501,30.0,ihawk1,12.388014030236082,1.8443710472645702,10.543642982971512,7.698129141780539,1.2079539617383526,6.490175180042186,14.585063726184291,2.2047352071546342,12.380328519029657,1
20260808_145501,30.0,ihawk2,2.5648334836018396,1.8443710472645702,0.7204624363372694,3.464403043544313,1.2079539617383526,2.25644908180596,4.310505683411662,2.2047352071546342,2.105770476257028,1
20260808_145501,30.0,EqualXYZ,7.021426366507348,1.8443710472645702,5.177055319242777,5.376961271222473,1.2079539617383526,4.16900730948412,8.843762815256353,2.2047352071546342,6.639027608101719,1
20260808_145501,30.0,LOOWeightedXYZ,3.940895805657765,1.8443710472645702,2.096524758393195,4.101865564548173,1.2079539617383526,2.89391160280982,5.688230028811868,2.2047352071546342,3.483494821657234,1
20260808_145501,35.0,ihawk1,7.9803081302709105,1.8780309078015027,6.102277222469407,4.799850766853793,2.2650826130500423,2.5347681538037508,9.312565985706353,2.942379875984633,6.37018610972172,1
20260808_145501,35.0,ihawk2,3.284095107432369,1.8780309078015027,1.4060641996308663,3.831363644628218,2.2650826130500423,1.5662810315781757,5.046248909045217,2.942379875984633,2.103869033060584,1
20260808_145501,35.0,EqualXYZ,4.3891617223431725,1.8780309078015027,2.5111308145416698,3.8999587105681988,2.2650826130500423,1.6348760975181564,5.871492022392541,2.942379875984633,2.929112146407908,1
20260808_145501,35.0,LOOWeightedXYZ,3.1254439178118485,1.8780309078015027,1.2474130100103458,3.744535096703013,2.2650826130500423,1.4794524836529708,4.877493492955959,2.942379875984633,1.935113616971326,1
20260808_145501,40.0,ihawk1,9.706351177492648,1.8956889002626083,7.81066227723004,6.441008559150801,1.1831918572455697,5.257816701905232,11.649027617782817,2.234631821493437,9.41439579628938,1
20260808_145501,40.0,ihawk2,3.258457290632158,1.8956889002626083,1.3627683903695496,3.3839271521667196,1.1831918572455697,2.2007352949211496,4.697712942065003,2.234631821493437,2.463081120571566,1
20260808_145501,40.0,EqualXYZ,5.6511000369801,1.8956889002626083,3.755411136717492,4.8023645717831585,1.1831918572455697,3.619172714537589,7.4160391792569795,2.234631821493437,5.181407357763542,1
20260808_145501,40.0,LOOWeightedXYZ,3.724561099404436,1.8956889002626083,1.8288721991418275,3.879095663189294,1.1831918572455697,2.6959038059437246,5.377707555024797,2.234631821493437,3.1430757335313597,1
20260808_145501,45.0,ihawk1,10.215372825551956,1.8933024419970736,8.322070383554882,6.0202135321213275,1.4586666103566408,4.561546921764687,11.857352695157639,2.390042346286236,9.467310348871402,1
20260808_145501,45.0,ihawk2,1.7607642244175794,1.8933024419970736,-0.13253821757949424,3.1627623999052696,1.4586666103566408,1.7040957895486288,3.6198558883253047,2.390042346286236,1.2298135420390688,1
20260808_145501,45.0,EqualXYZ,5.792479310041712,1.8933024419970736,3.8991768680446377,4.4865971256112935,1.4586666103566408,3.0279305152546527,7.32682539199651,2.390042346286236,4.936783045710275,1
20260808_145501,45.0,LOOWeightedXYZ,3.1443626466165298,1.8933024419970736,1.251060204619456,3.6240919556212012,1.4586666103566408,2.1654253452645604,4.798026568938068,2.390042346286236,2.4079842226518324,1
20260808_145501,50.0,ihawk1,10.662368205660973,1.4096093128352385,9.252758892825735,7.713571668004508,2.1482128285172677,5.56535883948724,13.15998797987794,2.569400080064993,10.590587899812947,1
20260808_145501,50.0,ihawk2,3.2269212009439383,1.4096093128352385,1.8173118881086998,4.348150020015805,2.1482128285172677,2.1999371914985377,5.414741825208744,2.569400080064993,2.845341745143751,1
20260808_145501,50.0,EqualXYZ,6.23725981381058,1.4096093128352385,4.827650500975341,5.458975318672836,2.1482128285172677,3.3107624901555686,8.288776840695832,2.569400080064993,5.719376760630839,1
