height_gt_mm,model,source,n_independent_rebuilds,n_complete_rebuilds,mean_marker_coverage,xy_rmse_mean_mm,xy_rmse_sd_mm,xy_rmse_p95_across_rebuilds_mm,inter_camera_disagreement_mean_mm,conditional_error_warning
20.0,Affine,ihawk1,5,5,1.0,29.40036206480075,1.7532959802785866,31.64018828963772,23.59195552572765,0
20.0,Affine,ihawk2,5,5,1.0,25.95540185995744,1.3429912400736417,27.330654204589475,23.59195552572765,0
20.0,Affine,EqualFusion,5,5,1.0,24.593697949096686,1.2993226344807753,26.102936231393148,23.59195552572765,0
20.0,Affine,LOOWeightedFusion,5,5,1.0,24.814390723390183,1.3335569800646048,26.400908922326554,23.59195552572765,0
20.0,Affine,LOOWeightedGated,5,0,0.4,30.52739980582691,1.4206780223123656,32.29986223131108,23.59195552572765,1
20.0,Homography,ihawk1,5,5,1.0,30.598611059889627,2.216822534407163,33.490558545086785,24.35133876336812,0
20.0,Homography,ihawk2,5,5,1.0,24.770085243197222,1.6107066071398484,26.39605713663801,24.35133876336812,0
20.0,Homography,EqualFusion,5,5,1.0,25.04454800005875,1.6488922884717776,27.02631640944229,24.35133876336812,0
20.0,Homography,LOOWeightedFusion,5,5,1.0,24.278360663700074,1.7296074088981983,26.216994358743577,24.35133876336812,0
20.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,24.35133876336812,1
20.0,PnP,ihawk1,5,5,1.0,10.288638675015626,1.3370212921150073,12.084055080648831,7.15333019486363,0
20.0,PnP,ihawk2,5,5,1.0,4.931231973586867,1.691742756932951,6.817309311353701,7.15333019486363,0
20.0,PnP,EqualFusion,5,5,1.0,6.931798908595414,1.2046272138726009,8.430728508857806,7.15333019486363,0
20.0,PnP,LOOWeightedFusion,5,5,1.0,5.242081260603237,1.5262106744913406,6.847663769827814,7.15333019486363,0
20.0,PnP,LOOWeightedGated,5,1,0.8400000000000001,4.893683092465132,1.6158136356457293,6.733039002690914,7.15333019486363,1
25.0,Affine,ihawk1,5,5,1.0,35.851164620417535,1.8718583356462415,37.488468967372356,29.021991201560002,0
25.0,Affine,ihawk2,5,5,1.0,30.829168357712746,1.8233590986353425,32.301494131198034,29.021991201560002,0
25.0,Affine,EqualFusion,5,5,1.0,29.65269523667058,1.6344730440759587,30.679455838792485,29.021991201560002,0
25.0,Affine,LOOWeightedFusion,5,5,1.0,29.965394566551726,1.6447538835956637,31.086247993941434,29.021991201560002,0
25.0,Affine,LOOWeightedGated,5,0,0.08,36.26156101154433,2.604060967740853,37.91877526356581,29.021991201560002,1
25.0,Homography,ihawk1,5,5,1.0,38.42483562158546,2.059756477900019,40.080106889348464,30.762367615250213,0
25.0,Homography,ihawk2,5,5,1.0,31.00511010579775,2.1955920346405606,32.75572554538141,30.762367615250213,0
25.0,Homography,EqualFusion,5,5,1.0,31.349299582843695,1.8864301155775758,32.4872155555006,30.762367615250213,0
25.0,Homography,LOOWeightedFusion,5,5,1.0,30.337184426506077,2.0671498016030285,31.341525057348584,30.762367615250213,0
25.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,30.762367615250213,1
25.0,PnP,ihawk1,5,5,1.0,8.85039174175443,1.4958013135386303,10.540734862552014,6.630951890390577,0
25.0,PnP,ihawk2,5,5,1.0,4.7862217103888725,1.663790159538038,6.693979180172878,6.630951890390577,0
25.0,PnP,EqualFusion,5,5,1.0,6.056980070114184,1.2755477587294974,7.2337621922825805,6.630951890390577,0
25.0,PnP,LOOWeightedFusion,5,5,1.0,4.896989979549238,1.5099621575744542,6.511652758329853,6.630951890390577,0
25.0,PnP,LOOWeightedGated,5,3,0.9199999999999999,4.730608008123687,1.3400254786478756,6.083335189309802,6.630951890390577,1
30.0,Affine,ihawk1,5,5,1.0,42.67735775417454,1.2792165753241986,43.716259672006245,35.21466277972406,0
30.0,Affine,ihawk2,5,5,1.0,35.472053490925646,1.7587019814667126,37.48724961429478,35.21466277972406,0
30.0,Affine,EqualFusion,5,5,1.0,34.65056611735517,1.2791634532877185,36.06639256531364,35.21466277972406,0
30.0,Affine,LOOWeightedFusion,5,5,1.0,35.09137899363169,1.252439682781563,36.475356378109545,35.21466277972406,0
30.0,Affine,LOOWeightedGated,5,0,0.0,nan,nan,nan,35.21466277972406,1
30.0,Homography,ihawk1,5,5,1.0,47.008251744743006,1.445100663712447,48.23026152046201,38.26031412533829,0
30.0,Homography,ihawk2,5,5,1.0,37.012030449244506,2.0504250171497254,39.38315001088237,38.26031412533829,0
30.0,Homography,EqualFusion,5,5,1.0,37.74167151503059,1.4800642552339083,39.35799064251482,38.26031412533829,0
30.0,Homography,LOOWeightedFusion,5,5,1.0,36.28712270892285,1.7930099250502984,38.23098009826883,38.26031412533829,0
30.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,38.26031412533829,1
30.0,PnP,ihawk1,5,5,1.0,10.420480275753892,1.3315170568138865,12.080989226367905,8.82992542133489,0
30.0,PnP,ihawk2,5,5,1.0,4.585401048957006,2.183911624655043,6.799109413617158,8.82992542133489,0
30.0,PnP,EqualFusion,5,5,1.0,6.431389985320432,0.9890456904102135,7.013826253113222,8.82992542133489,0
30.0,PnP,LOOWeightedFusion,5,5,1.0,4.740191012365719,1.708583386289682,6.315762611713423,8.82992542133489,0
30.0,PnP,LOOWeightedGated,5,1,0.76,4.006382492328189,1.4645659824749406,5.676121982778368,8.82992542133489,1
35.0,Affine,ihawk1,5,5,1.0,48.69274147515408,2.7828922425056826,51.89080619986099,40.66646215409736,0
35.0,Affine,ihawk2,5,5,1.0,40.435014682137954,1.7877539227169557,42.56996991860689,40.66646215409736,0
35.0,Affine,EqualFusion,5,5,1.0,39.44649949988589,2.3372267076194544,41.834808844266355,40.66646215409736,0
35.0,Affine,LOOWeightedFusion,5,5,1.0,39.95270182218726,2.402001404276905,42.465170242354276,40.66646215409736,0
35.0,Affine,LOOWeightedGated,5,0,0.0,nan,nan,nan,40.66646215409736,1
35.0,Homography,ihawk1,5,5,1.0,54.58290327980495,3.2149634157051814,58.54445680480897,44.785402619005865,0
35.0,Homography,ihawk2,5,5,1.0,43.39649207491689,2.119092999906283,45.92085430966536,44.785402619005865,0
35.0,Homography,EqualFusion,5,5,1.0,43.92645805099504,2.70459462083363,46.8777502905544,44.785402619005865,0
35.0,Homography,LOOWeightedFusion,5,5,1.0,42.42205232809456,2.6362884097992967,45.17012307340138,44.785402619005865,0
35.0,Homography,LOOWeightedGated,5,0,0.0,nan,nan,nan,44.785402619005865,1
