run_id,height_gt_mm,source,n_markers,xy_rmse_mm,z_rmse_mm,error3d_rmse_mm
20260808_151001,10.0,ihawk2,5,2.5432520616750756,3.465920484996876,4.298922639166179
20260808_151001,10.0,EqualXYZ,5,5.268571005100011,4.530764971649459,6.948789222886694
20260808_151001,10.0,LOOWeightedXYZ,5,3.3107616890577543,3.8042924009903687,5.043191810150157
20260808_151001,15.0,ihawk1,5,6.2011585888745,4.183206906318876,7.480213089574783
20260808_151001,15.0,ihawk2,5,3.9846993634740073,3.19125245984438,5.1050877837440725
20260808_151001,15.0,EqualXYZ,5,4.562958907825706,3.6077223435625965,5.816893887870636
20260808_151001,15.0,LOOWeightedXYZ,5,4.034633416849011,3.3284557832141743,5.2303809334661855
20260808_151001,20.0,ihawk1,5,9.721334805278667,6.809845902035385,11.8692186602906
20260808_151001,20.0,ihawk2,5,3.387483363385559,4.477283756554803,5.614366693931154
20260808_151001,20.0,EqualXYZ,5,5.704309174715796,5.345043571556958,7.817201157869046
20260808_151001,20.0,LOOWeightedXYZ,5,3.839559043038864,4.714729288816866,6.080368896030002
20260808_151001,25.0,ihawk1,5,6.849149313596237,5.94574649593005,9.0698813505911
20260808_151001,25.0,ihawk2,5,2.4101064293330836,4.441954273251683,5.053669040051154
20260808_151001,25.0,EqualXYZ,5,4.031505636896261,5.094083571250231,6.496362453805039
20260808_151001,25.0,LOOWeightedXYZ,5,2.7270023006176913,4.6634929472943085,5.40228729493702
20260808_151001,30.0,ihawk1,5,8.761034836662644,6.7283426850077115,11.046552706438023
20260808_151001,30.0,ihawk2,5,2.0147659568077287,3.39124384854034,3.944593350520946
20260808_151001,30.0,EqualXYZ,5,4.693025230569115,4.810085922561213,6.720224132957162
20260808_151001,30.0,LOOWeightedXYZ,5,2.5735131459281333,3.838956884057505,4.62174857277172
20260808_151001,35.0,ihawk1,5,8.650278537979005,7.423255983449823,11.398773977075068
20260808_151001,35.0,ihawk2,5,2.8212382551575197,4.170587311104574,5.035194515796855
20260808_151001,35.0,EqualXYZ,5,4.410968504685089,5.631452654113633,7.153314067259125
20260808_151001,35.0,LOOWeightedXYZ,5,2.681722549357839,4.67252734157596,5.38740638800427
20260808_151001,40.0,ihawk1,5,10.878016646718338,7.541994559294,13.236802034430431
20260808_151001,40.0,ihawk2,5,3.387088997676057,2.825346967106498,4.410777410243695
20260808_151001,40.0,EqualXYZ,5,5.9699811283522175,4.930490320321769,7.742764975877047
20260808_151001,40.0,LOOWeightedXYZ,5,3.7213590756428276,3.5135547183960485,5.117966405617799
20260808_151001,45.0,ihawk1,5,9.0207437861748,6.013393426340668,10.841343042066717
20260808_151001,45.0,ihawk2,5,3.7991828130158463,3.4136226632189977,5.107505235783647
20260808_151001,45.0,EqualXYZ,5,5.279139545347214,4.691903046115637,7.062808827470696
20260808_151001,45.0,LOOWeightedXYZ,5,3.855207306499524,3.8978794817541518,5.482343279143265
20260808_151001,50.0,ihawk1,5,10.480541969658452,6.450267274398223,12.30640921995303
20260808_151001,50.0,ihawk2,5,4.8676325256380455,4.1217054963846005,6.378267994022863
20260808_151001,50.0,EqualXYZ,5,6.619811872450802,5.056493889018956,8.330068407661887
20260808_151001,50.0,LOOWeightedXYZ,5,5.099984165264566,4.405510738411245,6.739314753905333
20260808_162715,0.0,ihawk1,5,7.59233309829828,4.697477394638124,8.928035380118727
20260808_162715,0.0,ihawk2,5,2.895017789132072,2.792553972261461,4.022373141241923
20260808_162715,0.0,EqualXYZ,5,4.709086354528466,3.5893103655617464,5.921033963315461
