height_gt_mm,source,n_independent_rebuilds,xy_rmse_mean_mm,xy_rmse_sd_mm,z_rmse_mean_mm,z_rmse_sd_mm,error3d_rmse_mean_mm,error3d_rmse_sd_mm,error3d_rmse_p95_mm
20.0,EqualXYZ,5,6.931798908595414,1.2046272138726009,4.686331435990317,0.4086167655709331,8.399174504377005,0.9746035030882215,9.635017817104961
20.0,LOOWeightedXYZ,5,5.387622510171353,1.4710681090889837,4.030193746140034,0.4350770431914398,6.790035192702985,1.1440207370601514,7.933917089869828
25.0,ihawk1,5,8.85039174175443,1.4958013135386303,5.287635905147257,0.7257517029171422,10.348031649114656,1.3313893682614346,12.048698325205178
25.0,ihawk2,5,4.7862217103888725,1.663790159538038,3.6587455689349846,0.5770137090234166,6.144212828130747,1.1313156799353117,7.645353744600256
25.0,EqualXYZ,5,6.056980070114184,1.2755477587294974,4.160883558846574,0.7429340988579277,7.431398224022177,0.8042531660465474,8.453565951165917
25.0,LOOWeightedXYZ,5,4.977214590443861,1.4672654474898101,3.755239875177023,0.6314739763130922,6.350689231127146,0.8547950851073973,7.354784875274152
30.0,ihawk1,5,10.420480275753892,1.3315170568138865,6.540742568738699,0.7862653267224899,12.317189033885327,1.3997756519775202,14.204383679185332
30.0,ihawk2,5,4.585401048957006,2.183911624655043,3.810395794819077,0.8441064040595533,6.0625463318217525,1.9925295957675748,8.426450508265315
30.0,EqualXYZ,5,6.431389985320432,0.9890456904102135,4.605998035070831,0.4982894530288271,7.941964815863192,0.7781331114616913,8.71562448861833
30.0,LOOWeightedXYZ,5,4.858483382324702,1.5632971596829626,3.950642659179433,0.4449092175160261,6.3334559046833565,1.2314870468908587,7.659798845790454
35.0,ihawk1,5,10.01612723037189,3.8848060576958456,6.533236411369929,1.4587426388343403,12.01828557194511,3.927867291360861,17.30302427020667
35.0,ihawk2,5,4.33130728797992,1.272189575771658,3.8717964435737167,0.2197893158424804,5.8729920750230695,0.8605329294561622,6.8633946968969255
35.0,EqualXYZ,5,6.198468729071726,2.74519146101952,5.02338536678435,0.8961543827219908,8.064513137690058,2.571570057569087,11.560314063868024
35.0,LOOWeightedXYZ,5,4.578835183922953,1.8352285683508212,4.240543113543659,0.43708121313869364,6.33484251680111,1.4426498772476417,8.155086685223397
40.0,ihawk1,5,9.733628842853221,1.5819120557494082,6.175305137287355,1.0982768291488658,11.53499257088183,1.8670821403962208,13.135004148349413
40.0,ihawk2,5,4.506967315406918,1.7090790863842507,3.9158811223438326,1.6771857036347257,5.979470443226309,2.366414780699963,9.251778029716428
40.0,EqualXYZ,5,6.054061507521196,0.8224245538958121,4.453047323976442,0.4512839237608053,7.528995798032487,0.7902095774138532,8.407644701863338
40.0,LOOWeightedXYZ,5,4.663246829570651,1.085877076321867,3.976329636536782,0.9106176535238357,6.144207804474363,1.3287501909549566,7.920456574816011
45.0,ihawk1,5,9.88023264382531,3.0518686833854627,6.063379653441726,0.8910112663885957,11.659569349227283,2.8557519452874267,15.439272712728291
45.0,ihawk2,5,5.456844103387732,4.621778121051212,4.302961585462388,2.3880844927372613,7.040988381392308,5.045806801628065,13.902159154188693
45.0,EqualXYZ,5,6.041226221165751,2.465904315206558,4.53844591817004,0.6922007911047537,7.671454531422645,2.0888249691328156,10.50468256310689
45.0,LOOWeightedXYZ,5,5.191665205622473,3.605246203927298,4.325244405335747,1.5161654778667748,6.850147131103336,3.7036902902986,11.861410279513926
