corner_index,board_col,board_row,u_undist_sd_px,v_undist_sd_px,u_undist_range_px,v_undist_range_px,u_raw_sd_px,v_raw_sd_px
21,3,3,0.01569072732272895,0.004476185843904711,0.054534912109375,0.017120361328125,0.01569072732272895,0.004476185843904711
22,4,3,0.01412044887947614,0.0052780252602603215,0.0501708984375,0.0201263427734375,0.01412044887947614,0.0052780252602603215
23,5,3,0.017951817274965746,0.007455893149332103,0.089996337890625,0.0251007080078125,0.017951817274965746,0.007455893149332103
24,0,4,0.01344515779447377,0.008607266351745793,0.058990478515625,0.03179931640625,0.01344515779447377,0.008607266351745793
25,1,4,0.02078116595773823,0.01575883268846638,0.08038330078125,0.048614501953125,0.02078116595773823,0.01575883268846638
26,2,4,0.00876157523607268,0.006741450054611524,0.037261962890625,0.022064208984375,0.00876157523607268,0.006741450054611524
27,3,4,0.008500145888343096,0.0071261999353837615,0.035858154296875,0.031494140625,0.008500145888343096,0.0071261999353837615
28,4,4,0.014962434212577385,0.006815035480132917,0.065338134765625,0.02899169921875,0.014962434212577385,0.006815035480132917
29,5,4,0.02048646117539198,0.006805858533341341,0.0963134765625,0.0323638916015625,0.02048646117539198,0.006805858533341341
30,0,5,0.017340371363372558,0.0076105212640426145,0.0733642578125,0.0303955078125,0.017340371363372558,0.0076105212640426145
31,1,5,0.02084293897810074,0.009342574161415384,0.102569580078125,0.036163330078125,0.02084293897810074,0.009342574161415384
32,2,5,0.014369542403100177,0.01156012718789165,0.05645751953125,0.052093505859375,0.014369542403100177,0.01156012718789165
33,3,5,0.02467290144622934,0.007565402067812568,0.080902099609375,0.0291748046875,0.02467290144622934,0.007565402067812568
34,4,5,0.011336454138776283,0.004483602192940693,0.03887939453125,0.01617431640625,0.011336454138776283,0.004483602192940693
35,5,5,0.01510736383993836,0.0062397276384567445,0.050018310546875,0.0263671875,0.01510736383993836,0.0062397276384567445
36,0,6,0.011984503009672664,0.005781761126850181,0.046844482421875,0.025634765625,0.011984503009672664,0.005781761126850181
37,1,6,0.012436400371846842,0.006964155623204307,0.048370361328125,0.028961181640625,0.012436400371846842,0.006964155623204307
38,2,6,0.01135573636155939,0.008084683844327076,0.051177978515625,0.040313720703125,0.01135573636155939,0.008084683844327076
39,3,6,0.015599271565353246,0.011769231162822873,0.06231689453125,0.039825439453125,0.015599271565353246,0.011769231162822873
40,4,6,0.018251467782137876,0.005230815612919475,0.08245849609375,0.022552490234375,0.018251467782137876,0.005230815612919475
41,5,6,0.012638014479786127,0.005844453509310037,0.053466796875,0.024078369140625,0.012638014479786127,0.005844453509310037
42,0,7,0.013840386186521706,0.005743415847571698,0.054046630859375,0.029205322265625,0.013840386186521706,0.005743415847571698
43,1,7,0.011297773485888786,0.005302192827220131,0.043792724609375,0.02215576171875,0.011297773485888786,0.005302192827220131
44,2,7,0.0107838373688588,0.0060425755877253585,0.0361328125,0.022552490234375,0.0107838373688588,0.0060425755877253585
45,3,7,0.013136105577233007,0.018611572864928216,0.060791015625,0.069580078125,0.013136105577233007,0.018611572864928216
46,4,7,0.007590111844794878,0.006793905582005137,0.029754638671875,0.026824951171875,0.007590111844794878,0.006793905582005137
47,5,7,0.012977737369096716,0.007818456344922259,0.051727294921875,0.02880859375,0.012977737369096716,0.007818456344922259
